NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL12RB1	NA	183	0.1585468202829361	0.014957141	Yes	
row_1	FASLG	NA	226	0.1515055149793625	0.037801478	Yes	
row_2	STAT1	NA	271	0.14575429260730743	0.05954731	Yes	
row_3	MTIF2	NA	343	0.13766229152679443	0.07819096	Yes	
row_4	INHBB	NA	431	0.13036586344242096	0.09457453	Yes	
row_5	IFNG	NA	511	0.12507236003875732	0.11058036	Yes	
row_6	SOCS1	NA	550	0.12236615270376205	0.12876855	Yes	
row_7	CD86	NA	620	0.11883115768432617	0.14436555	Yes	
row_8	GLMN	NA	677	0.11577442288398743	0.16028377	Yes	
row_9	IRF8	NA	916	0.10400517284870148	0.1625042	Yes	
row_10	IRF7	NA	924	0.1036783903837204	0.1795363	Yes	
row_11	CCL22	NA	927	0.1036631315946579	0.19688763	Yes	
row_12	CD47	NA	1121	0.09640827029943466	0.20072317	Yes	
row_13	NLRP3	NA	1203	0.0935814157128334	0.21129017	Yes	
row_14	CD74	NA	1241	0.09210488945245743	0.22443995	Yes	
row_15	TRAF2	NA	1352	0.0881752073764801	0.23222895	Yes	
row_16	LCK	NA	1479	0.08513477444648743	0.23847552	Yes	
row_17	IL7	NA	1660	0.08027724921703339	0.24042764	Yes	
row_18	IGSF6	NA	1723	0.07859311252832413	0.24969007	Yes	
row_19	FYB1	NA	1790	0.07700704038143158	0.25842762	Yes	
row_20	CD80	NA	1969	0.07302156835794449	0.25928497	Yes	
row_21	GPR65	NA	2051	0.07135437428951263	0.26610398	Yes	
row_22	ITGB2	NA	2199	0.06828553974628448	0.26815784	Yes	
row_23	IKBKB	NA	2300	0.06636345386505127	0.27291244	Yes	
row_24	CRTAM	NA	2470	0.06349870562553406	0.27274325	Yes	
row_25	SPI1	NA	2561	0.061649344861507416	0.27734655	Yes	
row_26	BCL10	NA	2628	0.06044457480311394	0.28329128	Yes	
row_27	WARS1	NA	2655	0.060038574039936066	0.29174188	Yes	
row_28	TPD52	NA	2765	0.057991012930870056	0.29450545	Yes	
row_29	CD40LG	NA	2791	0.05747189000248909	0.3025876	Yes	
row_30	DARS1	NA	2796	0.05730494484305382	0.31199312	Yes	
row_31	ITK	NA	2834	0.056917689740657806	0.31920955	Yes	
row_32	LY75	NA	2852	0.05660063400864601	0.32765964	Yes	
row_33	RPL3L	NA	2853	0.0565803088247776	0.3372004	Yes	
row_34	STAT4	NA	3193	0.05157347396016121	0.32407942	No	
row_35	RPL39	NA	3269	0.050527945160865784	0.32777274	No	
row_36	UBE2N	NA	3282	0.050261858850717545	0.33547577	No	
row_37	IL10	NA	3425	0.04846448078751564	0.33450913	No	
row_38	CD28	NA	3624	0.04568257927894592	0.32946935	No	
row_39	ACVR2A	NA	3807	0.0433502160012722	0.325066	No	
row_40	LIF	NA	4077	0.03993244841694832	0.31448716	No	
row_41	THY1	NA	4101	0.03965430706739426	0.31969357	No	
row_42	TLR3	NA	4204	0.038382165133953094	0.31960115	No	
row_43	IL12A	NA	4277	0.037647172808647156	0.32131553	No	
row_44	DEGS1	NA	4490	0.035549189895391464	0.313666	No	
row_45	IL2RG	NA	4837	0.031606484204530716	0.2967276	No	
row_46	EGFR	NA	4994	0.03014630824327469	0.29177108	No	
row_47	IL18	NA	5146	0.028427790850400925	0.28684655	No	
row_48	IL2RA	NA	5205	0.027833258733153343	0.2878071	No	
row_49	F2	NA	5400	0.025757409632205963	0.2796649	No	
row_50	MRPL3	NA	5739	0.022170396521687508	0.26165023	No	
row_51	EIF3J	NA	5818	0.021312562748789787	0.26022407	No	
row_52	NOS2	NA	5840	0.02110731042921543	0.26243174	No	
row_53	BCAT1	NA	6122	0.018055008724331856	0.24739154	No	
row_54	CSF1	NA	6127	0.017973797395825386	0.2501649	No	
row_55	IL15	NA	6227	0.016872795298695564	0.24663858	No	
row_56	FGR	NA	6251	0.01657203957438469	0.24795277	No	
row_57	PTPRC	NA	6378	0.015509170480072498	0.24245884	No	
row_58	TGFB2	NA	6752	0.011383327655494213	0.22037266	No	
row_59	IFNGR2	NA	6754	0.011345550417900085	0.22222143	No	
row_60	NPM1	NA	6800	0.01086803711950779	0.22115791	No	
row_61	AKT1	NA	6829	0.010517572984099388	0.22112939	No	
row_62	RPS3A	NA	6853	0.010230401530861855	0.22137423	No	
row_63	CD96	NA	7096	0.007509601302444935	0.2070658	No	
row_64	IL16	NA	7211	0.006043918896466494	0.2007481	No	
row_65	AARS1	NA	7342	0.004432649817317724	0.19312897	No	
row_66	CD40	NA	7361	0.00421349098905921	0.19268101	No	
row_67	FAS	NA	7433	0.0034682583063840866	0.1886964	No	
row_68	GALNT1	NA	7648	0.0011371616274118423	0.17511547	No	
row_69	MAP3K7	NA	7671	7.861510966904461E-4	0.17383215	No	
row_70	UBE2D1	NA	7942	-0.002063269028440118	0.15680331	No	
row_71	CD3E	NA	8090	-0.0037919962778687477	0.14798205	No	
row_72	IL2RB	NA	8252	-0.005612601526081562	0.13856678	No	
row_73	ICOSLG	NA	8284	-0.0060393232852220535	0.13759004	No	
row_74	CD8B	NA	8318	-0.00649669487029314	0.1365617	No	
row_75	PRKCB	NA	8386	-0.007219433784484863	0.13346706	No	
row_76	RARS1	NA	8408	-0.007410452701151371	0.13336511	No	
row_77	RIPK2	NA	8425	-0.007528173737227917	0.13360481	No	
row_78	SRGN	NA	8453	-0.007906250655651093	0.1332003	No	
row_79	NCF4	NA	8535	-0.00889624934643507	0.1294874	No	
row_80	CSK	NA	8894	-0.012944351881742477	0.10862983	No	
row_81	EIF3A	NA	8909	-0.01313328742980957	0.1099434	No	
row_82	IL6	NA	8969	-0.013851474039256573	0.108481936	No	
row_83	IL4R	NA	9177	-0.016262298449873924	0.09790197	No	
row_84	LCP2	NA	9185	-0.016401605680584908	0.100217156	No	
row_85	ST8SIA4	NA	9187	-0.016417279839515686	0.102921136	No	
row_86	RPL9	NA	9344	-0.018364399671554565	0.0959779	No	
row_87	TLR2	NA	9903	-0.024737248197197914	0.06423722	No	
row_88	IFNAR2	NA	10043	-0.02646753378212452	0.05975446	No	
row_89	CCND3	NA	10073	-0.02689751796424389	0.062423624	No	
row_90	IRF4	NA	10317	-0.02982901595532894	0.05181442	No	
row_91	HCLS1	NA	10590	-0.03340519964694977	0.03994185	No	
row_92	BRCA1	NA	10799	-0.035993792116642	0.03262471	No	
row_93	GZMA	NA	10950	-0.03804244473576546	0.029385809	No	
row_94	LYN	NA	10968	-0.038329172879457474	0.034754917	No	
row_95	PTPN6	NA	10999	-0.03858920559287071	0.039331213	No	
row_96	JAK2	NA	11179	-0.04115171357989311	0.034750216	No	
row_97	HIF1A	NA	11181	-0.041172511875629425	0.04162851	No	
row_98	EIF4G3	NA	11268	-0.04215044900774956	0.043201245	No	
row_99	MMP9	NA	11492	-0.04529508948326111	0.03648715	No	
row_100	EIF3D	NA	11720	-0.04835012927651405	0.030030772	No	
row_101	IFNGR1	NA	11748	-0.04868816211819649	0.036503065	No	
row_102	ABI1	NA	11826	-0.04976819083094597	0.03993956	No	
row_103	IL18RAP	NA	11963	-0.05183485150337219	0.039927397	No	
row_104	GCNT1	NA	12187	-0.05506988242268562	0.03486156	No	
row_105	LY86	NA	12327	-0.057461224496364594	0.035605066	No	
row_106	ETS1	NA	12391	-0.0584922656416893	0.041413657	No	
row_107	DYRK3	NA	12424	-0.05910914018750191	0.04932138	No	
row_108	CD79A	NA	12444	-0.05942586064338684	0.058119167	No	
row_109	EREG	NA	12816	-0.06589973717927933	0.045354463	No	
row_110	F2R	NA	12900	-0.0673058032989502	0.05136206	No	
row_111	INHBA	NA	12905	-0.06744466722011566	0.062477384	No	
row_112	ABCE1	NA	13136	-0.07150878012180328	0.059733022	No	
row_113	HDAC9	NA	13192	-0.0725661963224411	0.06842968	No	
row_114	CD247	NA	14182	-0.09634189307689667	0.02102478	No	
row_115	SOCS5	NA	14247	-0.09829075634479523	0.033479977	No	
row_116	STAB1	NA	14311	-0.09995318949222565	0.04627986	No	
row_117	CCND2	NA	14498	-0.10665158182382584	0.052293167	No	
row_118	CARTPT	NA	15055	-0.13147161900997162	0.03867913	No	
