NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPDEF	NA	500	0.12560461461544037	0.0031960541	No	
row_1	SELENOP	NA	871	0.10587993264198303	0.009197057	No	
row_2	NGLY1	NA	1178	0.09437605738639832	0.01607479	No	
row_3	GPD1L	NA	1495	0.0848066508769989	0.019619782	No	
row_4	CAMKK2	NA	1773	0.0772920697927475	0.023557216	No	
row_5	STEAP4	NA	2353	0.06539271026849747	0.0047504287	No	
row_6	APPBP2	NA	2480	0.06342203170061111	0.014487744	No	
row_7	DHCR24	NA	2514	0.06252460181713104	0.029946545	No	
row_8	TPD52	NA	2765	0.057991012930870056	0.030191895	No	
row_9	CCND1	NA	3038	0.053911615163087845	0.027877184	No	
row_10	MAF	NA	3165	0.05193042382597923	0.03438368	No	
row_11	UAP1	NA	3205	0.051436759531497955	0.046339776	No	
row_12	HPGD	NA	4050	0.040186647325754166	0.0034243101	No	
row_13	SORD	NA	4089	0.03981887921690941	0.012178319	No	
row_14	ACSL3	NA	4096	0.039744772017002106	0.02296699	No	
row_15	VAPA	NA	4123	0.03941889852285385	0.03237936	No	
row_16	MAK	NA	4242	0.037894684821367264	0.03545364	No	
row_17	RPS6KA3	NA	4457	0.03598947823047638	0.03182579	No	
row_18	TNFAIP8	NA	4553	0.034847863018512726	0.03552086	No	
row_19	IQGAP2	NA	5067	0.029358020052313805	0.010822532	No	
row_20	ITGAV	NA	5117	0.02874872274696827	0.015757633	No	
row_21	SLC26A2	NA	5261	0.027262795716524124	0.0142369475	No	
row_22	INSIG1	NA	5504	0.024516502395272255	0.005584953	No	
row_23	ADAMTS1	NA	5579	0.023800065740942955	0.0075229025	No	
row_24	PTK2B	NA	5606	0.023556450381875038	0.012475608	No	
row_25	HMGCR	NA	5683	0.022717753425240517	0.013980801	No	
row_26	CDK6	NA	5820	0.021301453933119774	0.011233748	No	
row_27	B4GALT1	NA	5861	0.02091340161859989	0.014544091	No	
row_28	XRCC5	NA	6000	0.019406991079449654	0.011135949	No	
row_29	HERC3	NA	6053	0.01873132959008217	0.013061999	No	
row_30	SAT1	NA	6245	0.016614072024822235	0.00546422	No	
row_31	ABHD2	NA	6632	0.012697989121079445	-0.015760245	No	
row_32	STK39	NA	6721	0.011676265858113766	-0.018130131	No	
row_33	SCD	NA	6766	0.011216798797249794	-0.017802885	No	
row_34	AKT1	NA	6829	0.010517572984099388	-0.018828442	No	
row_35	XRCC6	NA	6866	0.010118833743035793	-0.018296009	No	
row_36	PLPP1	NA	6900	0.00973537564277649	-0.017678682	No	
row_37	CDC14B	NA	6956	0.0091010807082057	-0.01865284	No	
row_38	ELOVL5	NA	7273	0.005353396292775869	-0.037445802	No	
row_39	PA2G4	NA	7406	0.003719695843756199	-0.044878956	No	
row_40	HMGCS1	NA	7421	0.003583395155146718	-0.04477078	No	
row_41	DBI	NA	7431	0.003484461223706603	-0.044369247	No	
row_42	GSR	NA	7434	0.0034561296924948692	-0.04352604	No	
row_43	RRP12	NA	7465	0.003186446614563465	-0.044557214	No	
row_44	AKAP12	NA	7530	0.002417951822280884	-0.04798841	No	
row_45	ADRM1	NA	7582	0.001869341591373086	-0.050738808	No	
row_46	ELL2	NA	7584	0.0018580671167001128	-0.050280653	No	
row_47	HOMER2	NA	7675	7.549708243459463E-4	-0.055849485	No	
row_48	UBE2I	NA	7768	-1.7674882838036865E-4	-0.06170935	No	
row_49	ABCC4	NA	8404	-0.0073747956193983555	-0.10042476	No	
row_50	ARID5B	NA	8440	-0.0077262334525585175	-0.10050076	No	
row_51	IDI1	NA	8571	-0.009313221089541912	-0.10623285	No	
row_52	PGM3	NA	8658	-0.01030794344842434	-0.108858965	No	
row_53	SRF	NA	8670	-0.010490470565855503	-0.10661619	No	
row_54	ZBTB10	NA	8786	-0.01177022885531187	-0.11069399	No	
row_55	UBE2J1	NA	8816	-0.012116086669266224	-0.109150395	No	
row_56	INPP4B	NA	9134	-0.015856070443987846	-0.1250548	No	
row_57	NCOA4	NA	9178	-0.01629202999174595	-0.12323645	No	
row_58	MAP7	NA	9495	-0.019990503787994385	-0.13791426	No	
