NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFRSF21	NA	669	0.11603124439716339	0.019790377	No	
row_1	COL3A1	NA	1201	0.0936107337474823	0.036315292	No	
row_2	SLCO2A1	NA	2342	0.06551143527030945	-0.0012845583	No	
row_3	THBD	NA	3752	0.04414718970656395	-0.06762138	No	
row_4	ITGAV	NA	5117	0.02874872274696827	-0.13938595	No	
row_5	PTK2	NA	5226	0.027665162459015846	-0.13137165	No	
row_6	APOH	NA	5390	0.025899630039930344	-0.1278289	No	
row_7	VTN	NA	6487	0.01429801806807518	-0.19024159	No	
row_8	MSX1	NA	6759	0.011278970167040825	-0.20149648	No	
row_9	LUM	NA	6881	0.009963706135749817	-0.20386337	No	
row_10	FGFR1	NA	7297	0.005021692719310522	-0.22770752	No	
row_11	PDGFA	NA	7580	0.0018899774877354503	-0.24473132	No	
row_12	LRPAP1	NA	7951	-0.0021843169815838337	-0.26722687	No	
row_13	LPL	NA	8770	-0.011537034995853901	-0.3133416	No	
row_14	COL5A2	NA	11173	-0.041029367595911026	-0.44489613	No	
row_15	VCAN	NA	12265	-0.056296154856681824	-0.48433214	Yes	
row_16	FSTL1	NA	12421	-0.05902869999408722	-0.46240538	Yes	
row_17	VEGFA	NA	13388	-0.07690443843603134	-0.4827259	Yes	
row_18	KCNJ8	NA	13614	-0.08174563944339752	-0.45302284	Yes	
row_19	SPP1	NA	13780	-0.08594167977571487	-0.41721717	Yes	
row_20	VAV2	NA	14054	-0.09283612668514252	-0.38460234	Yes	
row_21	APP	NA	14074	-0.09329774230718613	-0.33548665	Yes	
row_22	CCND2	NA	14498	-0.10665158182382584	-0.30501637	Yes	
row_23	NRP1	NA	14861	-0.12105604261159897	-0.26287228	Yes	
row_24	STC1	NA	15007	-0.1283484250307083	-0.20290974	Yes	
row_25	JAG1	NA	15272	-0.14756807684898376	-0.1401928	Yes	
row_26	POSTN	NA	15298	-0.15026360750198364	-0.060729638	Yes	
row_27	JAG2	NA	15341	-0.15491421520709991	0.020154677	Yes	
