NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL16A1	NA	337	0.13856394588947296	-0.00452768	No	
row_1	COL9A1	NA	484	0.12657125294208527	0.0017699242	No	
row_2	SKAP2	NA	564	0.12185662984848022	0.011801856	No	
row_3	CD86	NA	620	0.11883115768432617	0.023005549	No	
row_4	LAMB3	NA	732	0.11275463551282883	0.02984467	No	
row_5	ACTG1	NA	853	0.10717309266328812	0.035410766	No	
row_6	CLDN14	NA	854	0.10713165253400803	0.048708163	No	
row_7	DSC1	NA	866	0.10648423433303833	0.061216027	No	
row_8	DLG1	NA	1081	0.09747516363859177	0.05951818	No	
row_9	EXOC4	NA	1109	0.09668067842721939	0.06977768	No	
row_10	MAPK13	NA	1298	0.0899711325764656	0.06882465	No	
row_11	COL17A1	NA	1412	0.08685487508773804	0.072320096	No	
row_12	CDH15	NA	1450	0.08591899275779724	0.08059914	No	
row_13	LAMC2	NA	1499	0.08455830067396164	0.088000104	No	
row_14	CRAT	NA	1727	0.07851754128932953	0.083111085	No	
row_15	FYB1	NA	1790	0.07700704038143158	0.08867219	No	
row_16	NECTIN3	NA	2006	0.07222452759742737	0.083775714	No	
row_17	TIAL1	NA	2302	0.06631634384393692	0.07298827	No	
row_18	LDLRAP1	NA	2527	0.06241541728377342	0.06629404	No	
row_19	NECTIN1	NA	2605	0.060842953622341156	0.068881765	No	
row_20	TNFRSF11B	NA	2751	0.0582008957862854	0.066757575	No	
row_21	MAPK14	NA	3028	0.053998302668333054	0.05566613	No	
row_22	ITGA2	NA	3031	0.05397232994437218	0.062236343	No	
row_23	PTEN	NA	3173	0.0518508143723011	0.05958185	No	
row_24	CLDN19	NA	3251	0.05077853798866272	0.060920365	No	
row_25	ARPC2	NA	3331	0.049698859453201294	0.061995927	No	
row_26	BAIAP2	NA	3419	0.048506949096918106	0.062407784	No	
row_27	MADCAM1	NA	3481	0.04760560020804405	0.064384	No	
row_28	ACTB	NA	3822	0.043220121413469315	0.047828637	No	
row_29	ACTC1	NA	3833	0.0431322306394577	0.05253759	No	
row_30	VCAM1	NA	3905	0.0422416515648365	0.053203315	No	
row_31	ADAM23	NA	3962	0.04145686700940132	0.05473868	No	
row_32	THY1	NA	4101	0.03965430706739426	0.050763745	No	
row_33	PIK3CB	NA	4286	0.03757254406809807	0.043564774	No	
row_34	EVL	NA	4524	0.035126347094774246	0.032645248	No	
row_35	LAYN	NA	4826	0.03169125318527222	0.01717325	No	
row_36	NF2	NA	4855	0.031449094414711	0.019271603	No	
row_37	CERCAM	NA	4910	0.030920356512069702	0.0196281	No	
row_38	ITGB4	NA	4948	0.03056192584335804	0.021036103	No	
row_39	EGFR	NA	4994	0.03014630824327469	0.021876758	No	
row_40	MPZL1	NA	5016	0.029953883960843086	0.024240816	No	
row_41	FBN1	NA	5163	0.028229810297489166	0.018332083	No	
row_42	PTK2	NA	5226	0.027665162459015846	0.017768776	No	
row_43	CTNND1	NA	5366	0.026168428361415863	0.012055472	No	
row_44	JUP	NA	5394	0.025813305750489235	0.013518771	No	
row_45	MYH9	NA	5442	0.025281662121415138	0.013626674	No	
row_46	INSIG1	NA	5504	0.024516502395272255	0.012737019	No	
row_47	B4GALT1	NA	5861	0.02091340161859989	-0.007618621	No	
row_48	HADH	NA	5916	0.020286262035369873	-0.008582049	No	
row_49	TUBG1	NA	5919	0.020261218771338463	-0.006196127	No	
row_50	GNAI2	NA	6031	0.01907343976199627	-0.010984904	No	
row_51	PTPRC	NA	6378	0.015509170480072498	-0.031366624	No	
row_52	ADRA1B	NA	6418	0.015103073790669441	-0.032006346	No	
row_53	VCL	NA	6461	0.014588186517357826	-0.032903384	No	
row_54	RAC2	NA	6621	0.01277686096727848	-0.041568287	No	
row_55	THBS3	NA	6669	0.012336816638708115	-0.043067124	No	
row_56	SRC	NA	6808	0.010741394944489002	-0.050630793	No	
row_57	BMP1	NA	6852	0.010234015062451363	-0.05213275	No	
row_58	MDK	NA	6882	0.009944232180714607	-0.052768093	No	
row_59	ACTN2	NA	7006	0.008538991212844849	-0.05963807	No	
row_60	WNK4	NA	7532	0.0024026790633797646	-0.093186796	No	
row_61	SLC30A3	NA	7674	7.550184964202344E-4	-0.1021834	No	
row_62	GRB7	NA	7783	-4.4470641296356916E-4	-0.109091006	No	
row_63	GAMT	NA	7854	-0.0011476657819002867	-0.11346148	No	
row_64	MAP3K20	NA	7983	-0.0026924412231892347	-0.1213795	No	
row_65	PARVA	NA	8040	-0.0032586248125880957	-0.124585375	No	
row_66	PDZD3	NA	8063	-0.0034856311976909637	-0.12557107	No	
row_67	CDH4	NA	8268	-0.005816943943500519	-0.13800102	No	
row_68	CNN2	NA	8279	-0.006012916564941406	-0.1378994	No	
row_69	ADAM15	NA	8314	-0.006460410542786121	-0.1392895	No	
row_70	VWF	NA	8321	-0.00651890691369772	-0.13886718	No	
row_71	ITGA3	NA	8358	-0.006916231010109186	-0.14032966	No	
row_72	SPEG	NA	8365	-0.006986611057072878	-0.13984929	No	
row_73	SYK	NA	8494	-0.008439592085778713	-0.14705396	No	
row_74	CDK8	NA	8635	-0.010095031000673771	-0.1548268	No	
row_75	CTNNA1	NA	8889	-0.012878580950200558	-0.16953929	No	
row_76	LIMA1	NA	8979	-0.014018257148563862	-0.17353718	No	
row_77	FSCN1	NA	9210	-0.016692284494638443	-0.18629348	No	
row_78	RSU1	NA	9277	-0.017374824732542038	-0.18839194	No	
row_79	ITGB1	NA	9315	-0.01789800450205803	-0.1885558	No	
row_80	MYL9	NA	9582	-0.020856233313679695	-0.20311621	No	
row_81	TMEM8B	NA	9698	-0.02242262102663517	-0.20774716	No	
row_82	PCDH1	NA	9772	-0.02328205667436123	-0.20956367	No	
row_83	CLDN5	NA	9817	-0.023913808166980743	-0.20943214	No	
row_84	RASA1	NA	9959	-0.025536099448800087	-0.21535288	No	
row_85	TGFBI	NA	10045	-0.026483267545700073	-0.2175457	No	
row_86	RHOF	NA	10113	-0.027435846626758575	-0.21845981	No	
row_87	ADAMTS5	NA	10152	-0.027878688648343086	-0.21744934	No	
row_88	CD276	NA	10430	-0.03126566484570503	-0.23142688	No	
row_89	MMP2	NA	10459	-0.03168116509914398	-0.22929971	No	
row_90	AMIGO2	NA	10480	-0.031953152269124985	-0.22662303	No	
row_91	YWHAH	NA	10623	-0.033862099051475525	-0.23157479	No	
row_92	TRAF1	NA	10634	-0.03405074030160904	-0.22799306	No	
row_93	ACTN1	NA	10681	-0.03455581143498421	-0.22666955	No	
row_94	CNTN1	NA	11265	-0.042118318378925323	-0.25902796	No	
row_95	EPB41L2	NA	11271	-0.042249199002981186	-0.25410625	No	
row_96	MMP9	NA	11492	-0.04529508948326111	-0.26266763	No	
row_97	CALB2	NA	11672	-0.04779451712965965	-0.26827547	Yes	
row_98	MYH10	NA	11758	-0.04890251159667969	-0.26768556	Yes	
row_99	TSC1	NA	11849	-0.05005926638841629	-0.26727444	Yes	
row_100	MPZL2	NA	11921	-0.05123355984687805	-0.26549265	Yes	
row_101	CLDN4	NA	12013	-0.05256040394306183	-0.26483554	Yes	
row_102	NLGN3	NA	12109	-0.05403771251440048	-0.26425296	Yes	
row_103	SLIT2	NA	12257	-0.0561629943549633	-0.26675904	Yes	
row_104	VCAN	NA	12265	-0.056296154856681824	-0.26022273	Yes	
row_105	CX3CL1	NA	12272	-0.05636606737971306	-0.2536133	Yes	
row_106	NRAP	NA	12312	-0.05711878836154938	-0.24903794	Yes	
row_107	PECAM1	NA	12338	-0.057597242295742035	-0.2435006	Yes	
row_108	CAP1	NA	12518	-0.060529228299856186	-0.2475278	Yes	
row_109	TSPAN4	NA	12623	-0.062020473182201385	-0.2465346	Yes	
row_110	SHC1	NA	12624	-0.06204677373170853	-0.23883323	Yes	
row_111	SGCE	NA	12705	-0.06375859677791595	-0.23607703	Yes	
row_112	TJP1	NA	12793	-0.06554017215967178	-0.23355097	Yes	
row_113	CADM3	NA	12906	-0.0674532949924469	-0.23239921	Yes	
row_114	PLCG1	NA	13217	-0.07325619459152222	-0.24329232	Yes	
row_115	ARHGEF6	NA	13315	-0.07516049593687057	-0.24021687	Yes	
row_116	SHROOM2	NA	13380	-0.07681838423013687	-0.23480812	Yes	
row_117	CLDN18	NA	13384	-0.07688829302787781	-0.225458	Yes	
row_118	IRS1	NA	13404	-0.07720441371202469	-0.21710017	Yes	
row_119	CDH8	NA	13463	-0.07858208566904068	-0.21108568	Yes	
row_120	WASL	NA	13595	-0.0814582034945488	-0.20942055	Yes	
row_121	MSN	NA	13798	-0.08638983964920044	-0.21172068	Yes	
row_122	CD34	NA	13915	-0.08946320414543152	-0.2080949	Yes	
row_123	LAMA3	NA	13975	-0.09068432450294495	-0.20064272	Yes	
row_124	VAV2	NA	14054	-0.09283612668514252	-0.1941484	Yes	
row_125	NFASC	NA	14056	-0.0928877517580986	-0.18268345	Yes	
row_126	SDC3	NA	14092	-0.09393540769815445	-0.17328046	Yes	
row_127	ZYX	NA	14156	-0.09564115107059479	-0.16547093	Yes	
row_128	AKT3	NA	14167	-0.09590747207403183	-0.1542114	Yes	
row_129	PPP2R2C	NA	14169	-0.09593270719051361	-0.14236851	Yes	
row_130	ACTA1	NA	14219	-0.09754370152950287	-0.13342024	Yes	
row_131	PKD1	NA	14224	-0.09762550890445709	-0.12156065	Yes	
row_132	NEXN	NA	14263	-0.09874390065670013	-0.11175423	Yes	
row_133	NEGR1	NA	14275	-0.09905248880386353	-0.10016881	Yes	
