NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0A4	NA	250	0.14831875264644623	0.05719077	No	
row_1	PCSK9	NA	332	0.1391671895980835	0.12068341	No	
row_2	ADAM10	NA	1796	0.07693947106599808	0.0650023	No	
row_3	ATP8B1	NA	2226	0.067606620490551	0.070904225	No	
row_4	MAL	NA	2906	0.055862102657556534	0.055007283	No	
row_5	SCUBE1	NA	3227	0.05118032544851303	0.059780333	No	
row_6	AKAP7	NA	3493	0.04744318127632141	0.06622982	No	
row_7	THY1	NA	4101	0.03965430706739426	0.04694337	No	
row_8	IL2RG	NA	4837	0.031606484204530716	0.015491826	No	
row_9	SULF2	NA	5203	0.02784564532339573	0.0058688927	No	
row_10	B4GALT1	NA	5861	0.02091340161859989	-0.025866624	No	
row_11	AFAP1L2	NA	7903	-0.0016476665623486042	-0.1557026	No	
row_12	IL2RB	NA	8252	-0.005612601526081562	-0.1752091	No	
row_13	CRYBG1	NA	8586	-0.009588138200342655	-0.19179355	No	
row_14	RHCG	NA	9409	-0.01908627711236477	-0.23499276	No	
row_15	HSPB1	NA	9411	-0.019115420058369637	-0.2256235	No	
row_16	TMEM8B	NA	9698	-0.02242262102663517	-0.23286568	No	
row_17	GAS1	NA	9755	-0.02308833971619606	-0.2250565	No	
row_18	RTN4RL1	NA	10636	-0.03407885134220123	-0.26456973	No	
row_19	BRCA1	NA	10799	-0.035993792116642	-0.25717714	No	
row_20	LYN	NA	10968	-0.038329172879457474	-0.24901614	No	
row_21	FLOT2	NA	11541	-0.04586293548345566	-0.26299825	No	
row_22	CX3CL1	NA	12272	-0.05636606737971306	-0.28191113	Yes	
row_23	NCOA6	NA	12560	-0.06118617206811905	-0.2700879	Yes	
row_24	GATA3	NA	12837	-0.06631363183259964	-0.25503016	Yes	
row_25	EFNA5	NA	13138	-0.07152543216943741	-0.23893675	Yes	
row_26	PKHD1	NA	13149	-0.07178593426942825	-0.20415121	Yes	
row_27	MDGA1	NA	13235	-0.07355023175477982	-0.17329594	Yes	
row_28	CROCC	NA	13277	-0.07443702965974808	-0.13918652	Yes	
row_29	SHROOM2	NA	13380	-0.07681838423013687	-0.107806645	Yes	
row_30	ADIPOR2	NA	14007	-0.09158747643232346	-0.102680825	Yes	
row_31	APP	NA	14074	-0.09329774230718613	-0.06086412	Yes	
row_32	DCBLD2	NA	14351	-0.1011759415268898	-0.028602183	Yes	
row_33	NTNG1	NA	14402	-0.10313750803470612	0.019094547	Yes	
row_34	SRPX	NA	14911	-0.12383802235126495	0.047689147	Yes	
