NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NR1H4	NA	257	0.14756250381469727	0.020741526	Yes	
row_1	CROT	NA	611	0.11966846883296967	0.028279934	Yes	
row_2	SULT2B1	NA	635	0.11812146753072739	0.056614354	Yes	
row_3	TFCP2L1	NA	806	0.1093633621931076	0.07330084	Yes	
row_4	PEX13	NA	1048	0.09852124005556107	0.08269274	Yes	
row_5	AMACR	NA	1104	0.09697965532541275	0.103637025	Yes	
row_6	GSTK1	NA	1405	0.08703120052814484	0.106341235	Yes	
row_7	LCK	NA	1479	0.08513477444648743	0.12314053	Yes	
row_8	PEX11A	NA	1584	0.08226883411407471	0.13722628	Yes	
row_9	MLYCD	NA	1640	0.08077700436115265	0.15408142	Yes	
row_10	RXRG	NA	2009	0.07219864428043365	0.14867654	Yes	
row_11	PEX6	NA	2119	0.06981627643108368	0.15929857	Yes	
row_12	FDXR	NA	2175	0.06874783337116241	0.17311782	Yes	
row_13	NR3C2	NA	2375	0.06504594534635544	0.1767578	Yes	
row_14	DHCR24	NA	2514	0.06252460181713104	0.18367773	Yes	
row_15	ABCG8	NA	2718	0.0588793084025383	0.1855046	Yes	
row_16	PEX12	NA	3022	0.054103609174489975	0.17970607	Yes	
row_17	SLC35B2	NA	3109	0.05273474007844925	0.18749374	Yes	
row_18	SLC22A18	NA	3175	0.05184824764728546	0.19640593	Yes	
row_19	ACSL1	NA	3539	0.046738266944885254	0.18489647	No	
row_20	AR	NA	3706	0.04468255117535591	0.18551587	No	
row_21	AKR1D1	NA	3814	0.04331757128238678	0.18957865	No	
row_22	SCP2	NA	4032	0.04055783525109291	0.18588279	No	
row_23	PNPLA8	NA	4248	0.03781893849372864	0.18162411	No	
row_24	PEX7	NA	4251	0.037789832800626755	0.19103296	No	
row_25	PAOX	NA	4481	0.03562747687101364	0.18532239	No	
row_26	ABCA3	NA	4583	0.03444455564022064	0.18753104	No	
row_27	NR0B2	NA	4770	0.03234240785241127	0.18375205	No	
row_28	NEDD4	NA	5230	0.027639852836728096	0.16125928	No	
row_29	IDH1	NA	5545	0.02421650104224682	0.14721173	No	
row_30	ALDH9A1	NA	5589	0.023723112419247627	0.15043822	No	
row_31	NPC1	NA	5809	0.02142036147415638	0.14178412	No	
row_32	LONP2	NA	5841	0.021107204258441925	0.14512083	No	
row_33	PEX11G	NA	5978	0.019604118540883064	0.14133707	No	
row_34	IDH2	NA	5979	0.019596723839640617	0.1462828	No	
row_35	DIO2	NA	6046	0.01881040632724762	0.14679281	No	
row_36	PHYH	NA	6177	0.017454389482736588	0.14285173	No	
row_37	RXRA	NA	6257	0.01651671901345253	0.14194824	No	
row_38	HSD17B4	NA	6279	0.016334017738699913	0.14472233	No	
row_39	GCLM	NA	6373	0.015551570802927017	0.14267646	No	
row_40	RBP1	NA	6699	0.01199288759380579	0.12483774	No	
row_41	APOA1	NA	6708	0.011859657242894173	0.12731723	No	
row_42	BCAR3	NA	6748	0.011450553312897682	0.12770322	No	
row_43	SOD1	NA	6856	0.010211501270532608	0.12341082	No	
row_44	PEX19	NA	7122	0.0071719554252922535	0.1082075	No	
row_45	HAO1	NA	7243	0.005639926064759493	0.10192672	No	
row_46	ALDH8A1	NA	7270	0.005380403716117144	0.10161538	No	
row_47	AGXT	NA	7383	0.003973658662289381	0.095427684	No	
row_48	NUDT12	NA	7445	0.003356637666001916	0.09235854	No	
row_49	SLC23A1	NA	8087	-0.00375315360724926	0.05215269	No	
row_50	DIO1	NA	8175	-0.004705450963228941	0.047754716	No	
row_51	GNPAT	NA	8550	-0.009017007425427437	0.026019096	No	
row_52	IDI1	NA	8571	-0.009313221089541912	0.027085505	No	
row_53	AQP9	NA	9325	-0.01805233396589756	-0.01670212	No	
row_54	CAT	NA	9349	-0.018403848633170128	-0.013534055	No	
row_55	ABCA1	NA	9731	-0.022855224087834358	-0.03222665	No	
row_56	ABCD3	NA	9786	-0.023384658619761467	-0.029791787	No	
row_57	OPTN	NA	9853	-0.024207675829529762	-0.027919633	No	
row_58	ACSL5	NA	10222	-0.028663311153650284	-0.044311784	No	
row_59	FADS2	NA	10281	-0.029437310993671417	-0.040606186	No	
row_60	ABCA2	NA	10515	-0.032288361340761185	-0.04741628	No	
row_61	ABCA4	NA	10541	-0.03269660845398903	-0.040769465	No	
row_62	GNMT	NA	10579	-0.03321702405810356	-0.034761727	No	
row_63	PEX16	NA	10940	-0.037889450788497925	-0.04831181	No	
row_64	ALDH1A1	NA	10975	-0.03837529569864273	-0.040809643	No	
row_65	ABCG4	NA	11383	-0.0435221791267395	-0.055955622	No	
row_66	ATXN1	NA	11386	-0.04359548166394234	-0.045081563	No	
row_67	FADS1	NA	11692	-0.04798911511898041	-0.052551657	No	
row_68	GC	NA	11843	-0.04998960345983505	-0.04956567	No	
row_69	HACL1	NA	11872	-0.050513822585344315	-0.038614817	No	
row_70	BBOX1	NA	12295	-0.05677587911486626	-0.0513789	No	
row_71	PEX1	NA	12621	-0.062008749693632126	-0.056594796	No	
row_72	CH25H	NA	12763	-0.06497755646705627	-0.049248394	No	
row_73	BMP6	NA	13420	-0.07750947773456573	-0.071802914	No	
row_74	SLC29A1	NA	13425	-0.07769311219453812	-0.052451827	No	
row_75	ABCD2	NA	13522	-0.07956569641828537	-0.038534664	No	
row_76	SLC23A2	NA	14149	-0.0953725054860115	-0.054654945	No	
row_77	SLC27A2	NA	14824	-0.11957691609859467	-0.06774827	No	
row_78	EFHC1	NA	14913	-0.12399859726428986	-0.04210369	No	
row_79	ABCA5	NA	15422	-0.16408202052116394	-0.033307567	No	
row_80	PECR	NA	15540	-0.19124777615070343	0.00744727	No	
