NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	NA	853	0.10717309266328812	-0.0064961826	No	
row_1	MAL2	NA	1407	0.0869193896651268	-0.002870757	No	
row_2	ANXA13	NA	1609	0.08157993108034134	0.020910608	No	
row_3	PPARG	NA	1739	0.07822051644325256	0.047795903	No	
row_4	ACAT2	NA	2724	0.058782752603292465	0.011159483	No	
row_5	STARD4	NA	2772	0.057790618389844894	0.03411822	No	
row_6	AVPR1A	NA	3127	0.05247625708580017	0.035016827	No	
row_7	ERRFI1	NA	3470	0.04777238890528679	0.034570508	No	
row_8	MVK	NA	3555	0.046468693763017654	0.050070427	No	
row_9	FDPS	NA	4063	0.04008163884282112	0.035595123	No	
row_10	NFIL3	NA	4174	0.03879130631685257	0.045978893	No	
row_11	ACSS2	NA	4540	0.035011082887649536	0.038324006	No	
row_12	LGMN	NA	4631	0.0339338444173336	0.04780645	No	
row_13	GUSB	NA	4846	0.031512681394815445	0.048255187	No	
row_14	HMGCR	NA	5683	0.022717753425240517	0.00489513	No	
row_15	FASN	NA	5742	0.022127481177449226	0.011122432	No	
row_16	LSS	NA	5831	0.02117345482110977	0.014998667	No	
row_17	PNRC1	NA	6002	0.019400136545300484	0.012823606	No	
row_18	S100A11	NA	6018	0.019157588481903076	0.020471625	No	
row_19	CD9	NA	6414	0.015149261802434921	0.0019687403	No	
row_20	NSDHL	NA	6529	0.013793900609016418	8.6266844E-4	No	
row_21	ATXN2	NA	6571	0.013395351357758045	0.004255181	No	
row_22	ATF3	NA	6587	0.013232581317424774	0.009240573	No	
row_23	SCD	NA	6766	0.011216798797249794	0.0028753963	No	
row_24	HMGCS1	NA	7421	0.003583395155146718	-0.037421227	No	
row_25	SC5D	NA	7492	0.0028907565865665674	-0.040607613	No	
row_26	SREBF2	NA	7561	0.002209900878369808	-0.043971807	No	
row_27	PCYT2	NA	7809	-7.434666622430086E-4	-0.05946495	No	
row_28	PMVK	NA	7899	-0.0016018461901694536	-0.064448036	No	
row_29	IDI1	NA	8571	-0.009313221089541912	-0.103259064	No	
row_30	LPL	NA	8770	-0.011537034995853901	-0.110761896	No	
row_31	CHKA	NA	8817	-0.012119065970182419	-0.108263314	No	
row_32	PDK3	NA	9445	-0.019387081265449524	-0.13972785	No	
row_33	TMEM97	NA	9956	-0.02550165355205536	-0.16094746	No	
row_34	DHCR7	NA	10250	-0.028990933671593666	-0.16669412	No	
row_35	FADS2	NA	10281	-0.029437310993671417	-0.15538768	No	
row_36	ALDOC	NA	10507	-0.03220478445291519	-0.15533277	No	
row_37	ABCA2	NA	10515	-0.032288361340761185	-0.14127134	No	
row_38	TP53INP1	NA	10596	-0.033465925604104996	-0.13135839	No	
row_39	SQLE	NA	10830	-0.03644159808754921	-0.12991214	No	
row_40	LGALS3	NA	11267	-0.0421503484249115	-0.13890825	No	
row_41	ANTXR2	NA	12308	-0.05705557018518448	-0.17990921	Yes	
row_42	ANXA5	NA	12701	-0.06362834572792053	-0.17643395	Yes	
row_43	GPX8	NA	12813	-0.06587354093790054	-0.15394384	Yes	
row_44	GLDC	NA	13536	-0.07989738136529922	-0.16430318	Yes	
row_45	NIBAN1	NA	13542	-0.08009838312864304	-0.12862833	Yes	
row_46	CTNNB1	NA	14361	-0.1014128103852272	-0.13547039	Yes	
row_47	CPEB2	NA	14628	-0.11130288988351822	-0.10249695	Yes	
row_48	HSD17B7	NA	14663	-0.11230769753456116	-0.054205887	Yes	
row_49	ALCAM	NA	14716	-0.11435966193675995	-0.0061461027	Yes	
row_50	JAG1	NA	15272	-0.14756807684898376	0.024605947	Yes	
