NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSB	NA	158	0.16374509036540985	0.01304704	Yes	
row_1	CEBPB	NA	191	0.1570752114057541	0.033267003	Yes	
row_2	CPM	NA	302	0.1425085812807083	0.046394516	Yes	
row_3	PCSK9	NA	332	0.1391671895980835	0.06426744	Yes	
row_4	DPP4	NA	403	0.1325669288635254	0.07856216	Yes	
row_5	PHEX	NA	561	0.12194348871707916	0.08574386	Yes	
row_6	CASP7	NA	569	0.12177438288927078	0.102567144	Yes	
row_7	PLA2G7	NA	628	0.11831341683864594	0.11561317	Yes	
row_8	IRF7	NA	924	0.1036783903837204	0.11131155	Yes	
row_9	DYRK2	NA	935	0.10334005951881409	0.12532651	Yes	
row_10	CR1	NA	959	0.10250221192836761	0.13838494	Yes	
row_11	C1QA	NA	1144	0.0957496389746666	0.1401111	Yes	
row_12	C1QC	NA	1145	0.09566772729158401	0.15368207	Yes	
row_13	CTSC	NA	1461	0.08564560115337372	0.14553365	Yes	
row_14	LCK	NA	1479	0.08513477444648743	0.15651505	Yes	
row_15	PIK3R5	NA	1618	0.08137736469507217	0.15916653	Yes	
row_16	PREP	NA	1683	0.0798402801156044	0.16636832	Yes	
row_17	CDA	NA	1839	0.07603561133146286	0.16716662	Yes	
row_18	PLA2G4A	NA	1864	0.07544306665658951	0.17632212	Yes	
row_19	USP14	NA	2039	0.07168984413146973	0.17527965	Yes	
row_20	IRF1	NA	2118	0.06982894241809845	0.18015915	Yes	
row_21	LTA4H	NA	2339	0.06555332243442535	0.17528208	No	
row_22	IRF2	NA	2460	0.06368307024240494	0.1765834	No	
row_23	CTSO	NA	2560	0.061697818338871	0.17895629	No	
row_24	CD40LG	NA	2791	0.05747189000248909	0.17228843	No	
row_25	CTSH	NA	2837	0.05690152943134308	0.17746054	No	
row_26	RHOG	NA	3042	0.05384674668312073	0.17195381	No	
row_27	ATOX1	NA	3111	0.05270921066403389	0.17504917	No	
row_28	RAF1	NA	3370	0.04920655116438866	0.1654046	No	
row_29	FDX1	NA	3485	0.04750516638159752	0.16479762	No	
row_30	PSEN1	NA	3512	0.04721648618578911	0.16982016	No	
row_31	LAP3	NA	3550	0.0465075857937336	0.17403334	No	
row_32	MAFF	NA	3693	0.04480971023440361	0.17123976	No	
row_33	CTSD	NA	3769	0.043979328125715256	0.17264567	No	
row_34	DOCK4	NA	3821	0.043237268924713135	0.17549282	No	
row_35	C1S	NA	4149	0.039116691797971725	0.15997079	No	
row_36	F7	NA	4189	0.03852499648928642	0.16292271	No	
row_37	PRKCD	NA	4268	0.03769923001527786	0.16324444	No	
row_38	DUSP6	NA	4361	0.03684781864285469	0.1625433	No	
row_39	C1R	NA	4607	0.034165430814027786	0.15160275	No	
row_40	LGMN	NA	4631	0.0339338444173336	0.15493438	No	
row_41	GP1BA	NA	4633	0.033926282078027725	0.15968257	No	
row_42	GMFB	NA	4782	0.03216351941227913	0.15470843	No	
row_43	CDK5R1	NA	4789	0.03208339586853981	0.158873	No	
row_44	TNFAIP3	NA	4804	0.03195694461464882	0.16250415	No	
row_45	KIF2A	NA	4877	0.031261932104825974	0.16229935	No	
row_46	CASP9	NA	4884	0.031147116795182228	0.16633111	No	
