NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL16A1	NA	337	0.13856394588947296	-0.0060201413	No	
row_1	TGM2	NA	506	0.12534862756729126	-0.0026307984	No	
row_2	COL1A1	NA	566	0.12182825803756714	0.0073955567	No	
row_3	NID2	NA	717	0.11339633166790009	0.010589594	No	
row_4	TNC	NA	816	0.10896943509578705	0.0166379	No	
row_5	ANPEP	NA	837	0.10807890444993973	0.027620584	No	
row_6	COL1A2	NA	952	0.10282942652702332	0.031938683	No	
row_7	QSOX1	NA	1030	0.09942200034856796	0.038258463	No	
row_8	COL3A1	NA	1201	0.0936107337474823	0.037914418	No	
row_9	COL6A3	NA	1273	0.09084504097700119	0.043647513	No	
row_10	FBN2	NA	1314	0.08945207297801971	0.051223706	No	
row_11	LAMC2	NA	1499	0.08455830067396164	0.048947826	No	
row_12	COL11A1	NA	1820	0.0764765590429306	0.036974296	No	
row_13	COL6A2	NA	1896	0.07451912015676498	0.04059513	No	
row_14	DKK1	NA	1899	0.07449907064437866	0.048926402	No	
row_15	MEST	NA	1986	0.07269151508808136	0.051629547	No	
row_16	PFN2	NA	2351	0.06540636718273163	0.035558302	No	
row_17	COL7A1	NA	2396	0.06470397114753723	0.04006578	No	
row_18	GREM1	NA	2569	0.06139282137155533	0.035933837	No	
row_19	LOXL2	NA	2728	0.058680202811956406	0.032397646	No	
row_20	TNFRSF11B	NA	2751	0.0582008957862854	0.037586883	No	
row_21	FAP	NA	2774	0.057774823158979416	0.042727735	No	
row_22	PRRX1	NA	2827	0.05694224685430527	0.045837298	No	
row_23	ITGA2	NA	3031	0.05397232994437218	0.038861364	No	
row_24	ELN	NA	3069	0.0534396655857563	0.042541534	No	
row_25	TPM1	NA	3108	0.05273713544011116	0.04607736	No	
row_26	ADAM12	NA	3611	0.04588429257273674	0.018880142	No	
row_27	COL12A1	NA	3780	0.04377681016921997	0.01300589	No	
row_28	RHOB	NA	3868	0.042625825852155685	0.012230109	No	
row_29	VCAM1	NA	3905	0.0422416515648365	0.014703146	No	
row_30	LAMC1	NA	3927	0.04200901836156845	0.018118132	No	
