NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE2L6	NA	132	0.16921550035476685	0.023697592	Yes	
row_1	UROS	NA	151	0.16434313356876373	0.05380417	Yes	
row_2	PTS	NA	282	0.1448025405406952	0.07298611	Yes	
row_3	CPOX	NA	314	0.14137080311775208	0.09788585	Yes	
row_4	AADAT	NA	349	0.13708825409412384	0.12177781	Yes	
row_5	CA6	NA	437	0.1298144906759262	0.14087546	Yes	
row_6	SUCLG2	NA	934	0.10334210842847824	0.12861778	Yes	
row_7	PPARA	NA	1122	0.09640579670667648	0.1349247	Yes	
row_8	GABARAPL1	NA	1193	0.09397951513528824	0.14829898	Yes	
row_9	FABP1	NA	1305	0.08978333324193954	0.15823664	Yes	
row_10	RAP1GDS1	NA	1336	0.08876857906579971	0.1731936	Yes	
row_11	MLYCD	NA	1640	0.08077700436115265	0.16906266	Yes	
row_12	CRAT	NA	1727	0.07851754128932953	0.17846586	Yes	
row_13	GAD2	NA	1769	0.0774165689945221	0.19055533	Yes	
row_14	REEP6	NA	1901	0.07447296380996704	0.19629332	Yes	
row_15	AUH	NA	2054	0.07128770649433136	0.20007399	Yes	
row_16	D2HGDH	NA	2212	0.06793804466724396	0.20289567	Yes	
row_17	MIF	NA	2346	0.06548707187175751	0.20679547	Yes	
row_18	HMGCS2	NA	2415	0.06439767777919769	0.21467076	Yes	
row_19	DHCR24	NA	2514	0.06252460181713104	0.22025923	Yes	
row_20	HIBCH	NA	2701	0.05912670120596886	0.21953847	Yes	
row_21	ACAT2	NA	2724	0.058782752603292465	0.22930568	Yes	
row_22	ECI1	NA	2780	0.0576440766453743	0.23673272	Yes	
row_23	ACADS	NA	2840	0.05684378743171692	0.24375011	Yes	
row_24	G0S2	NA	2847	0.05670931562781334	0.25415248	Yes	
row_25	ECHS1	NA	3150	0.05209949612617493	0.24463023	Yes	
row_26	SDHD	NA	3254	0.05073072016239166	0.24765328	Yes	
row_27	ALAD	NA	3255	0.0507168173789978	0.25730172	Yes	
row_28	CPT2	NA	3340	0.04960417002439499	0.26133308	Yes	
row_29	IL4I1	NA	3375	0.04910187050700188	0.26848638	Yes	
row_30	CRYZ	NA	3402	0.04867059737443924	0.27607244	Yes	
row_31	ACSL1	NA	3539	0.046738266944885254	0.2762124	Yes	
row_32	SUCLA2	NA	3692	0.04481401666998863	0.27495667	Yes	
row_33	FH	NA	3712	0.04462270438671112	0.2822231	Yes	
row_34	DLST	NA	3756	0.04411701485514641	0.28784895	Yes	
row_35	PRDX6	NA	3923	0.042027346789836884	0.28516218	Yes	
row_36	ECI2	NA	3925	0.04201831296086311	0.29309145	Yes	
row_37	ACAA2	NA	3926	0.04201079532504082	0.30108365	Yes	
row_38	DLD	NA	3939	0.041818950325250626	0.30826715	Yes	
row_39	ACADL	NA	4003	0.04083441570401192	0.31198147	Yes	
row_40	ACO2	NA	4026	0.04066256433725357	0.3183015	Yes	
row_41	HPGD	NA	4050	0.040186647325754166	0.3244666	Yes	
row_42	ETFDH	NA	4127	0.039337676018476486	0.32705966	Yes	
row_43	PDHA1	NA	4263	0.037730779498815536	0.32555035	Yes	
row_44	SUCLG1	NA	4421	0.0362895242869854	0.32235116	Yes	
row_45	SDHC	NA	4499	0.03546639531850815	0.32414338	Yes	
row_46	MDH2	NA	4503	0.03541587293148041	0.3306879	Yes	
row_47	MDH1	NA	4591	0.03436396270990372	0.3316269	Yes	
row_48	SLC22A5	NA	4681	0.033458225429058075	0.33226487	Yes	
row_49	SDHA	NA	4882	0.031164569780230522	0.32532367	No	
row_50	BPHL	NA	4935	0.03069632686674595	0.32781717	No	
row_51	HSDL2	NA	5035	0.029753057286143303	0.32710677	No	
row_52	KMT5A	NA	5314	0.026673829182982445	0.31429192	No	
row_53	TDO2	NA	5357	0.02624836377799511	0.31658274	No	
row_54	IDH1	NA	5545	0.02421650104224682	0.30915627	No	
row_55	ALDH9A1	NA	5589	0.023723112419247627	0.31090233	No	
row_56	IDH3B	NA	5591	0.023697039112448692	0.31534615	No	
row_57	HAO2	NA	5692	0.022608770057559013	0.31321228	No	
row_58	ACAA1	NA	5724	0.02229098230600357	0.3154581	No	
row_59	FASN	NA	5742	0.022127481177449226	0.31857368	No	
row_60	HADH	NA	5916	0.020286262035369873	0.31130043	No	
row_61	MGLL	NA	6092	0.01833520457148552	0.30352727	No	
row_62	GLUL	NA	6109	0.018150120973587036	0.30595058	No	
row_63	NBN	NA	6125	0.01798776164650917	0.30840734	No	
row_64	EHHADH	NA	6134	0.017894120886921883	0.31129676	No	
row_65	PCBD1	NA	6189	0.017358310520648956	0.31112412	No	
