NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ILF3	NA	246	0.1487753838300705	0.0048470916	No	
row_1	NSD2	NA	392	0.13334129750728607	0.014065404	No	
row_2	TOP1	NA	617	0.11914385110139847	0.01620387	No	
row_3	SLC12A2	NA	702	0.11461266130208969	0.026751319	No	
row_4	SMAD3	NA	1001	0.1004660353064537	0.02150845	No	
row_5	SYNCRIP	NA	1011	0.10009365528821945	0.034875706	No	
row_6	SRSF1	NA	1085	0.09733065217733383	0.043725163	No	
row_7	RAD23B	NA	1147	0.0956190675497055	0.053110994	No	
row_8	HUS1	NA	1387	0.08732610195875168	0.04984692	No	
row_9	SRSF2	NA	1658	0.08032487332820892	0.04360539	No	
row_10	ORC5	NA	1919	0.0740015059709549	0.03712842	No	
row_11	HMGB3	NA	1959	0.0731981098651886	0.044810444	No	
row_12	SLC7A1	NA	2592	0.06105475500226021	0.012507601	No	
row_13	DBF4	NA	2692	0.05935074761509895	0.0143854795	No	
row_14	MAPK14	NA	3028	0.053998302668333054	2.7790363E-4	No	
row_15	CCND1	NA	3038	0.053911615163087845	0.0072095185	No	
row_16	BRCA2	NA	3061	0.053570251911878586	0.013254096	No	
row_17	HMGA1	NA	3346	0.04953907057642937	0.0018184062	No	
row_18	DTYMK	NA	3347	0.04952215403318405	0.008719504	No	
row_19	XPO1	NA	3413	0.0485377311706543	0.011286079	No	
row_20	RBL1	NA	3557	0.04644389450550079	0.008524063	No	
row_21	TMPO	NA	3912	0.042153894901275635	-0.00846099	No	
row_22	SAP30	NA	3971	0.04136325418949127	-0.0064421846	No	
row_23	G3BP1	NA	3979	0.04125773534178734	-0.0011447859	No	
row_24	TENT4A	NA	4162	0.03895287215709686	-0.0074691074	No	
row_25	SLC38A1	NA	4803	0.031963199377059937	-0.044342566	No	
row_26	POLE	NA	4926	0.030760854482650757	-0.047934007	No	
row_27	HSPA8	NA	5118	0.028704727068543434	-0.056267615	No	
row_28	GSPT1	NA	5133	0.028560668230056763	-0.053191625	No	
row_29	PML	NA	5214	0.027772758156061172	-0.05448734	No	
row_30	MYC	NA	5231	0.02761620655655861	-0.051672112	No	
row_31	ODF2	NA	5248	0.02740909904241562	-0.048885744	No	
row_32	PRIM2	NA	5278	0.027066703885793686	-0.046986554	No	
row_33	KMT5A	NA	5314	0.026673829182982445	-0.045529563	No	
row_34	CUL4A	NA	5496	0.02461349032819271	-0.053787556	No	
row_35	CHMP1A	NA	5785	0.021666357293725014	-0.06936571	No	
row_36	DKC1	NA	5843	0.021073536947369576	-0.07010978	No	
row_37	RPS6KA5	NA	5865	0.020875055342912674	-0.06855682	No	
row_38	E2F2	NA	6098	0.018310293555259705	-0.08098649	No	
row_39	JPT1	NA	6154	0.017736753448843956	-0.0820664	No	
row_40	TLE3	NA	6155	0.017730263993144035	-0.079595625	No	
row_41	PRC1	NA	6320	0.015941528603434563	-0.08796432	No	
row_42	KNL1	NA	6470	0.014497547410428524	-0.095565625	No	
row_43	CUL3	NA	6720	0.011727877892553806	-0.11001034	No	
row_44	E2F1	NA	6751	0.011392463929951191	-0.11035999	No	
row_45	BARD1	NA	6839	0.010441595688462257	-0.1145229	No	
row_46	KIF11	NA	6854	0.010226566344499588	-0.114001825	No	
row_47	RAD21	NA	6987	0.008702225051820278	-0.12131297	No	
row_48	PURA	NA	7028	0.00822492130100727	-0.12274977	No	
row_49	ABL1	NA	7069	0.007756993640214205	-0.12425178	No	
row_50	HNRNPU	NA	7286	0.005203694105148315	-0.13747472	No	
row_51	CCNF	NA	7349	0.004383801948279142	-0.14086743	No	
row_52	ODC1	NA	7425	0.003528276225551963	-0.14521883	No	
row_53	PRPF4B	NA	7458	0.0032490058802068233	-0.14683245	No	
row_54	KIF23	NA	7499	0.002837675390765071	-0.14901999	No	
row_55	UPF1	NA	7505	0.0027880414854735136	-0.14895433	No	
row_56	MARCKS	NA	7508	0.0027737407945096493	-0.14869696	No	
row_57	DR1	NA	7527	0.0024398756213486195	-0.1495193	No	
row_58	RACGAP1	NA	7682	6.740684038959444E-4	-0.15936983	No	
row_59	HOXC10	NA	7845	-0.0010486779501661658	-0.16968475	No	
row_60	MNAT1	NA	7975	-0.002482504118233919	-0.1776689	No	
row_61	MAP3K20	NA	7983	-0.0026924412231892347	-0.17774573	No	
row_62	KIF20B	NA	8030	-0.003156132996082306	-0.18027633	No	
row_63	CENPF	NA	8136	-0.0043328991159796715	-0.18645284	No	
row_64	CUL5	NA	8144	-0.004439889919012785	-0.18628615	No	
row_65	ESPL1	NA	8154	-0.004545322619378567	-0.18623391	No	
row_66	NASP	NA	8324	-0.006561723072081804	-0.19623259	No	
row_67	SMC4	NA	8436	-0.007684777956455946	-0.20232946	No	
row_68	SMC2	NA	8466	-0.008073775097727776	-0.203077	No	
row_69	STIL	NA	8529	-0.008814318105578423	-0.20585231	No	
row_70	AMD1	NA	8540	-0.00894079077988863	-0.20525213	No	
row_71	CDKN1B	NA	8726	-0.011073485016822815	-0.21565527	No	
row_72	CDKN3	NA	8743	-0.01120375469326973	-0.21512717	No	
row_73	ARID4A	NA	8801	-0.011962156742811203	-0.21714094	No	
row_74	NUP50	NA	8821	-0.012190830893814564	-0.21666902	No	
row_75	NUSAP1	NA	8844	-0.012387460097670555	-0.21636342	No	
row_76	EWSR1	NA	8919	-0.013235513120889664	-0.21929751	No	
