NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCAF10	NA	99	0.17971543967723846	0.020905685	Yes	
row_1	UROS	NA	151	0.16434313356876373	0.042572122	Yes	
row_2	CTSB	NA	158	0.16374509036540985	0.067049295	Yes	
row_3	EIF2AK1	NA	234	0.150455504655838	0.085059464	Yes	
row_4	CPOX	NA	314	0.14137080311775208	0.10143224	Yes	
row_5	SELENBP1	NA	503	0.12548761069774628	0.108365044	Yes	
row_6	TSPAN5	NA	558	0.1220739558339119	0.123419635	Yes	
row_7	TOP1	NA	617	0.11914385110139847	0.1377714	Yes	
row_8	ABCG2	NA	646	0.11742378771305084	0.15379633	Yes	
row_9	ASNS	NA	768	0.11105633527040482	0.16285786	Yes	
row_10	MGST3	NA	836	0.10810356587171555	0.1749529	Yes	
row_11	MBOAT2	NA	839	0.10796967893838882	0.1912187	Yes	
row_12	MPP1	NA	945	0.10304942727088928	0.20009609	Yes	
row_13	SDCBP	NA	1382	0.0875878781080246	0.18528324	Yes	
row_14	TMCC2	NA	1682	0.07984405755996704	0.17812812	Yes	
row_15	TFDP2	NA	1869	0.07537657022476196	0.17758071	Yes	
row_16	GDE1	NA	1930	0.07377789169549942	0.18491487	Yes	
row_17	RNF123	NA	2097	0.07042551785707474	0.18490525	Yes	
row_18	MKRN1	NA	2149	0.06936611235141754	0.1921498	Yes	
row_19	NARF	NA	2203	0.06813846528530121	0.19907899	Yes	
row_20	ABCB6	NA	2533	0.062334515154361725	0.18733074	Yes	
row_21	HAGH	NA	2691	0.059357210993766785	0.18622075	Yes	
row_22	SLC30A10	NA	2851	0.056620899587869644	0.18456629	Yes	
row_23	SLC66A2	NA	2864	0.05647417530417442	0.19236793	Yes	
row_24	UBAC1	NA	2896	0.05595739930868149	0.198866	Yes	
row_25	RBM5	NA	3033	0.05396302044391632	0.19829096	Yes	
row_26	BTG2	NA	3122	0.05251853168010712	0.20059156	Yes	
row_27	MOSPD1	NA	3187	0.05163652077317238	0.20430574	Yes	
row_28	ARL2BP	NA	3202	0.051461830735206604	0.2112173	Yes	
row_29	ALAD	NA	3255	0.0507168173789978	0.21556556	Yes	
row_30	PDZK1IP1	NA	3283	0.05025388300418854	0.22145548	Yes	
row_31	XPO7	NA	3451	0.048079218715429306	0.21798818	Yes	
row_32	BPGM	NA	3549	0.0465136393904686	0.21879667	Yes	
row_33	RAP1GAP	NA	3615	0.045803382992744446	0.22156061	Yes	
row_34	CCDC28A	NA	3684	0.04489101096987724	0.22399259	Yes	
row_35	ARHGEF12	NA	3778	0.04378936439752579	0.2246453	Yes	
row_36	SLC6A8	NA	4067	0.04004117101430893	0.21215554	No	
row_37	USP15	NA	4962	0.030426956713199615	0.1591318	No	
row_38	RCL1	NA	5017	0.029939815402030945	0.16019619	No	
row_39	ACKR1	NA	5030	0.02980032004415989	0.16394751	No	
row_40	GLRX5	NA	5060	0.029434895142912865	0.1665472	No	
row_41	MFHAS1	NA	5131	0.028596747666597366	0.16637598	No	
row_42	ATG4A	NA	5539	0.024257946759462357	0.14381664	No	
row_43	SEC14L1	NA	5644	0.02316848747432232	0.14062889	No	
row_44	ERMAP	NA	5736	0.022178225219249725	0.13812901	No	
row_45	NNT	NA	5740	0.02215609699487686	0.14129989	No	
row_46	OSBP2	NA	6084	0.01838831789791584	0.121975884	No	
row_47	E2F2	NA	6098	0.018310293555259705	0.12391801	No	
row_48	HTRA2	NA	6222	0.016966579481959343	0.118563436	No	
row_49	CLCN3	NA	6309	0.016036327928304672	0.115453325	No	
row_50	GCLM	NA	6373	0.015551570802927017	0.11375261	No	
row_51	UROD	NA	6419	0.015101230703294277	0.11314413	No	
row_52	TCEA1	NA	6443	0.014795522205531597	0.11390776	No	
row_53	LPIN2	NA	6552	0.013531227596104145	0.10899872	No	
row_54	FN3K	NA	6611	0.012940121814608574	0.10722387	No	
row_55	HEBP1	NA	6782	0.011073877103626728	0.097944014	No	
row_56	BTRC	NA	6792	0.010971824638545513	0.099029735	No	
row_57	FBXO7	NA	6823	0.010571228340268135	0.09870057	No	
row_58	GMPS	NA	6897	0.009757254272699356	0.09547523	No	
row_59	MARK3	NA	6938	0.009290982969105244	0.09430688	No	
row_60	RIOK3	NA	7158	0.006688329391181469	0.08120164	No	
row_61	ENDOD1	NA	7215	0.006004874594509602	0.07850265	No	
row_62	TMEM9B	NA	7269	0.005393078550696373	0.0759042	No	
row_63	RBM38	NA	7277	0.005291723180562258	0.07625637	No	
row_64	RNF19A	NA	7529	0.00241901446133852	0.06043954	No	
row_65	ELL2	NA	7584	0.0018580671167001128	0.05723983	No	
row_66	C3	NA	7590	0.0018178352620452642	0.05719347	No	
row_67	GCLC	NA	7653	0.0010444159852340817	0.05335438	No	
row_68	RHAG	NA	7702	4.013908328488469E-4	0.050320353	No	
row_69	MARCHF8	NA	7724	2.064053260255605E-4	0.04899764	No	
row_70	HTATIP2	NA	7747	-1.6497986507602036E-5	0.047581617	No	
row_71	AGPAT4	NA	7824	-8.912695338949561E-4	0.042816572	No	
row_72	MAP2K3	NA	7866	-0.0012575496220961213	0.040363897	No	
row_73	SLC4A1	NA	8100	-0.0038587728049606085	0.025926301	No	
row_74	CDR2	NA	8207	-0.005057803355157375	0.019859567	No	
row_75	SLC25A38	NA	8212	-0.005196381360292435	0.020390702	No	
row_76	LAMP2	NA	8224	-0.005281937308609486	0.020483479	No	
row_77	P4HA2	NA	8270	-0.005827908404171467	0.018466882	No	
row_78	EPB41	NA	8288	-0.006108927074819803	0.01829836	No	
row_79	PIGQ	NA	8296	-0.006263962481170893	0.018798167	No	
row_80	CTNS	NA	8690	-0.01072009652853012	-0.0049141548	No	
row_81	YPEL5	NA	8739	-0.01118443626910448	-0.0063108196	No	
row_82	ANK1	NA	8775	-0.01160586066544056	-0.00680527	No	
row_83	PPOX	NA	8840	-0.012353263795375824	-0.009056113	No	
row_84	FTCD	NA	8936	-0.013417175970971584	-0.0131442435	No	
row_85	RANBP10	NA	8958	-0.013709782622754574	-0.012416519	No	
row_86	SLC22A4	NA	9074	-0.0151340551674366	-0.017533524	No	
row_87	NCOA4	NA	9178	-0.01629202999174595	-0.021700948	No	
row_88	ACSL6	NA	9208	-0.01667146198451519	-0.021039335	No	
row_89	BNIP3L	NA	9271	-0.017325330525636673	-0.022406232	No	
row_90	CAT	NA	9349	-0.018403848633170128	-0.02457654	No	
row_91	FOXJ2	NA	9404	-0.019034449011087418	-0.025168084	No	
row_92	KEL	NA	9410	-0.019097398966550827	-0.022590613	No	
row_93	SLC30A1	NA	9451	-0.01943546161055565	-0.022218563	No	
row_94	CIR1	NA	9628	-0.021411938592791557	-0.030315496	No	
row_95	TAL1	NA	9658	-0.021808622404932976	-0.028873825	No	
row_96	FECH	NA	9710	-0.02262750454246998	-0.028726341	No	
row_97	VEZF1	NA	9776	-0.023304510861635208	-0.029378759	No	
row_98	OPTN	NA	9853	-0.024207675829529762	-0.0306033	No	
row_99	MOCOS	NA	9899	-0.02471158280968666	-0.029752485	No	
row_100	BSG	NA	9907	-0.02476481907069683	-0.026443398	No	
row_101	MARCHF2	NA	9926	-0.02504129335284233	-0.023801593	No	
row_102	SLC25A37	NA	9971	-0.025649413466453552	-0.022743894	No	
row_103	NUDT4	NA	10008	-0.026008963584899902	-0.021115769	No	
row_104	CCND3	NA	10073	-0.02689751796424389	-0.021158123	No	
row_105	SNCA	NA	10165	-0.028075270354747772	-0.022762567	No	
row_106	TRAK2	NA	10278	-0.029342900961637497	-0.025528578	No	
row_107	TFRC	NA	10361	-0.030441857874393463	-0.026193356	No	
row_108	PSMD9	NA	10431	-0.03127720206975937	-0.025893066	No	
row_109	FBXO9	NA	10497	-0.03210432082414627	-0.025209267	No	
row_110	TNRC6B	NA	10639	-0.0340866781771183	-0.029124836	No	
row_111	ADD2	NA	10649	-0.034166302531957626	-0.024517128	No	
row_112	NR3C1	NA	10673	-0.03448904678225517	-0.020763112	No	
row_113	IGSF3	NA	10693	-0.03469967469573021	-0.0167192	No	
row_114	KAT2B	NA	10893	-0.037210334092378616	-0.023900218	No	
row_115	FOXO3	NA	11018	-0.038858380168676376	-0.025995085	No	
row_116	SIDT2	NA	11036	-0.03920679911971092	-0.021137826	No	
row_117	SLC6A9	NA	11071	-0.039670996367931366	-0.01730622	No	
row_118	TNS1	NA	11105	-0.04009733721613884	-0.013345394	No	
row_119	KDM7A	NA	11143	-0.04057642072439194	-0.009569738	No	
row_120	CAST	NA	11167	-0.0409555658698082	-0.0048338077	No	
row_121	PICALM	NA	11200	-0.04135254770517349	-6.179058E-4	No	
row_122	TYR	NA	11237	-0.04182714596390724	0.0034121473	No	
row_123	BMP2K	NA	11398	-0.04372253268957138	-2.653507E-4	No	
row_124	BLVRA	NA	11507	-0.0454350970685482	-3.2991057E-4	No	
row_125	SMOX	NA	11517	-0.04558519273996353	0.0060117114	No	
