NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KDELR3	NA	370	0.13508597016334534	-0.006510541	No	
row_1	SCARB1	NA	394	0.13315702974796295	0.009126657	No	
row_2	HOXB9	NA	439	0.12978972494602203	0.022975514	No	
row_3	SELENBP1	NA	503	0.12548761069774628	0.035044916	No	
row_4	TGM2	NA	506	0.12534862756729126	0.051033452	No	
row_5	SULT2B1	NA	635	0.11812146753072739	0.057960525	No	
row_6	ANGPTL4	NA	657	0.11650490015745163	0.07158563	No	
row_7	PPP1R3C	NA	713	0.1135917603969574	0.082641765	No	
row_8	GAA	NA	1157	0.09534991532564163	0.06631037	No	
row_9	BTG1	NA	1809	0.07662943005561829	0.034147296	No	
row_10	HMOX1	NA	2019	0.07200450450181961	0.029916713	No	
row_11	NDST1	NA	2053	0.07131075859069824	0.036956158	No	
row_12	FOSL2	NA	2201	0.06819555908441544	0.03623736	No	
row_13	MIF	NA	2346	0.06548707187175751	0.03536392	No	
row_14	NAGK	NA	2681	0.059479426592588425	0.021455193	No	
row_15	CSRP2	NA	2725	0.05877113714814186	0.026236856	No	
row_16	TPD52	NA	2765	0.057991012930870056	0.031176373	No	
row_17	RRAGD	NA	2882	0.05620226263999939	0.030916221	No	
row_18	BRS3	NA	2988	0.05443855747580528	0.031139243	No	
row_19	PHKG1	NA	3116	0.05258459970355034	0.029703973	No	
row_20	VLDLR	NA	3345	0.04953974485397339	0.021358535	No	
row_21	TPI1	NA	3358	0.04936322569847107	0.02693128	No	
row_22	ERRFI1	NA	3470	0.04777238890528679	0.025909903	No	
row_23	BHLHE40	NA	3640	0.04539043828845024	0.020838862	No	
row_24	MAFF	NA	3693	0.04480971023440361	0.023244463	No	
row_25	PGM1	NA	3777	0.04380527138710022	0.023520134	No	
row_26	SAP30	NA	3971	0.04136325418949127	0.016382284	No	
row_27	PKP1	NA	4047	0.04020708426833153	0.01671162	No	
row_28	NFIL3	NA	4174	0.03879130631685257	0.013567318	No	
row_29	NEDD4L	NA	4210	0.038328997790813446	0.016236812	No	
row_30	ERO1A	NA	4335	0.037116970866918564	0.013006301	No	
row_31	IGFBP3	NA	4362	0.036834824830293655	0.01606454	No	
row_32	CCNG2	NA	4424	0.03627951443195343	0.016792437	No	
row_33	CASP6	NA	4448	0.03603285178542137	0.01994118	No	
row_34	CITED2	NA	4451	0.03601920232176781	0.024443531	No	
row_35	LARGE1	NA	4475	0.035703811794519424	0.027549965	No	
row_36	VHL	NA	4646	0.03373656049370766	0.020915901	No	
row_37	DTNA	NA	4660	0.0336323045194149	0.024401387	No	
row_38	EXT1	NA	4682	0.03343935310840607	0.027345734	No	
row_39	DDIT3	NA	4801	0.03198806941509247	0.023842985	No	
row_40	TNFAIP3	NA	4804	0.03195694461464882	0.027823001	No	
row_41	EFNA3	NA	4968	0.030388394370675087	0.02121021	No	
row_42	EGFR	NA	4994	0.03014630824327469	0.023472965	No	
row_43	HEXA	NA	5029	0.02981032058596611	0.025111647	No	
