NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PENK	NA	152	0.16428309679031372	0.0081266025	No	
row_1	BATF3	NA	162	0.16267931461334229	0.025308067	No	
row_2	EOMES	NA	272	0.14573116600513458	0.034184497	No	
row_3	TGM2	NA	506	0.12534862756729126	0.032831814	No	
row_4	SOCS1	NA	550	0.12236615270376205	0.043417092	No	
row_5	CD86	NA	620	0.11883115768432617	0.051938217	No	
row_6	TNFRSF21	NA	669	0.11603124439716339	0.06150908	No	
row_7	IL1RL1	NA	697	0.11485640704631805	0.07230712	No	
row_8	P2RX4	NA	829	0.1082630306482315	0.07567254	No	
row_9	IRF8	NA	916	0.10400517284870148	0.0814776	No	
row_10	FGL2	NA	1002	0.10046280175447464	0.08696042	No	
row_11	SH3BGRL2	NA	1065	0.0979047492146492	0.093648486	No	
row_12	AMACR	NA	1104	0.09697965532541275	0.101784624	No	
row_13	GABARAPL1	NA	1193	0.09397951513528824	0.10636593	No	
row_14	PDCD2L	NA	1288	0.09037971496582031	0.110166915	No	
row_15	SYNGR2	NA	1334	0.08885814249515533	0.116964474	No	
row_16	BMP2	NA	1344	0.08849193900823593	0.12604569	No	
row_17	CD83	NA	1346	0.08844378590583801	0.135638	No	
row_18	PTRH2	NA	1626	0.08124945312738419	0.1265012	No	
row_19	PHTF2	NA	1651	0.08046895265579224	0.13373823	No	
row_20	DCPS	NA	1693	0.07927869260311127	0.13974804	No	
row_21	ABCB1	NA	1958	0.07325687259435654	0.13070674	No	
row_22	GPR65	NA	2051	0.07135437428951263	0.13255951	No	
row_23	PTCH1	NA	2316	0.06592466682195663	0.12271763	No	
row_24	PNP	NA	2438	0.06409240514039993	0.12190567	No	
row_25	CCNE1	NA	2454	0.06377658993005753	0.12790103	No	
row_26	TNFRSF8	NA	2486	0.06333756446838379	0.13281573	No	
row_27	ARL4A	NA	2531	0.062347233295440674	0.13678321	No	
row_28	ETFBKMT	NA	2617	0.06065869331359863	0.13791996	No	
row_29	RRAGD	NA	2882	0.05620226263999939	0.12701653	No	
row_30	SPRY4	NA	2916	0.05569196492433548	0.13096735	No	
row_31	IGF2R	NA	2930	0.05552380159497261	0.1361907	No	
row_32	CAPN3	NA	2963	0.054958999156951904	0.14012603	No	
row_33	CD48	NA	3373	0.04913828521966934	0.11909225	No	
row_34	IL10	NA	3425	0.04846448078751564	0.121092096	No	
row_35	COL6A1	NA	3570	0.046306755393743515	0.11685365	No	
row_36	TNFRSF4	NA	3637	0.04547727108001709	0.11755916	No	
row_37	BHLHE40	NA	3640	0.04539043828845024	0.12238609	No	
row_38	ENPP1	NA	3673	0.04500295966863632	0.12523435	No	
row_39	MAFF	NA	3693	0.04480971023440361	0.1289006	No	
row_40	PUS1	NA	3745	0.04425350949168205	0.13044068	No	
row_41	SMPDL3A	NA	3762	0.044034194201231	0.13421589	No	
row_42	SHE	NA	3804	0.04338478296995163	0.13630657	No	
row_43	RHOB	NA	3868	0.042625825852155685	0.13689438	No	
row_44	ECM1	NA	3956	0.04154621809720993	0.13581522	No	
row_45	EEF1AKMT1	NA	4018	0.04073166847229004	0.1363253	No	
row_46	LIF	NA	4077	0.03993244841694832	0.13694175	No	
row_47	COCH	NA	4097	0.039724841713905334	0.14005281	No	
row_48	NFIL3	NA	4174	0.03879130631685257	0.13938285	No	
row_49	AHCY	NA	4240	0.0379052460193634	0.13932614	No	
row_50	MAP3K8	NA	4283	0.03760913386940956	0.14072165	No	
row_51	SNX14	NA	4297	0.037434566766023636	0.14396991	No	
row_52	CD81	NA	4348	0.03696389123797417	0.1447786	No	
row_53	UMPS	NA	4350	0.03693876788020134	0.14874727	No	
