NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL12RB1	NA	183	0.1585468202829361	0.045320157	Yes	
row_1	STAT1	NA	271	0.14575429260730743	0.092190936	Yes	
row_2	STAT3	NA	374	0.13461200892925262	0.13409078	Yes	
row_3	STAT2	NA	504	0.12542244791984558	0.17095312	Yes	
row_4	SOCS1	NA	550	0.12236615270376205	0.21210031	Yes	
row_5	TNFRSF21	NA	669	0.11603124439716339	0.24628848	Yes	
row_6	MYD88	NA	1112	0.09655052423477173	0.25269756	Yes	
row_7	INHBE	NA	1424	0.08663205057382584	0.26393503	Yes	
row_8	PIK3R5	NA	1618	0.08137736469507217	0.28084576	Yes	
row_9	ACVR1B	NA	1641	0.08077292889356613	0.30850056	Yes	
row_10	IL7	NA	1660	0.08027724921703339	0.33623338	Yes	
row_11	HMOX1	NA	2019	0.07200450450181961	0.3391945	Yes	
row_12	IRF1	NA	2118	0.06982894241809845	0.35803947	Yes	
row_13	CSF2RB	NA	2202	0.06817377358675003	0.37725034	Yes	
row_14	CD38	NA	2426	0.06428304314613342	0.38608688	Yes	
row_15	HAX1	NA	2674	0.059557024389505386	0.39168432	Yes	
row_16	CSF3R	NA	3504	0.047345127910375595	0.3555798	No	
row_17	A2M	NA	3533	0.046913400292396545	0.3706661	No	
row_18	LEPR	NA	4064	0.04007328301668167	0.35111156	No	
row_19	CNTFR	NA	4086	0.039851512759923935	0.36410543	No	
row_20	MAP3K8	NA	4283	0.03760913386940956	0.36507446	No	
row_21	BAK1	NA	4562	0.034765198826789856	0.35976374	No	
row_22	IL2RG	NA	4837	0.031606484204530716	0.3535728	No	
row_23	IL2RA	NA	5205	0.027833258733153343	0.3400626	No	
row_24	IFNAR1	NA	5523	0.024405386298894882	0.32852402	No	
row_25	JUN	NA	5787	0.021664517000317574	0.31946072	No	
row_26	IL13RA1	NA	6117	0.018105799332261086	0.3048861	No	
row_27	CSF1	NA	6127	0.017973797395825386	0.3107768	No	
row_28	CD9	NA	6414	0.015149261802434921	0.29789475	No	
row_29	PTPN1	NA	6442	0.014797655865550041	0.3014887	No	
row_30	IFNGR2	NA	6754	0.011345550417900085	0.28563535	No	
row_31	ITGB3	NA	6932	0.009365051053464413	0.2776591	No	
row_32	OSMR	NA	7111	0.007313089445233345	0.26888034	No	
row_33	DNTT	NA	7127	0.007115968037396669	0.27047938	No	
row_34	FAS	NA	7433	0.0034682583063840866	0.2521761	No	
row_35	ACVRL1	NA	7633	0.001320305629633367	0.23989479	No	
row_36	IL6ST	NA	8112	-0.0040354859083890915	0.21070588	No	
row_37	ITGA4	NA	8147	-0.0044793132692575455	0.21013822	No	
row_38	IL15RA	NA	8164	-0.004644084256142378	0.21078369	No	
row_39	CD44	NA	8266	-0.005784168373793364	0.20639068	No	
row_40	GRB2	NA	8320	-0.006508045829832554	0.20533508	No	
row_41	IL6	NA	8969	-0.013851474039256573	0.16878088	No	
row_42	CD36	NA	8995	-0.014204267412424088	0.17228954	No	
row_43	IL4R	NA	9177	-0.016262298449873924	0.16653873	No	
row_44	IL10RB	NA	9546	-0.02041020430624485	0.15029334	No	
row_45	IL17RA	NA	9661	-0.021909264847636223	0.15086938	No	
row_46	TLR2	NA	9903	-0.024737248197197914	0.14432204	No	
row_47	PIM1	NA	10792	-0.035881564021110535	0.10031045	No	
row_48	PTPN2	NA	10876	-0.03699752315878868	0.108302996	No	
row_49	IFNGR1	NA	11748	-0.04868816211819649	0.06998944	No	
row_50	PTPN11	NA	11767	-0.04901900514960289	0.08647442	No	
row_51	TNFRSF1A	NA	12000	-0.05245246738195419	0.09047694	No	
row_52	CBL	NA	12890	-0.06711668521165848	0.05764079	No	
row_53	STAM2	NA	13015	-0.0692758709192276	0.07462005	No	
row_54	SOCS3	NA	13150	-0.07184021919965744	0.091881044	No	
row_55	PDGFC	NA	13504	-0.07933372259140015	0.0978	No	
row_56	IL18R1	NA	14632	-0.11139681190252304	0.065641046	No	
