NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGB8	NA	145	0.1653679460287094	0.017063197	Yes	
row_1	SLC31A2	NA	153	0.16413642466068268	0.042819224	Yes	
row_2	EIF2AK2	NA	333	0.1391374170780182	0.05350415	Yes	
row_3	SEMA4D	NA	478	0.1269388049840927	0.06449595	Yes	
row_4	TACR3	NA	711	0.11365487426519394	0.06769812	Yes	
row_5	P2RX4	NA	829	0.1082630306482315	0.07744729	Yes	
row_6	NMI	NA	865	0.10648692399263382	0.09219501	Yes	
row_7	IRF7	NA	924	0.1036783903837204	0.10501274	Yes	
row_8	CCL22	NA	927	0.1036631315946579	0.12143534	Yes	
row_9	NLRP3	NA	1203	0.0935814157128334	0.118662566	Yes	
row_10	LCK	NA	1479	0.08513477444648743	0.11454115	Yes	
row_11	PIK3R5	NA	1618	0.08137736469507217	0.118644856	Yes	
row_12	ACVR1B	NA	1641	0.08077292889356613	0.13012436	Yes	
row_13	ROS1	NA	1856	0.07563760876655579	0.12841597	Yes	
row_14	IRF1	NA	2118	0.06982894241809845	0.12275258	Yes	
row_15	MARCO	NA	2153	0.06923958659172058	0.1316176	Yes	
row_16	C3AR1	NA	2176	0.06874600052833557	0.1411768	Yes	
row_17	PTGER4	NA	2467	0.06352990865707397	0.1326396	Yes	
row_18	VIP	NA	2502	0.06284700334072113	0.14048395	Yes	
row_19	SLC7A1	NA	2592	0.06105475500226021	0.14449923	Yes	
row_20	SRI	NA	2812	0.057088159024715424	0.13950706	Yes	
row_21	HBEGF	NA	2948	0.05536137521266937	0.13965015	Yes	
row_22	SLAMF1	NA	2998	0.054370202124118805	0.1451748	Yes	
row_23	RHOG	NA	3042	0.05384674668312073	0.15100238	Yes	
row_24	BTG2	NA	3122	0.05251853168010712	0.15429889	Yes	
row_25	IL7R	NA	3194	0.0515659861266613	0.15795863	Yes	
row_26	NPFFR2	NA	3215	0.0513295941054821	0.16486588	Yes	
row_27	RAF1	NA	3370	0.04920655116438866	0.16280234	Yes	
row_28	CD48	NA	3373	0.04913828521966934	0.1705192	Yes	
row_29	IL10	NA	3425	0.04846448078751564	0.17497209	Yes	
row_30	CSF3R	NA	3504	0.047345127910375595	0.177507	Yes	
row_31	PSEN1	NA	3512	0.04721648618578911	0.18459493	Yes	
row_32	MET	NA	3548	0.04655773565173149	0.18977402	Yes	
row_33	MEP1A	NA	3794	0.043537043035030365	0.18094337	No	
row_34	ACVR2A	NA	3807	0.0433502160012722	0.18709192	No	
row_35	BDKRB1	NA	3986	0.04106292873620987	0.18218213	No	
row_36	LIF	NA	4077	0.03993244841694832	0.1827605	No	
row_37	TLR3	NA	4204	0.038382165133953094	0.18077235	No	
row_38	ATP2C1	NA	4294	0.03746825456619263	0.18102168	No	
row_39	CCR7	NA	4355	0.03690113127231598	0.18304853	No	
row_40	CALCRL	NA	4624	0.03402674198150635	0.17121784	No	
row_41	RGS1	NA	4628	0.03398037701845169	0.17645009	No	
row_42	GP1BA	NA	4633	0.033926282078027725	0.18160929	No	
row_43	GPR132	NA	4725	0.032948337495326996	0.18100812	No	
row_44	MXD1	NA	4980	0.030264515429735184	0.16947855	No	
row_45	IL18	NA	5146	0.028427790850400925	0.16338879	No	
row_46	FZD5	NA	5204	0.027845095843076706	0.16416296	No	
row_47	MYC	NA	5231	0.02761620655655861	0.16689749	No	
row_48	SPHK1	NA	5275	0.027089577168226242	0.16845286	No	
row_49	TACR1	NA	5347	0.026438774541020393	0.16810066	No	
row_50	OPRK1	NA	5463	0.024990350008010864	0.16468288	No	
row_51	IFNAR1	NA	5523	0.024405386298894882	0.164779	No	
row_52	CCL20	NA	5573	0.02390434592962265	0.16543931	No	
row_53	GPC3	NA	5625	0.023371176794171333	0.16588564	No	
row_54	TPBG	NA	5923	0.02023160271346569	0.14998427	No	
row_55	SELENOS	NA	6020	0.019139926880598068	0.14685628	No	
row_56	PTAFR	NA	6101	0.01827416755259037	0.14462073	No	
row_57	CSF1	NA	6127	0.017973797395825386	0.14588012	No	
row_58	IL15	NA	6227	0.016872795298695564	0.1421969	No	
