NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CMPK2	NA	15	0.2329348474740982	0.057268843	Yes	
row_1	EPSTI1	NA	19	0.23131069540977478	0.11490056	Yes	
row_2	OGFR	NA	32	0.21248787641525269	0.16725022	Yes	
row_3	TRAFD1	NA	68	0.19549527764320374	0.21387829	Yes	
row_4	MOV10	NA	94	0.1818140596151352	0.25772703	Yes	
row_5	UBE2L6	NA	132	0.16921550035476685	0.29765743	Yes	
row_6	RSAD2	NA	233	0.1504679024219513	0.3288646	Yes	
row_7	USP18	NA	286	0.14442013204097748	0.36163545	Yes	
row_8	EIF2AK2	NA	333	0.1391374170780182	0.39347017	Yes	
row_9	STAT2	NA	504	0.12542244791984558	0.41393122	Yes	
row_10	NUB1	NA	691	0.11509580165147781	0.43078557	Yes	
row_11	IFI35	NA	746	0.1120254322886467	0.45533013	Yes	
row_12	CMTR1	NA	773	0.11102524399757385	0.48141873	Yes	
row_13	NMI	NA	865	0.10648692399263382	0.50220805	Yes	
row_14	IRF7	NA	924	0.1036783903837204	0.52440965	Yes	
row_15	DHX58	NA	1070	0.09783941507339478	0.53957725	Yes	
row_16	CD47	NA	1121	0.09640827029943466	0.56047404	Yes	
row_17	CD74	NA	1241	0.09210488945245743	0.57587403	Yes	
row_18	CNP	NA	1488	0.08497888594865799	0.5813552	Yes	
row_19	IL7	NA	1660	0.08027724921703339	0.5904666	Yes	
row_20	ADAR	NA	2065	0.0710248351097107	0.5823358	Yes	
row_21	IRF1	NA	2118	0.06982894241809845	0.5964601	Yes	
row_22	PROCR	NA	2235	0.0674615278840065	0.6058918	Yes	
row_23	IFIH1	NA	2245	0.0672621801495552	0.6221296	Yes	
row_24	PNPT1	NA	2394	0.06471703946590424	0.6288249	Yes	
row_25	IRF2	NA	2460	0.06368307024240494	0.6405799	Yes	
row_26	IFI30	NA	2543	0.06215539202094078	0.65086365	Yes	
row_27	WARS1	NA	2655	0.060038574039936066	0.65876013	Yes	
row_28	TRIM14	NA	3279	0.050326086580753326	0.6314229	No	
row_29	PARP9	NA	3538	0.0467771552503109	0.62658536	No	
row_30	LAP3	NA	3550	0.0465075857937336	0.63750666	No	
row_31	PARP12	NA	3903	0.04230209439992905	0.62552756	No	
row_32	C1S	NA	4149	0.039116691797971725	0.619608	No	
row_33	TENT5A	NA	5284	0.02701587602496147	0.5537018	No	
row_34	LPAR6	NA	5293	0.026877179741859436	0.5599081	No	
row_35	HELZ2	NA	5567	0.023970576003193855	0.5484082	No	
row_36	CSF1	NA	6127	0.017973797395825386	0.51708406	No	
row_37	IL15	NA	6227	0.016872795298695564	0.5149587	No	
row_38	GMPR	NA	6351	0.015694845467805862	0.5110011	No	
row_39	RIPK2	NA	8425	-0.007528173737227917	0.380058	No	
row_40	ELF1	NA	8456	-0.007950167171657085	0.3801232	No	
row_41	MVB12A	NA	8659	-0.010326428338885307	0.36976174	No	
row_42	IL4R	NA	9177	-0.016262298449873924	0.34070086	No	
row_43	NCOA7	NA	9471	-0.01968260668218136	0.32684758	No	
row_44	TMEM140	NA	9734	-0.022891199216246605	0.31578267	No	
row_45	TDRD7	NA	10016	-0.026171786710619926	0.30432045	No	
row_46	SLC25A28	NA	10489	-0.032036274671554565	0.28208616	No	
row_47	LAMP3	NA	12064	-0.053288497030735016	0.19455524	No	
row_48	PSMA3	NA	12585	-0.06156064569950104	0.17662603	No	
row_49	UBA7	NA	13554	-0.08032693713903427	0.13468301	No	
