NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CMPK2	NA	15	0.2329348474740982	0.031649917	Yes	
row_1	EPSTI1	NA	19	0.23131069540977478	0.06384472	Yes	
row_2	OGFR	NA	32	0.21248787641525269	0.09282475	Yes	
row_3	TRAFD1	NA	68	0.19549527764320374	0.117945254	Yes	
row_4	DDX58	NA	119	0.1722932755947113	0.13885166	Yes	
row_5	UBE2L6	NA	132	0.16921550035476685	0.16177273	Yes	
row_6	TOR1B	NA	219	0.15220418572425842	0.17754939	Yes	
row_7	RSAD2	NA	233	0.1504679024219513	0.19778109	Yes	
row_8	STAT1	NA	271	0.14575429260730743	0.21580818	Yes	
row_9	USP18	NA	286	0.14442013204097748	0.23512873	Yes	
row_10	EIF2AK2	NA	333	0.1391374170780182	0.25165012	Yes	
row_11	STAT3	NA	374	0.13461200892925262	0.267924	Yes	
row_12	STAT2	NA	504	0.12542244791984558	0.2771833	Yes	
row_13	SOCS1	NA	550	0.12236615270376205	0.29142076	Yes	
row_14	CASP7	NA	569	0.12177438288927078	0.30731302	Yes	
row_15	CD86	NA	620	0.11883115768432617	0.32073373	Yes	
row_16	XAF1	NA	703	0.11457458138465881	0.33149895	Yes	
row_17	IFI35	NA	746	0.1120254322886467	0.3444816	Yes	
row_18	CMTR1	NA	773	0.11102524399757385	0.3583539	Yes	
row_19	NMI	NA	865	0.10648692399263382	0.3674075	Yes	
row_20	IRF8	NA	916	0.10400517284870148	0.37875226	Yes	
row_21	IRF7	NA	924	0.1036783903837204	0.3928187	Yes	
row_22	RNF213	NA	958	0.10253051668405533	0.40505108	Yes	
row_23	FGL2	NA	1002	0.10046280175447464	0.41635036	Yes	
row_24	DHX58	NA	1070	0.09783941507339478	0.42573774	Yes	
row_25	MYD88	NA	1112	0.09655052423477173	0.43661794	Yes	
row_26	CD74	NA	1241	0.09210488945245743	0.44127652	Yes	
row_27	IL7	NA	1660	0.08027724921703339	0.42561504	Yes	
row_28	BTG1	NA	1809	0.07662943005561829	0.4268196	Yes	
row_29	PLA2G4A	NA	1864	0.07544306665658951	0.4339077	Yes	
row_30	CIITA	NA	1906	0.07420407235622406	0.44165897	Yes	
