NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NGB	NA	23	0.2190646082162857	0.027454948	Yes	
row_1	WNT16	NA	168	0.16123588383197784	0.03948106	Yes	
row_2	INSL5	NA	198	0.15511175990104675	0.058102317	Yes	
row_3	RSAD2	NA	233	0.1504679024219513	0.07578826	Yes	
row_4	ATP6V1B1	NA	322	0.1405515819787979	0.08868769	Yes	
row_5	PTGFR	NA	468	0.12778706848621368	0.09623123	Yes	
row_6	IFNG	NA	511	0.12507236003875732	0.11004767	Yes	
row_7	CHRNG	NA	640	0.11795105785131454	0.11738651	Yes	
row_8	SLC29A3	NA	671	0.11592285335063934	0.13076702	Yes	
row_9	TSHB	NA	771	0.1110481321811676	0.13906118	Yes	
row_10	TFCP2L1	NA	806	0.1093633621931076	0.15131772	Yes	
row_11	HSD11B2	NA	808	0.1093515157699585	0.16569734	Yes	
row_12	CAPN9	NA	827	0.10835518687963486	0.17885083	Yes	
row_13	SELENOP	NA	871	0.10587993264198303	0.1900678	Yes	
row_14	CCNA1	NA	1027	0.09953522682189941	0.19323578	Yes	
row_15	SIDT1	NA	1069	0.09787645936012268	0.20352437	Yes	
row_16	ARPP21	NA	1183	0.09418954700231552	0.20869035	Yes	
row_17	MYO15A	NA	1293	0.0901380330324173	0.21357872	Yes	
row_18	GPR19	NA	1331	0.08889450132846832	0.22293842	Yes	
row_19	DCC	NA	1395	0.08718748390674591	0.23039867	Yes	
row_20	THNSL2	NA	1845	0.07593110203742981	0.21152018	Yes	
row_21	CD80	NA	1969	0.07302156835794449	0.21324632	Yes	
row_22	GPR3	NA	1981	0.07279929518699646	0.22215399	Yes	
row_23	SYNPO	NA	2058	0.07122763991355896	0.22666918	Yes	
row_24	PDCD1	NA	2179	0.06867583841085434	0.22801442	Yes	
row_25	COQ8A	NA	2308	0.06619774550199509	0.2285173	Yes	
row_26	ITGB1BP2	NA	2471	0.06349446624517441	0.22647405	Yes	
row_27	MTHFR	NA	2523	0.06244829669594765	0.23143917	Yes	
row_28	P2RY4	NA	2603	0.06085895374417305	0.23439161	Yes	
row_29	HNF1A	NA	2630	0.060415513813495636	0.2406978	Yes	
row_30	CD40LG	NA	2791	0.05747189000248909	0.23798783	No	
row_31	GTF3C5	NA	2925	0.05559725686907768	0.23676857	No	
row_32	MYOT	NA	3029	0.05398882180452347	0.23726837	No	
row_33	BTG2	NA	3122	0.05251853168010712	0.23828217	No	
row_34	ZC2HC1C	NA	3716	0.04458394646644592	0.20599192	No	
row_35	ACTC1	NA	3833	0.0431322306394577	0.20422071	No	
row_36	FGF16	NA	3942	0.04174445569515228	0.20278126	No	
row_37	PKP1	NA	4047	0.04020708426833153	0.20139627	No	
row_38	CACNG1	NA	4075	0.03994773328304291	0.20493454	No	
row_39	CNTFR	NA	4086	0.039851512759923935	0.2095546	No	
row_40	HTR1B	NA	4226	0.038087114691734314	0.20563617	No	
row_41	PTPRJ	NA	4320	0.03723831847310066	0.20456727	No	
row_42	CAMK1D	NA	4408	0.03646932542324066	0.20378308	No	
row_43	KCNMB1	NA	4608	0.034144602715969086	0.19548091	No	
row_44	GP1BA	NA	4633	0.033926282078027725	0.19841696	No	
row_45	GPRC5C	NA	4764	0.03239177167415619	0.1943257	No	
row_46	GRID2	NA	4779	0.03216423839330673	0.19767284	No	
row_47	PRKN	NA	4860	0.031416699290275574	0.19667195	No	
row_48	SERPINA10	NA	4879	0.031214598566293716	0.19963612	No	
row_49	FGF22	NA	4955	0.03050389513373375	0.19883657	No	
row_50	KLHDC8A	NA	5315	0.02667313627898693	0.17924619	No	
row_51	SLC12A3	NA	5370	0.02610647864639759	0.17921785	No	
row_52	YPEL1	NA	5981	0.019575998187065125	0.14252983	No	
row_53	NOS1	NA	6081	0.018442878499627113	0.13859197	No	
row_54	SKIL	NA	6121	0.01806877925992012	0.1384677	No	
row_55	CLSTN3	NA	6145	0.017827259376645088	0.13934165	No	
row_56	VPS50	NA	6284	0.01627240516245365	0.13260615	No	
row_57	C5	NA	6514	0.013920644298195839	0.11970114	No	
row_58	TGFB2	NA	6752	0.011383327655494213	0.10594592	No	
row_59	BARD1	NA	6839	0.010441595688462257	0.10178817	No	
row_60	CPEB3	NA	6903	0.009721738286316395	0.09901615	No	
row_61	IDUA	NA	7228	0.005813836120069027	0.078923926	No	
row_62	TENM2	NA	7300	0.0050062695518136024	0.07501399	No	
row_63	PLAG1	NA	7326	0.004680905491113663	0.074022695	No	
row_64	MAST3	NA	7472	0.0031309404876083136	0.06510069	No	
row_65	ZBTB16	NA	7603	0.0016411810647696257	0.056947656	No	
row_66	SLC30A3	NA	7674	7.550184964202344E-4	0.05254056	No	
row_67	GAMT	NA	7854	-0.0011476657819002867	0.041167557	No	
row_68	GDNF	NA	8015	-0.0029928297735750675	0.03126156	No	
row_69	MFSD6	NA	8283	-0.006035228725522757	0.014868422	No	
row_70	HTR1D	NA	8680	-0.010593445971608162	-0.009228064	No	
row_71	ADRA2C	NA	8700	-0.010802995413541794	-0.009024401	No	
row_72	NR4A2	NA	8892	-0.012888893485069275	-0.019619128	No	
row_73	DTNB	NA	8915	-0.013206283561885357	-0.01929117	No	
row_74	FGGY	NA	9005	-0.014312646351754665	-0.02313075	No	
row_75	IRS4	NA	9029	-0.014584008604288101	-0.022685194	No	
row_76	EFHD1	NA	9228	-0.016863079741597176	-0.033205662	No	
row_77	FGFR3	NA	9292	-0.01754157431423664	-0.034944776	No	
row_78	ASB7	NA	9331	-0.01813025213778019	-0.034996554	No	
row_79	SLC38A3	NA	9902	-0.024721913039684296	-0.06842952	No	
row_80	SOX10	NA	9991	-0.025860022753477097	-0.07067945	No	
row_81	CDKAL1	NA	10104	-0.027369733899831772	-0.07427516	No	
row_82	KCNQ2	NA	10137	-0.027668196707963943	-0.07268079	No	
row_83	NRIP2	NA	10399	-0.030866404995322227	-0.085407734	No	
row_84	SGK1	NA	10443	-0.03142157942056656	-0.08402581	No	
row_85	SLC6A14	NA	10589	-0.03340370953083038	-0.08894915	No	
row_86	EGF	NA	10939	-0.0378887839615345	-0.10641424	No	
row_87	SNCB	NA	10972	-0.03835944086313248	-0.103407696	No	
row_88	ABCB11	NA	11333	-0.042917344719171524	-0.12091679	No	
row_89	ABCG4	NA	11383	-0.0435221791267395	-0.11832282	No	
row_90	EDAR	NA	11431	-0.04414790868759155	-0.11551743	No	
row_91	SLC16A7	NA	11589	-0.04654064401984215	-0.119478144	No	
row_92	NTF3	NA	11722	-0.048366185277700424	-0.12158814	No	
row_93	THRB	NA	11782	-0.049207672476768494	-0.11888702	No	
row_94	PNMT	NA	11878	-0.05057482421398163	-0.11832311	No	
row_95	SSTR4	NA	11897	-0.050921596586704254	-0.11275589	No	
row_96	TLX1	NA	11971	-0.05194444581866264	-0.11059463	No	
row_97	SNN	NA	12001	-0.05246078222990036	-0.10553232	No	
row_98	PDE6B	NA	12292	-0.05672511085867882	-0.11671075	No	
row_99	CELSR2	NA	12336	-0.057590026408433914	-0.111872286	No	
row_100	TFAP2B	NA	12350	-0.057812854647636414	-0.1050729	No	
