NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LY96	NA	0	0.3223077356815338	0.03419797	No	
row_1	ALDH1A2	NA	75	0.19282928109169006	0.04988548	No	
row_2	SATB1	NA	142	0.16616714000701904	0.063259974	No	
row_3	NR1H4	NA	257	0.14756250381469727	0.071564876	No	
row_4	TSPAN1	NA	421	0.13123705983161926	0.074977525	No	
row_5	CROT	NA	611	0.11966846883296967	0.07548594	No	
row_6	TPH1	NA	618	0.11910312622785568	0.08773625	No	
row_7	ANGPTL4	NA	657	0.11650490015745163	0.09764715	No	
row_8	TOR1AIP2	NA	685	0.11540384590625763	0.108150646	No	
row_9	ZNF277	NA	805	0.10938120633363724	0.11208192	No	
row_10	TSPAN7	NA	815	0.10897085815668106	0.12306369	No	
row_11	USP12	NA	912	0.10410717129707336	0.12791868	No	
row_12	IRF8	NA	916	0.10400517284870148	0.1387605	No	
row_13	AVL9	NA	1021	0.0997747927904129	0.14263988	No	
row_14	CAB39L	NA	1211	0.0930316224694252	0.14032203	No	
row_15	BMP2	NA	1344	0.08849193900823593	0.1411985	No	
row_16	PTCD2	NA	1436	0.08632060140371323	0.14448872	No	
row_17	TRIB1	NA	1627	0.08121844381093979	0.14085296	No	
row_18	ATG10	NA	1681	0.07986381649971008	0.14590876	No	
row_19	CBR4	NA	1738	0.07823985815048218	0.15059876	No	
row_20	MMD	NA	1810	0.07662610709667206	0.15415019	No	
row_21	GADD45G	NA	1898	0.07451098412275314	0.15644534	No	
row_22	ABCB1	NA	1958	0.07325687259435654	0.16041316	No	
row_23	TSPAN13	NA	2031	0.07176205515861511	0.163384	No	
row_24	APOD	NA	2165	0.06894798576831818	0.1621223	No	
row_25	C3AR1	NA	2176	0.06874600052833557	0.16877158	No	
row_26	ITGB2	NA	2199	0.06828553974628448	0.17459811	No	
row_27	DOCK2	NA	2708	0.05897214636206627	0.14809375	No	
row_28	AMMECR1	NA	2781	0.05763396620750427	0.14956555	No	
row_29	ACE	NA	2815	0.05705276131629944	0.15349084	No	
row_30	PRRX1	NA	2827	0.05694224685430527	0.1588232	No	
row_31	G0S2	NA	2847	0.05670931562781334	0.16361493	No	
row_32	F2RL1	NA	2895	0.05598505958914757	0.16652405	No	
row_33	HBEGF	NA	2948	0.05536137521266937	0.16904454	No	
