NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TUBD1	NA	110	0.1761867254972458	0.014336232	No	
row_1	ARFGEF1	NA	489	0.12612004578113556	0.0052703624	No	
row_2	YWHAE	NA	904	0.10433391481637955	-0.008771871	No	
row_3	DLG1	NA	1081	0.09747516363859177	-0.0082770735	No	
row_4	FGD4	NA	1092	0.09719505161046982	0.002905073	No	
row_5	TBCD	NA	1396	0.08716355264186859	-0.00605753	No	
row_6	CTTN	NA	1827	0.07627202570438385	-0.024548108	No	
row_7	SYNPO	NA	2058	0.07122763991355896	-0.030735161	No	
row_8	LRPPRC	NA	2545	0.06208763271570206	-0.05456876	No	
row_9	RANBP9	NA	2643	0.06019475683569908	-0.05350838	No	
row_10	BIN1	NA	2704	0.05905614420771599	-0.05019684	No	
row_11	DOCK2	NA	2708	0.05897214636206627	-0.043214068	No	
row_12	CDC42EP4	NA	2730	0.05859244614839554	-0.03744007	No	
row_13	ITSN1	NA	2733	0.05853206291794777	-0.030446265	No	
row_14	BRCA2	NA	3061	0.053570251911878586	-0.045047045	No	
row_15	CAPZB	NA	3161	0.05197544023394585	-0.045116074	No	
row_16	ARHGAP27	NA	3396	0.048770856112241745	-0.054294325	No	
row_17	NET1	NA	3729	0.04436396434903145	-0.07033838	No	
row_18	PXN	NA	3755	0.044121574610471725	-0.066583745	No	
row_19	ARHGEF12	NA	3778	0.04378936439752579	-0.062675774	No	
row_20	CDC42	NA	3810	0.04333490505814552	-0.059404388	No	
row_21	DOCK4	NA	3821	0.043237268924713135	-0.05478856	No	
row_22	CSNK1D	NA	4084	0.03985590487718582	-0.06686014	No	
row_23	CD2AP	NA	4298	0.03743433952331543	-0.07606164	No	
row_24	NCK2	NA	4541	0.035004470497369766	-0.08743186	No	
row_25	RAPGEF6	NA	4580	0.03445727750658989	-0.08569294	No	
row_26	TUBGCP2	NA	4722	0.03302161395549774	-0.09078118	No	
row_27	KIFAP3	NA	4825	0.03169311210513115	-0.09351221	No	
row_28	ALS2	NA	4889	0.03108689747750759	-0.09379811	No	
row_29	FARP1	NA	4917	0.030879253521561623	-0.09178415	No	
row_30	WASF1	NA	4998	0.030112843960523605	-0.09328657	No	
row_31	ATG4B	NA	5147	0.02839101105928421	-0.09939043	No	
row_32	SHROOM1	NA	5153	0.02834300324320793	-0.096264206	No	
row_33	MYH9	NA	5442	0.025281662121415138	-0.11178863	No	
row_34	SOS1	NA	5605	0.023563552647829056	-0.119384184	No	
row_35	ARL8A	NA	5928	0.020195139572024345	-0.13772357	No	
row_36	TUBGCP3	NA	6043	0.018855635076761246	-0.14279188	No	
row_37	ABR	NA	6069	0.018578048795461655	-0.14214572	No	
row_38	PRC1	NA	6320	0.015941528603434563	-0.15635248	No	
row_39	WASF2	NA	6411	0.015158952213823795	-0.16032057	No	
row_40	VCL	NA	6461	0.014588186517357826	-0.16171002	No	
