NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TFB2M	NA	1670	0.08013125509023666	-0.047435362	Yes	
row_1	AIMP2	NA	1965	0.07304258644580841	-0.012010009	Yes	
row_2	BYSL	NA	2071	0.07093655318021774	0.033955548	Yes	
row_3	PRMT3	NA	2112	0.06996981054544449	0.083365954	Yes	
row_4	GNL3	NA	2170	0.0688113197684288	0.13082708	Yes	
row_5	NOC4L	NA	2186	0.06857799738645554	0.18080482	Yes	
row_6	PHB	NA	3223	0.05123148113489151	0.15250784	Yes	
row_7	NDUFAF4	NA	3499	0.0474022813141346	0.17010494	Yes	
row_8	PUS1	NA	3745	0.04425350949168205	0.18728454	Yes	
row_9	SORD	NA	4089	0.03981887921690941	0.19489376	Yes	
row_10	SUPV3L1	NA	4243	0.03786717727780342	0.21322186	Yes	
row_11	HSPD1	NA	4293	0.037474438548088074	0.23791893	Yes	
row_12	PES1	NA	4915	0.030890129506587982	0.22109152	Yes	
row_13	RCL1	NA	5017	0.029939815402030945	0.23686168	Yes	
row_14	MYC	NA	5231	0.02761620655655861	0.24373285	Yes	
row_15	NOP16	NA	5403	0.02573215216398239	0.25189447	Yes	
row_16	MYBBP1A	NA	5655	0.022991644218564034	0.2528969	Yes	
row_17	MRTO4	NA	5859	0.02091817930340767	0.25543338	Yes	
row_18	RRP9	NA	6174	0.01747819408774376	0.24830568	No	
row_19	PPRC1	NA	6517	0.013910339213907719	0.23673458	No	
row_20	NIP7	NA	6520	0.013877918012440205	0.24691474	No	
row_21	NPM1	NA	6800	0.01086803711950779	0.23711874	No	
row_22	NOP2	NA	6892	0.009797210805118084	0.2385678	No	
row_23	SRM	NA	7009	0.008503797464072704	0.23745503	No	
row_24	NOP56	NA	7021	0.008311880752444267	0.24292444	No	
row_25	PA2G4	NA	7406	0.003719695843756199	0.22109404	No	
row_26	RRP12	NA	7465	0.003186446614563465	0.21974626	No	
row_27	RABEPK	NA	7556	0.002276166109368205	0.2156729	No	
row_28	DDX18	NA	7562	0.002207883633673191	0.21699263	No	
row_29	UTP20	NA	8012	-0.0029915093909949064	0.19045843	No	
row_30	UNG	NA	8082	-0.0037238600198179483	0.18880533	No	
row_31	CBX3	NA	8717	-0.010983673855662346	0.1563592	No	
row_32	WDR43	NA	8865	-0.012590308673679829	0.1562964	No	
row_33	TCOF1	NA	9521	-0.02019353210926056	0.12934624	No	
row_34	SLC19A1	NA	9526	-0.02022097446024418	0.1441098	No	
row_35	TMEM97	NA	9956	-0.02550165355205536	0.13557659	No	
row_36	NOLC1	NA	10011	-0.02611735090613365	0.15151761	No	
row_37	PLK1	NA	10376	-0.030631551519036293	0.15095772	No	
row_38	PLK4	NA	10583	-0.03331054374575615	0.16250685	No	
row_39	MCM4	NA	10873	-0.03695393726229668	0.17144649	No	
row_40	MCM5	NA	11910	-0.05111034959554672	0.14305954	No	
row_41	LAS1L	NA	12363	-0.05802321061491966	0.15720968	No	
row_42	MPHOSPH10	NA	13172	-0.07219743728637695	0.15908809	No	
