NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RBX1	NA	1701	0.0790848433971405	-0.046719395	No	
row_1	DLL1	NA	2348	0.06545557081699371	-0.036644224	No	
row_2	CCND1	NA	3038	0.053911615163087845	-0.038386293	No	
row_3	DTX2	NA	3827	0.04315972328186035	-0.054906398	No	
row_4	HES1	NA	3958	0.04150144383311272	-0.030630317	No	
row_5	SAP30	NA	3971	0.04136325418949127	0.0010868218	No	
row_6	PSEN2	NA	4043	0.04026605933904648	0.028167479	No	
row_7	FZD1	NA	5039	0.02969132363796234	-0.012173881	No	
row_8	FZD5	NA	5204	0.027845095843076706	-7.9820247E-4	No	
row_9	ST3GAL6	NA	6035	0.018970124423503876	-0.039002903	No	
row_10	NOTCH1	NA	6558	0.013469322584569454	-0.061821997	No	
row_11	SKP1	NA	7435	0.0034376191906630993	-0.1151683	No	
row_12	PPARD	NA	7852	-0.001107485149987042	-0.14091402	No	
row_13	APH1A	NA	7875	-0.0013493981678038836	-0.14126182	No	
row_14	PRKCA	NA	8116	-0.0041158925741910934	-0.15338445	No	
row_15	WNT2	NA	8986	-0.014076143503189087	-0.19792788	No	
row_16	KAT2A	NA	9062	-0.015065563842654228	-0.1908945	No	
row_17	TCF7L2	NA	10214	-0.02859058789908886	-0.24208114	No	
row_18	FBXW11	NA	11824	-0.04975322261452675	-0.3059502	Yes	
row_19	CUL1	NA	11901	-0.05098782852292061	-0.27076903	Yes	
row_20	FZD7	NA	12430	-0.059254541993141174	-0.2580143	Yes	
row_21	LFNG	NA	12478	-0.059877119958400726	-0.21399644	Yes	
row_22	WNT5A	NA	12488	-0.05997335910797119	-0.16747181	Yes	
row_23	DTX1	NA	13804	-0.0864967331290245	-0.18367413	Yes	
row_24	NOTCH2	NA	14718	-0.1145644560456276	-0.15211353	Yes	
row_25	MAML2	NA	14883	-0.12237102538347244	-0.06650132	Yes	
row_26	JAG1	NA	15272	-0.14756807684898376	0.02456814	Yes	
