NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0E1	NA	126	0.1708059161901474	0.023127979	Yes	
row_1	ATP6V1D	NA	196	0.15603458881378174	0.047227006	Yes	
row_2	ATP6V1H	NA	305	0.14233531057834625	0.06630645	Yes	
row_3	ATP6AP1	NA	389	0.13379183411598206	0.085434034	Yes	
row_4	CASP7	NA	569	0.12177438288927078	0.09617633	Yes	
row_5	ATP6V0B	NA	592	0.1205526664853096	0.11681304	Yes	
row_6	ATP6V0C	NA	761	0.11129170656204224	0.12634648	Yes	
row_7	MGST3	NA	836	0.10810356587171555	0.14135453	Yes	
row_8	TOMM70	NA	1375	0.08772305399179459	0.12273139	Yes	
row_9	VDAC1	NA	1663	0.08023501187562943	0.11891414	Yes	
row_10	TIMM9	NA	1831	0.07623200118541718	0.12209803	Yes	
row_11	MPC1	NA	1884	0.07485795021057129	0.13244176	Yes	
row_12	MTX2	NA	1910	0.07409749925136566	0.1443864	Yes	
row_13	TOMM22	NA	2038	0.07169096916913986	0.14931734	Yes	
row_14	ABCB7	NA	2152	0.06924989819526672	0.15470393	Yes	
row_15	ATP6V1C1	NA	2209	0.06798087805509567	0.16353175	Yes	
row_16	ATP6V1E1	NA	2311	0.06612701714038849	0.16912037	Yes	
row_17	ACAT1	NA	2372	0.0650748461484909	0.17715877	Yes	
row_18	FXN	NA	2529	0.062357548624277115	0.17851329	Yes	
row_19	LRPPRC	NA	2545	0.06208763271570206	0.18890524	Yes	
row_20	ATP5F1C	NA	2578	0.06130122020840645	0.19805774	Yes	
row_21	AFG3L2	NA	2582	0.06120860576629639	0.20906222	Yes	
row_22	MRPS30	NA	2705	0.059054646641016006	0.21200363	Yes	
row_23	ECI1	NA	2780	0.0576440766453743	0.21778037	Yes	
row_24	PDHX	NA	2986	0.05445672199130058	0.21453165	Yes	
row_25	ECHS1	NA	3150	0.05209949612617493	0.21355839	Yes	
row_26	SLC25A12	NA	3200	0.05147876217961311	0.21981834	Yes	
row_27	SDHD	NA	3254	0.05073072016239166	0.22568367	Yes	
row_28	MRPL34	NA	3270	0.0504869744181633	0.23395334	Yes	
row_29	AIFM1	NA	3342	0.04958382248878479	0.23844883	Yes	
row_30	FDX1	NA	3485	0.04750516638159752	0.23798841	Yes	
row_31	SLC25A3	NA	3535	0.046841975301504135	0.2434001	Yes	
row_32	GOT2	NA	3572	0.046295952051877975	0.24954967	Yes	
row_33	GRPEL1	NA	3657	0.04520008713006973	0.2524054	Yes	
row_34	SUCLA2	NA	3692	0.04481401666998863	0.25841275	Yes	
row_35	FH	NA	3712	0.04462270438671112	0.2653518	Yes	
row_36	DLST	NA	3756	0.04411701485514641	0.27065164	Yes	
row_37	ETFA	NA	3841	0.04296502470970154	0.27309844	Yes	
row_38	MTRR	NA	3866	0.042629219591617584	0.27935058	Yes	
row_39	ACAA2	NA	3926	0.04201079532504082	0.28323397	Yes	
row_40	DLD	NA	3939	0.041818950325250626	0.29011118	Yes	
row_41	OGDH	NA	4008	0.04078766703605652	0.2931908	Yes	
row_42	ACO2	NA	4026	0.04066256433725357	0.29953423	Yes	
row_43	ATP5PO	NA	4044	0.04023585096001625	0.30579963	Yes	
row_44	ETFDH	NA	4127	0.039337676018476486	0.30771172	Yes	
row_45	ATP5MC1	NA	4170	0.038843441754579544	0.31211123	Yes	
