NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEUROG3	NA	178	0.1597679704427719	0.053676143	No	
row_1	DPP4	NA	403	0.1325669288635254	0.09332897	No	
row_2	SCGN	NA	1205	0.09330987930297852	0.080055535	No	
row_3	FOXO1	NA	1212	0.09299352765083313	0.11754628	No	
row_4	CHGA	NA	1390	0.08727127313613892	0.14175965	No	
row_5	ELP4	NA	1940	0.07356639951467514	0.13657711	No	
row_6	SPCS1	NA	2469	0.06351292133331299	0.12864432	No	
row_7	HNF1A	NA	2630	0.060415513813495636	0.14300801	No	
row_8	SRPRB	NA	2972	0.05471029505133629	0.1434611	No	
row_9	NKX2-2	NA	4006	0.04079671949148178	0.093948044	No	
row_10	VDR	NA	4922	0.030797146260738373	0.047916263	No	
row_11	SLC2A2	NA	6872	0.010075364261865616	-0.07274813	No	
row_12	MAFB	NA	7186	0.00636192737147212	-0.09019414	No	
row_13	SRP9	NA	7771	-2.5312183424830437E-4	-0.12747662	No	
row_14	SRP14	NA	8086	-0.0037403367459774017	-0.14605439	No	
row_15	SEC11A	NA	8997	-0.014214984141290188	-0.19851975	No	
row_16	FOXA2	NA	9406	-0.019054243341088295	-0.21687792	No	
row_17	STXBP1	NA	10038	-0.02640305832028389	-0.2465187	No	
row_18	NEUROD1	NA	10621	-0.03380709886550903	-0.27000713	No	
row_19	DCX	NA	10689	-0.03463037312030792	-0.2601918	No	
row_20	PAK3	NA	11207	-0.04143008589744568	-0.27641442	No	
row_21	INSM1	NA	11370	-0.043404001742601395	-0.26910728	No	
row_22	SYT13	NA	11560	-0.0460737906396389	-0.26244125	No	
row_23	LMO2	NA	12093	-0.05377780646085739	-0.27459508	No	
row_24	IAPP	NA	12916	-0.06763643771409988	-0.29966927	Yes	
row_25	ISL1	NA	13286	-0.07460782676935196	-0.29290468	Yes	
row_26	PAX6	NA	13481	-0.07897534221410751	-0.2731584	Yes	
row_27	AKT3	NA	14167	-0.09590747207403183	-0.27794796	Yes	
row_28	GCG	NA	14206	-0.09709577262401581	-0.24083497	Yes	
row_29	ABCC8	NA	14358	-0.10135544836521149	-0.2092209	Yes	
row_30	PDX1	NA	14385	-0.10256222635507584	-0.1691133	Yes	
row_31	NKX6-1	NA	14396	-0.10294923931360245	-0.12782381	Yes	
row_32	INS	NA	14765	-0.11663893610239029	-0.103876576	Yes	
row_33	PCSK2	NA	14787	-0.11787249147891998	-0.05721325	Yes	
row_34	G6PC2	NA	14940	-0.12493594735860825	-0.016059235	Yes	
row_35	SST	NA	15312	-0.15181311964988708	0.022021856	Yes	
