NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLN8	NA	135	0.16871099174022675	0.029667413	Yes	
row_1	PEX2	NA	531	0.12368093430995941	0.03241073	Yes	
row_2	PEX5	NA	536	0.12325835227966309	0.06016075	Yes	
row_3	SULT2B1	NA	635	0.11812146753072739	0.08070864	Yes	
row_4	FABP6	NA	644	0.11755348742008209	0.10690559	Yes	
row_5	HSD11B2	NA	808	0.1093515157699585	0.12128767	Yes	
row_6	MSH2	NA	840	0.10793711245059967	0.14382295	Yes	
row_7	PEX13	NA	1048	0.09852124005556107	0.15291932	Yes	
row_8	SLC25A19	NA	1110	0.09658274054527283	0.17094862	Yes	
row_9	CDK7	NA	1295	0.0900852233171463	0.17960478	Yes	
row_10	GSTK1	NA	1405	0.08703120052814484	0.19238211	Yes	
row_11	IDE	NA	1456	0.08574818819761276	0.20865579	Yes	
row_12	PEX11A	NA	1584	0.08226883411407471	0.2191954	Yes	
row_13	MLYCD	NA	1640	0.08077700436115265	0.2340185	Yes	
row_14	NUDT19	NA	1696	0.07919347286224365	0.24848181	Yes	
row_15	CRAT	NA	1727	0.07851754128932953	0.26439658	Yes	
row_16	ABCC5	NA	1765	0.07755802571773529	0.2796439	Yes	
row_17	ABCB1	NA	1958	0.07325687259435654	0.2839627	Yes	
row_18	RXRG	NA	2009	0.07219864428043365	0.29715765	Yes	
row_19	PEX6	NA	2119	0.06981627643108368	0.3060234	Yes	
row_20	DHCR24	NA	2514	0.06252460181713104	0.29493493	Yes	
row_21	ESR2	NA	2526	0.06242354214191437	0.3084126	Yes	
row_22	BCL10	NA	2628	0.06044457480311394	0.31566253	Yes	
row_23	SLC35B2	NA	3109	0.05273474007844925	0.2968283	No	
row_24	ACSL1	NA	3539	0.046738266944885254	0.27990583	No	
row_25	ECI2	NA	3925	0.04201831296086311	0.26473573	No	
row_26	SCP2	NA	4032	0.04055783525109291	0.26714596	No	
row_27	FDPS	NA	4063	0.04008163884282112	0.2743273	No	
row_28	VPS4B	NA	4414	0.036393243819475174	0.2601261	No	
row_29	SOD2	NA	5237	0.027546580880880356	0.21361178	No	
row_30	SLC25A4	NA	5377	0.02604740485548973	0.21060629	No	
row_31	IDH1	NA	5545	0.02421650104224682	0.20538716	No	
row_32	ALDH9A1	NA	5589	0.023723112419247627	0.20801687	No	
row_33	HAO2	NA	5692	0.022608770057559013	0.20660552	No	
row_34	ACAA1	NA	5724	0.02229098230600357	0.20968024	No	
row_35	SLC25A17	NA	5755	0.02203543670475483	0.2127611	No	
row_36	CADM1	NA	5758	0.02199842967092991	0.21763119	No	
row_37	LONP2	NA	5841	0.021107204258441925	0.21716268	No	
row_38	IDH2	NA	5979	0.019596723839640617	0.21281987	No	
row_39	EHHADH	NA	6134	0.017894120886921883	0.20699878	No	
row_40	HSD17B4	NA	6279	0.016334017738699913	0.2014652	No	
row_41	ACOX1	NA	6451	0.014720620587468147	0.19383161	No	
row_42	SOD1	NA	6856	0.010211501270532608	0.17021453	No	
row_43	PRDX1	NA	7068	0.007764808833599091	0.15843238	No	
row_44	HMGCL	NA	7212	0.006026335526257753	0.1506209	No	
row_45	CTBP1	NA	7220	0.005945357959717512	0.15152238	No	
row_46	ELOVL5	NA	7273	0.005353396292775869	0.14940032	No	
row_47	PEX14	NA	7617	0.0014869788428768516	0.12771714	No	
row_48	STS	NA	8041	-0.003282202174887061	0.10130575	No	
row_49	ACSL4	NA	8062	-0.0034791408106684685	0.100812264	No	
row_50	DIO1	NA	8175	-0.004705450963228941	0.09469089	No	
row_51	TSPO	NA	8265	-0.005753315053880215	0.090284236	No	
row_52	GNPAT	NA	8550	-0.009017007425427437	0.07409991	No	
row_53	IDI1	NA	8571	-0.009313221089541912	0.07493204	No	
row_54	CAT	NA	9349	-0.018403848633170128	0.029229334	No	
row_55	ABCD3	NA	9786	-0.023384658619761467	0.006551026	No	
row_56	ACSL5	NA	10222	-0.028663311153650284	-0.014863662	No	
row_57	TOP2A	NA	10232	-0.028777478262782097	-0.008902641	No	
row_58	ERCC3	NA	10436	-0.03133580461144447	-0.014815374	No	
row_59	YWHAH	NA	10623	-0.033862099051475525	-0.019062659	No	
row_60	DHRS3	NA	10646	-0.03414691984653473	-0.012716209	No	
row_61	ALDH1A1	NA	10975	-0.03837529569864273	-0.025054593	No	
row_62	CNBP	NA	11028	-0.03910239785909653	-0.019508196	No	
row_63	PABPC1	NA	11137	-0.040460530668497086	-0.017248478	No	
row_64	CACNA1B	NA	11213	-0.041535161435604095	-0.012625938	No	
row_65	ATXN1	NA	11386	-0.04359548166394234	-0.01376278	No	
row_66	ITGB1BP1	NA	11443	-0.04432591050863266	-0.0072862995	No	
row_67	ABCB9	NA	11635	-0.04723769798874855	-0.008815381	No	
row_68	FADS1	NA	11692	-0.04798911511898041	-0.0015065451	No	
row_69	ACOT8	NA	12522	-0.060584910213947296	-0.04096332	No	
row_70	CRABP1	NA	12703	-0.06366436928510666	-0.038053706	No	
row_71	ALB	NA	12782	-0.06532381474971771	-0.0282185	No	
row_72	SEMA3C	NA	12935	-0.06786693632602692	-0.022556344	No	
row_73	SIAH1	NA	13397	-0.07705596834421158	-0.034644466	No	
row_74	ABCD2	NA	13522	-0.07956569641828537	-0.024526473	No	
row_75	SLC23A2	NA	14149	-0.0953725054860115	-0.04304592	No	
row_76	ABCC8	NA	14358	-0.10135544836521149	-0.03336976	No	
row_77	SMARCC1	NA	14537	-0.10815031826496124	-0.02022363	No	
row_78	SLC27A2	NA	14824	-0.11957691609859467	-0.011414885	No	
row_79	CTPS1	NA	15072	-0.13315899670124054	0.0029838397	No	
row_80	CEL	NA	15308	-0.15159443020820618	0.022341887	No	
