NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLA2G12A	NA	17	0.23196744918823242	0.055803195	Yes	
row_1	FASLG	NA	226	0.1515055149793625	0.07960823	Yes	
row_2	IRAK4	NA	300	0.14285679161548615	0.10995974	Yes	
row_3	UBE2D3	NA	430	0.13063320517539978	0.13371766	Yes	
row_4	STAT2	NA	504	0.12542244791984558	0.15979303	Yes	
row_5	MYD88	NA	1112	0.09655052423477173	0.14450128	Yes	
row_6	CAB39L	NA	1211	0.0930316224694252	0.16102701	Yes	
row_7	MAP2K6	NA	1221	0.09276628494262695	0.18320197	Yes	
row_8	DUSP3	NA	1238	0.09218156337738037	0.20478407	Yes	
row_9	FGF17	NA	1271	0.09099479764699936	0.2250478	Yes	
row_10	MAPK1	NA	1287	0.09039723873138428	0.24625646	Yes	
row_11	EIF4E	NA	1337	0.0887065976858139	0.26486745	Yes	
row_12	TRAF2	NA	1352	0.0881752073764801	0.28559533	Yes	
row_13	ARPC3	NA	1414	0.08684112876653671	0.30297834	Yes	
row_14	LCK	NA	1479	0.08513477444648743	0.3197502	Yes	
row_15	RALB	NA	2330	0.06573696434497833	0.28129888	Yes	
row_16	SQSTM1	NA	2680	0.05950438976287842	0.2734858	Yes	
row_17	SLA	NA	2749	0.05828148499131203	0.28341454	Yes	
row_18	PTEN	NA	3173	0.0518508143723011	0.2689731	Yes	
row_19	UBE2N	NA	3282	0.050261858850717545	0.27436665	Yes	
row_20	RAF1	NA	3370	0.04920655116438866	0.28084967	Yes	
row_21	TBK1	NA	3387	0.04893201217055321	0.29182392	Yes	
row_22	CAB39	NA	3467	0.04783325642347336	0.2984838	Yes	
row_23	MKNK1	NA	3497	0.04742451384663582	0.30825365	Yes	
row_24	DAPP1	NA	3869	0.04261487349867821	0.29488558	Yes	
row_25	PIKFYVE	NA	3907	0.042186494916677475	0.30285704	Yes	
row_26	FGF6	NA	3940	0.04181167855858803	0.31105763	Yes	
row_27	MKNK2	NA	4206	0.03836693614721298	0.30345345	Yes	
row_28	SFN	NA	4360	0.036849495023489	0.3026681	Yes	
row_29	PRKAR2A	NA	4411	0.03643461689352989	0.30839413	Yes	
row_30	RPS6KA3	NA	4457	0.03598947823047638	0.31433204	Yes	
row_31	ATF1	NA	4535	0.03505086526274681	0.31798515	Yes	
row_32	MAPK8	NA	4765	0.03238987922668457	0.31122637	Yes	
row_33	DDIT3	NA	4801	0.03198806941509247	0.31682488	Yes	
row_34	IL2RG	NA	4837	0.031606484204530716	0.32232982	Yes	
row_35	FGF22	NA	4955	0.03050389513373375	0.32229948	Yes	
row_36	EGFR	NA	4994	0.03014630824327469	0.32725367	Yes	
row_37	RPTOR	NA	5166	0.028167471289634705	0.32318318	No	
row_38	PITX2	NA	5933	0.020165853202342987	0.27894786	No	
row_39	ACACA	NA	6047	0.018808377906680107	0.2763058	No	
row_40	CDKN1A	NA	6363	0.015646424144506454	0.25991866	No	
row_41	PLCB1	NA	6645	0.012605675496160984	0.24496873	No	
row_42	TSC2	NA	6667	0.012354514561593533	0.2466506	No	
row_43	E2F1	NA	6751	0.011392463929951191	0.24411578	No	
row_44	AKT1	NA	6829	0.010517572984099388	0.24175161	No	
row_45	NOD1	NA	6976	0.00886638555675745	0.23455228	No	
row_46	CLTC	NA	7093	0.007571683265268803	0.22896156	No	
row_47	ACTR3	NA	7176	0.006506047677248716	0.22529244	No	
row_48	VAV3	NA	7596	0.0017377720214426517	0.19881658	No	
row_49	MAP3K7	NA	7671	7.861510966904461E-4	0.1942582	No	
row_50	MAPK9	NA	7762	-1.4283446944318712E-4	0.18851474	No	
row_51	SMAD2	NA	7844	-0.0010277967667207122	0.18356618	No	
row_52	MAP2K3	NA	7866	-0.0012575496220961213	0.1825263	No	
row_53	ARHGDIA	NA	8097	-0.00384985632263124	0.1687033	No	
row_54	RIPK1	NA	8105	-0.003959799185395241	0.1692251	No	
row_55	CAMK4	NA	8142	-0.004433415364474058	0.16800107	No	
row_56	YWHAB	NA	8155	-0.004578833468258381	0.16835366	No	
row_57	GRB2	NA	8320	-0.006508045829832554	0.15942019	No	
row_58	PRKCB	NA	8386	-0.007219433784484863	0.15701756	No	
row_59	ARF1	NA	8553	-0.009054207243025303	0.14858018	No	
row_60	CDKN1B	NA	8726	-0.011073485016822815	0.14025283	No	
row_61	GSK3B	NA	9313	-0.01788674294948578	0.10701551	No	
row_62	RPS6KA1	NA	9975	-0.025688540190458298	0.07087634	No	
row_63	RAC1	NA	10183	-0.028221620246767998	0.06450773	No	
row_64	ACTR2	NA	10242	-0.028896160423755646	0.067871176	No	
row_65	PDK1	NA	10432	-0.031279779970645905	0.06340834	No	
row_66	AP2M1	NA	11309	-0.04256894811987877	0.01760525	No	
row_67	CDK1	NA	11527	-0.04566175118088722	0.014872129	No	
row_68	PTPN11	NA	11767	-0.04901900514960289	0.011549922	No	
row_69	TNFRSF1A	NA	12000	-0.05245246738195419	0.009519278	No	
row_70	SLC2A1	NA	12032	-0.05282529070973396	0.020485375	No	
row_71	RIT1	NA	12285	-0.05659869685769081	0.018187568	No	
row_72	MAPKAP1	NA	12662	-0.0628366470336914	0.009458267	No	
row_73	ITPR2	NA	12674	-0.06309553980827332	0.024227459	No	
row_74	ADCY2	NA	13114	-0.07105015963315964	0.013467744	No	
row_75	PLCG1	NA	13217	-0.07325619459152222	0.024886342	No	
row_76	NGF	NA	13239	-0.07362653315067291	0.041596416	No	
row_77	PRKAA2	NA	13365	-0.07649853825569153	0.05233354	No	
row_78	CXCR4	NA	13970	-0.09050260484218597	0.03575103	No	
row_79	TIAM1	NA	13980	-0.09083673357963562	0.057452716	No	
row_80	HSP90B1	NA	14288	-0.0993490144610405	0.062108986	No	
row_81	MAPK10	NA	14441	-0.10461901128292084	0.07800967	No	
