NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V1H	NA	305	0.14233531057834625	0.015392844	Yes	
row_1	ATP6V1B1	NA	322	0.1405515819787979	0.048912164	Yes	
row_2	ARFGEF1	NA	489	0.12612004578113556	0.06924849	Yes	
row_3	STAM	NA	654	0.11665357649326324	0.08738647	Yes	
row_4	MAPK1	NA	1287	0.09039723873138428	0.06900712	Yes	
row_5	CTSC	NA	1461	0.08564560115337372	0.07894529	Yes	
row_6	SGMS1	NA	1652	0.08046847581863403	0.086518876	Yes	
row_7	RAB14	NA	1684	0.07974133640527725	0.10412765	Yes	
row_8	SNX2	NA	1737	0.07827591896057129	0.12002723	Yes	
row_9	ADAM10	NA	1796	0.07693947106599808	0.13521288	Yes	
row_10	PPT1	NA	1932	0.07371582835912704	0.1446598	Yes	
row_11	AP3B1	NA	1967	0.07302629947662354	0.16042534	Yes	
row_12	RAB2A	NA	2211	0.06794269382953644	0.16151549	Yes	
row_13	ARFGEF2	NA	2312	0.06609351187944412	0.17133722	Yes	
row_14	GALC	NA	2461	0.06367417424917221	0.17748085	Yes	
row_15	NAPG	NA	2536	0.06231674924492836	0.18804446	Yes	
row_16	TPD52	NA	2765	0.057991012930870056	0.1876521	Yes	
row_17	AP3S1	NA	2787	0.05751361697912216	0.20043975	Yes	
row_18	VAMP7	NA	2926	0.05556710436940193	0.20523307	Yes	
row_19	IGF2R	NA	2930	0.05552380159497261	0.21868792	Yes	
row_20	GNAS	NA	3023	0.0540924035012722	0.22607373	Yes	
row_21	GLA	NA	3350	0.04947054013609886	0.2172917	Yes	
row_22	SNAP23	NA	3501	0.04736577719449997	0.21929829	Yes	
row_23	TOM1L1	NA	3569	0.04631110280752182	0.22637744	Yes	
row_24	M6PR	NA	3648	0.04528630152344704	0.23249806	Yes	
row_25	DNM1L	NA	4273	0.03766731545329094	0.20167178	No	
row_26	ARFIP1	NA	4376	0.03673885762691498	0.20414975	No	
row_27	VPS4B	NA	4414	0.036393243819475174	0.21071827	No	
row_28	RPS6KA3	NA	4457	0.03598947823047638	0.21686636	No	
row_29	STX7	NA	4786	0.03210090100765228	0.20368645	No	
row_30	SEC31A	NA	4871	0.03132126107811928	0.2059891	No	
row_31	AP1G1	NA	4896	0.03105778619647026	0.21208127	No	
row_32	EGFR	NA	4994	0.03014630824327469	0.21326001	No	
row_33	OCRL	NA	5048	0.02958870679140091	0.21712817	No	
row_34	SEC22B	NA	5426	0.02539629116654396	0.1991526	No	
row_35	GOSR2	NA	5486	0.02470584027469158	0.20143516	No	
row_36	STX16	NA	5866	0.02087072841823101	0.18221875	No	
row_37	COG2	NA	5905	0.020439406856894493	0.18480162	No	
row_38	TMED10	NA	6250	0.01658153533935547	0.16677928	No	
row_39	STX12	NA	6294	0.016142267733812332	0.16798475	No	
row_40	CLCN3	NA	6309	0.016036327928304672	0.1710271	No	
row_41	CLTA	NA	6337	0.015809571370482445	0.1731786	No	
row_42	TSG101	NA	6415	0.015134111978113651	0.17195216	No	
row_43	YIPF6	NA	6505	0.01415457483381033	0.16971408	No	
row_44	SCAMP3	NA	6544	0.013651341199874878	0.17062847	No	
row_45	RAB9A	NA	6594	0.013097350485622883	0.17070007	No	
row_46	RAB5A	NA	6844	0.01038682833313942	0.15725775	No	
row_47	SOD1	NA	6856	0.010211501270532608	0.15906109	No	
row_48	RER1	NA	6907	0.009653275832533836	0.1582219	No	
row_49	BET1	NA	7080	0.007676273118704557	0.1490597	No	
row_50	CLTC	NA	7093	0.007571683265268803	0.15014993	No	
row_51	ZW10	NA	7139	0.006900922395288944	0.14895542	No	
row_52	BNIP3	NA	7302	0.004964884370565414	0.13976915	No	
row_53	KIF1B	NA	7348	0.004385374020785093	0.13795634	No	
row_54	RAB22A	NA	7838	-0.001003829063847661	0.10679046	No	
row_55	GOLGA4	NA	7848	-0.0010572733590379357	0.106472194	No	
row_56	COPB2	NA	8070	-0.003593224100768566	0.09315869	No	
row_57	COPB1	NA	8110	-0.0040169027633965015	0.09164074	No	
row_58	USO1	NA	8159	-0.0045907930471003056	0.08968569	No	
row_59	CLN5	NA	8222	-0.0052753593772649765	0.08699958	No	
row_60	LAMP2	NA	8224	-0.005281937308609486	0.08823362	No	
row_61	TMX1	NA	8334	-0.006647132802754641	0.08286548	No	
row_62	ARF1	NA	8553	-0.009054207243025303	0.07108699	No	
row_63	ANP32E	NA	8941	-0.01346652489155531	0.049536735	No	
row_64	COPE	NA	9381	-0.01876511611044407	0.02594846	No	
row_65	CAV2	NA	9492	-0.019939308986067772	0.023783248	No	
row_66	ATP7A	NA	9594	-0.021034907549619675	0.022465479	No	
row_67	ABCA1	NA	9731	-0.022855224087834358	0.01934679	No	
