NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STRBP	NA	260	0.14711561799049377	0.01270191	No	
row_1	COIL	NA	345	0.13764448463916779	0.034816142	No	
row_2	PGS1	NA	436	0.12986542284488678	0.05499023	No	
row_3	SLC12A2	NA	702	0.11461266130208969	0.060874857	No	
row_4	GFI1	NA	1023	0.09966714680194855	0.060239557	No	
row_5	CCNA1	NA	1027	0.09953522682189941	0.07994017	No	
row_6	DCC	NA	1395	0.08718748390674591	0.073791645	No	
row_7	IDE	NA	1456	0.08574818819761276	0.0870754	No	
row_8	DDX25	NA	1588	0.08221980184316635	0.095093325	No	
row_9	CHRM4	NA	1711	0.07885345071554184	0.103016555	No	
row_10	TSN	NA	1714	0.07884462177753448	0.11864614	No	
row_11	CSNK2A2	NA	1798	0.07687327265739441	0.12867874	No	
row_12	MEP1B	NA	2289	0.06667357683181763	0.11052944	No	
row_13	ARL4A	NA	2531	0.062347233295440674	0.107509814	No	
row_14	DBF4	NA	2692	0.05935074761509895	0.10909429	No	
row_15	ACE	NA	2815	0.05705276131629944	0.112660386	No	
row_16	CHFR	NA	2938	0.05547333508729935	0.11591081	No	
row_17	SEPTIN4	NA	2957	0.05515475198626518	0.12577794	No	
row_18	PSMG1	NA	3098	0.052936915308237076	0.12736522	No	
row_19	MTNR1A	NA	3169	0.05185990408062935	0.13323365	No	
row_20	ACRBP	NA	3248	0.05082769691944122	0.1383819	No	
row_21	HOXB1	NA	3543	0.04663786664605141	0.12881814	No	
row_22	LPIN1	NA	3602	0.04596846178174019	0.1342799	No	
row_23	HSPA4L	NA	3664	0.04510976001620293	0.13937734	No	
row_24	ZC2HC1C	NA	3716	0.04458394646644592	0.14501204	No	
row_25	SHE	NA	3804	0.04338478296995163	0.14809462	No	
row_26	HSPA2	NA	4136	0.03921125456690788	0.1346699	No	
row_27	IL12RB2	NA	4315	0.03725467622280121	0.13068199	No	
row_28	PRKAR2A	NA	4411	0.03643461689352989	0.13186163	No	
row_29	AGFG1	NA	4525	0.03511303290724754	0.13162091	No	
row_30	PEBP1	NA	4648	0.033716507256031036	0.13052298	No	
row_31	VDAC3	NA	4683	0.03340525180101395	0.13501546	No	
row_32	ACTL7B	NA	4731	0.03283187747001648	0.13855828	No	
row_33	NF2	NA	4855	0.031449094414711	0.13694295	No	
row_34	TALDO1	NA	5114	0.028777461498975754	0.12612201	No	
row_35	GMCL1	NA	5729	0.02226421609520912	0.09113191	No	
row_36	RAD17	NA	5946	0.01998884044587612	0.08125231	No	
row_37	NOS1	NA	6081	0.018442878499627113	0.07633094	No	
row_38	PIAS2	NA	6404	0.01524270512163639	0.058693923	No	
row_39	NPY5R	NA	6437	0.014856157824397087	0.059607606	No	
row_40	ZPBP	NA	6631	0.012701909989118576	0.049749013	No	
row_41	ZC3H14	NA	7416	0.0036099329590797424	1.1078678E-4	No	
row_42	SIRT1	NA	7745	4.796129815076711E-6	-0.020957114	No	
row_43	CAMK4	NA	8142	-0.004433415364474058	-0.045507837	No	
row_44	SPATA6	NA	8426	-0.007538516074419022	-0.062179487	No	
row_45	NPHP1	NA	8501	-0.008489114232361317	-0.06523617	No	
row_46	GPR182	NA	8531	-0.008863764815032482	-0.06532744	No	
row_47	SYCP1	NA	8729	-0.011104831472039223	-0.07576217	No	
row_48	CDKN3	NA	8743	-0.01120375469326973	-0.07435801	No	
row_49	IP6K1	NA	8820	-0.01218649186193943	-0.0768042	No	
row_50	EZH2	NA	9214	-0.016722137108445168	-0.09870617	No	
row_51	TOPBP1	NA	9334	-0.018164915964007378	-0.102719575	No	
row_52	MAP7	NA	9495	-0.019990503787994385	-0.109001726	No	
row_53	GAD1	NA	9570	-0.02071239799261093	-0.109615445	No	
row_54	BUB1	NA	9611	-0.021208379417657852	-0.10794607	No	
row_55	KIF2C	NA	9880	-0.024540435522794724	-0.12025616	No	
