NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE2D3	NA	430	0.13063320517539978	0.021649962	No	
row_1	SMAD3	NA	1001	0.1004660353064537	0.022971356	No	
row_2	BMP2	NA	1344	0.08849193900823593	0.034388557	No	
row_3	NOG	NA	1433	0.08638200163841248	0.061281763	No	
row_4	XIAP	NA	1593	0.08213154971599579	0.082026236	No	
row_5	HDAC1	NA	1848	0.07586731016635895	0.09432623	No	
row_6	FNTA	NA	1893	0.07464431971311569	0.119617715	No	
row_7	ID3	NA	2850	0.05664881318807602	0.079711996	No	
row_8	TGIF1	NA	3062	0.053534816950559616	0.08635635	No	
row_9	SMAD1	NA	3422	0.048481762409210205	0.0816173	No	
row_10	HIPK2	NA	4750	0.03263460099697113	0.008902881	No	
row_11	KLF10	NA	5898	0.02053014189004898	-0.05683958	No	
row_12	SKIL	NA	6121	0.01806877925992012	-0.06425587	No	
row_13	BCAR3	NA	6748	0.011450553312897682	-0.100043684	No	
row_14	IFNGR2	NA	6754	0.011345550417900085	-0.0960914	No	
row_15	SMURF1	NA	6898	0.009752573445439339	-0.10157892	No	
row_16	FURIN	NA	7301	0.004980945028364658	-0.12545423	No	
row_17	MAP3K7	NA	7671	7.861510966904461E-4	-0.14879537	No	
row_18	RHOA	NA	7912	-0.0017279472667723894	-0.16351841	No	
row_19	TGFBR1	NA	8163	-0.004635883029550314	-0.17778695	No	
row_20	CDK9	NA	8349	-0.0068762218579649925	-0.18704808	No	
row_21	ID2	NA	9462	-0.019551219418644905	-0.2509172	No	
row_22	ID1	NA	9898	-0.024711063131690025	-0.26947632	No	
row_23	PPM1A	NA	10471	-0.03182102367281914	-0.29413378	No	
row_24	BMPR2	NA	10743	-0.035260532051324844	-0.2982147	No	
row_25	NCOR2	NA	10775	-0.0356786884367466	-0.28676438	No	
row_26	BMPR1A	NA	10842	-0.036608703434467316	-0.27720585	No	
row_27	LTBP2	NA	11010	-0.03872917219996452	-0.2733186	No	
row_28	ARID4B	NA	11371	-0.04340862110257149	-0.28003216	No	
row_29	WWTR1	NA	11788	-0.049293339252471924	-0.28811684	No	
row_30	TRIM33	NA	12442	-0.05938233435153961	-0.30758378	Yes	
row_31	THBS1	NA	12565	-0.06126539781689644	-0.29232708	Yes	
row_32	SLC20A1	NA	12740	-0.0644625648856163	-0.27919737	Yes	
row_33	APC	NA	12741	-0.0644635334610939	-0.2549213	Yes	
row_34	PMEPA1	NA	12765	-0.06501323729753494	-0.23191153	Yes	
row_35	TJP1	NA	12793	-0.06554017215967178	-0.20895956	Yes	
row_36	ENG	NA	13120	-0.07120523601770401	-0.20302737	Yes	
row_37	SMAD6	NA	13469	-0.07877054810523987	-0.19565545	Yes	
row_38	CDKN1C	NA	13535	-0.07989279180765152	-0.16973267	Yes	
row_39	SMURF2	NA	14230	-0.09782472997903824	-0.17734908	Yes	
row_40	ACVR1	NA	14260	-0.09862230718135834	-0.14206696	Yes	
row_41	SPTBN1	NA	14327	-0.10035799443721771	-0.10850132	Yes	
row_42	CTNNB1	NA	14361	-0.1014128103852272	-0.07242457	Yes	
row_43	RAB31	NA	14671	-0.11262419819831848	-0.049805596	Yes	
row_44	FKBP1A	NA	14837	-0.12023839354515076	-0.015094966	Yes	
row_45	SKI	NA	15494	-0.17922593653202057	0.010377375	Yes	
