NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX58	NA	119	0.1722932755947113	0.015412728	Yes	
row_1	CEBPB	NA	191	0.1570752114057541	0.0318812	Yes	
row_2	ZC3H12A	NA	242	0.14956034719944	0.048696734	Yes	
row_3	TNIP2	NA	354	0.13644933700561523	0.059822608	Yes	
row_4	LAMB3	NA	732	0.11275463551282883	0.050623454	Yes	
row_5	KLF9	NA	778	0.11076754331588745	0.0625636	Yes	
row_6	TNC	NA	816	0.10896943509578705	0.07477862	Yes	
row_7	CCNL1	NA	892	0.10484281927347183	0.083990686	Yes	
row_8	SLC2A6	NA	914	0.10406150668859482	0.09657969	Yes	
row_9	SMAD3	NA	1001	0.1004660353064537	0.10449611	Yes	
row_10	RCAN1	NA	1020	0.09981225430965424	0.11670919	Yes	
row_11	CEBPD	NA	1218	0.09284131973981857	0.116447315	Yes	
row_12	TANK	NA	1328	0.08905172348022461	0.121351436	Yes	
row_13	BMP2	NA	1344	0.08849193900823593	0.13224116	Yes	
row_14	CD83	NA	1346	0.08844378590583801	0.14402707	Yes	
row_15	TNIP1	NA	1541	0.08324488997459412	0.1426728	Yes	
row_16	TRIB1	NA	1627	0.08121844381093979	0.14807476	Yes	
row_17	BTG1	NA	1809	0.07662943005561829	0.14667228	Yes	
row_18	CD80	NA	1969	0.07302156835794449	0.14620483	Yes	
row_19	IRF1	NA	2118	0.06982894241809845	0.14601882	Yes	
row_20	FOSL2	NA	2201	0.06819555908441544	0.14986928	Yes	
row_21	IFIH1	NA	2245	0.0672621801495552	0.15610918	Yes	
row_22	PTGER4	NA	2467	0.06352990865707397	0.15037255	Yes	
row_23	SQSTM1	NA	2680	0.05950438976287842	0.1446768	Yes	
row_24	G0S2	NA	2847	0.05670931562781334	0.1415724	Yes	
row_25	F2RL1	NA	2895	0.05598505958914757	0.1460434	Yes	
row_26	HBEGF	NA	2948	0.05536137521266937	0.15010849	Yes	
row_27	NFKB2	NA	2989	0.05443359538912773	0.15482293	Yes	
row_28	CCND1	NA	3038	0.053911615163087845	0.15895166	Yes	
row_29	TGIF1	NA	3062	0.053534816950559616	0.16464175	Yes	
row_30	BTG2	NA	3122	0.05251853168010712	0.1678746	Yes	
row_31	IL7R	NA	3194	0.0515659861266613	0.17020613	Yes	
row_32	LITAF	NA	3437	0.048304975032806396	0.16107556	No	
row_33	PANX1	NA	3573	0.04625329747796059	0.15856887	No	
row_34	TNFAIP2	NA	3578	0.046211227774620056	0.16450273	No	
row_35	BHLHE40	NA	3640	0.04539043828845024	0.16665155	No	
row_36	MAFF	NA	3693	0.04480971023440361	0.16930282	No	
row_37	RHOB	NA	3868	0.042625825852155685	0.16379559	No	
row_38	PLK2	NA	3898	0.04231467470526695	0.16759548	No	
row_39	HES1	NA	3958	0.04150144383311272	0.16935217	No	
row_40	LIF	NA	4077	0.03993244841694832	0.16709463	No	
row_41	NFIL3	NA	4174	0.03879130631685257	0.16610265	No	
row_42	MAP3K8	NA	4283	0.03760913386940956	0.16417857	No	
row_43	TNFAIP8	NA	4553	0.034847863018512726	0.1515041	No	
row_44	NR4A1	NA	4589	0.03439928963780403	0.15385658	No	
row_45	ETS2	NA	4753	0.03257120028138161	0.14771137	No	
row_46	TNFAIP3	NA	4804	0.03195694461464882	0.14876948	No	
row_47	PTGS2	NA	4888	0.03111341781914234	0.14758691	No	
row_48	MXD1	NA	4980	0.030264515429735184	0.14577481	No	
row_49	IL18	NA	5146	0.028427790850400925	0.13894549	No	
row_50	PLAU	NA	5162	0.02824145182967186	0.14176238	No	
row_51	MYC	NA	5231	0.02761620655655861	0.14107835	No	
row_52	SOD2	NA	5237	0.027546580880880356	0.14444688	No	
row_53	SPHK1	NA	5275	0.027089577168226242	0.14569099	No	
row_54	FJX1	NA	5368	0.02615121752023697	0.14326328	No	
row_55	BCL2A1	NA	5522	0.02441215142607689	0.1366696	No	
row_56	CCL20	NA	5573	0.02390434592962265	0.13664877	No	
row_57	NFKBIE	NA	5769	0.02184472046792507	0.12700316	No	
row_58	SDC4	NA	5776	0.021776149049401283	0.12953407	No	
row_59	YRDC	NA	5779	0.021731335669755936	0.13231684	No	
row_60	JUN	NA	5787	0.021664517000317574	0.1347683	No	
row_61	B4GALT1	NA	5861	0.02091340161859989	0.1328638	No	
row_62	PTX3	NA	5880	0.02072112448513508	0.13447964	No	
row_63	KLF10	NA	5898	0.02053014189004898	0.13613436	No	
row_64	PNRC1	NA	6002	0.019400136545300484	0.13209286	No	
row_65	SIK1	NA	6114	0.01811087131500244	0.12736283	No	
row_66	CSF1	NA	6127	0.017973797395825386	0.1289974	No	
row_67	DNAJB4	NA	6140	0.01786256954073906	0.13061708	No	
row_68	SAT1	NA	6245	0.016614072024822235	0.12613781	No	
row_69	GADD45A	NA	6307	0.01605715975165367	0.12435633	No	
row_70	GCH1	NA	6311	0.01601072959601879	0.12630814	No	
row_71	CDKN1A	NA	6363	0.015646424144506454	0.12511638	No	
row_72	NFKBIA	NA	6402	0.015263223089277744	0.124711424	No	
row_73	ATF3	NA	6587	0.013232581317424774	0.11462112	No	
row_74	IFNGR2	NA	6754	0.011345550417900085	0.10543851	No	
row_75	REL	NA	6923	0.009470667690038681	0.09587575	No	
row_76	NAMPT	NA	6925	0.00945640541613102	0.097078316	No	
row_77	TIPARP	NA	6939	0.0092847291380167	0.09748419	No	
row_78	NR4A3	NA	7168	0.006557701621204615	0.083662644	No	
row_79	SPSB1	NA	7478	0.003097651293501258	0.064155065	No	
row_80	MARCKS	NA	7508	0.0027737407945096493	0.06265695	No	
row_81	MAP2K3	NA	7866	-0.0012575496220961213	0.039808035	No	
row_82	DRAM1	NA	8072	-0.003604352241382003	0.027073696	No	
row_83	IL6ST	NA	8112	-0.0040354859083890915	0.025099896	No	
row_84	CCN1	NA	8131	-0.004298838786780834	0.024515346	No	
row_85	IL15RA	NA	8164	-0.004644084256142378	0.02307441	No	
row_86	F3	NA	8211	-0.005158555693924427	0.020799767	No	
row_87	CD44	NA	8266	-0.005784168373793364	0.01809315	No	
row_88	ICOSLG	NA	8284	-0.0060393232852220535	0.017806279	No	
row_89	CFLAR	NA	8423	-0.0075218817219138145	0.009916634	No	
row_90	RIPK2	NA	8425	-0.007528173737227917	0.010860843	No	
row_91	ZBTB10	NA	8786	-0.01177022885531187	-0.010772921	No	
row_92	FOS	NA	8826	-0.012224513106048107	-0.011649492	No	
row_93	EFNA1	NA	8828	-0.012251412495970726	-0.010072427	No	
row_94	DUSP5	NA	8858	-0.012507746927440166	-0.010266302	No	
row_95	NR4A2	NA	8892	-0.012888893485069275	-0.010667007	No	
row_96	IL6	NA	8969	-0.013851474039256573	-0.013711143	No	
row_97	TNFAIP6	NA	9076	-0.01515580527484417	-0.01851475	No	
row_98	ID2	NA	9462	-0.019551219418644905	-0.04071782	No	
row_99	ABCA1	NA	9731	-0.022855224087834358	-0.054934673	No	
row_100	TLR2	NA	9903	-0.024737248197197914	-0.06264533	No	
row_101	MSC	NA	10297	-0.029660170897841454	-0.084009714	No	
row_102	SGK1	NA	10443	-0.03142157942056656	-0.08914842	No	
row_103	EIF1	NA	10467	-0.03177982568740845	-0.086373225	No	
row_104	GFPT2	NA	10626	-0.03393087536096573	-0.09201387	No	
row_105	TRAF1	NA	10634	-0.03405074030160904	-0.087902814	No	
row_106	PLEK	NA	10692	-0.03465902432799339	-0.08693397	No	
row_107	ACKR3	NA	10902	-0.03731566667556763	-0.095409304	No	
row_108	PDE4B	NA	10966	-0.03830546885728836	-0.09433874	No	
row_109	NFE2L2	NA	10986	-0.03845842927694321	-0.09041079	No	
row_110	KLF4	NA	11157	-0.040811702609062195	-0.095903195	No	
row_111	RNF19B	NA	11217	-0.04157622531056404	-0.094136484	No	
row_112	KLF2	NA	11538	-0.04581853747367859	-0.108629204	No	
row_113	B4GALT5	NA	11545	-0.045891664922237396	-0.102867134	No	
