NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPOP	NA	292	0.14378881454467773	-1.3159908E-4	No	
row_1	PTGFR	NA	468	0.12778706848621368	0.005195615	No	
row_2	COL1A1	NA	566	0.12182825803756714	0.014773811	No	
row_3	SYNJ2	NA	834	0.1081218272447586	0.011619131	No	
row_4	COL1A2	NA	952	0.10282942652702332	0.01744059	No	
row_5	SMAD3	NA	1001	0.1004660353064537	0.027400311	No	
row_6	MGMT	NA	1037	0.09916052222251892	0.038027946	No	
row_7	DLG1	NA	1081	0.09747516363859177	0.04792123	No	
row_8	COL3A1	NA	1201	0.0936107337474823	0.052416187	No	
row_9	NFIB	NA	1294	0.09009729325771332	0.05819416	No	
row_10	KALRN	NA	1687	0.07954872399568558	0.043274302	No	
row_11	PPARG	NA	1739	0.07822051644325256	0.050150707	No	
row_12	COL11A1	NA	1820	0.0764765590429306	0.05493223	No	
row_13	MRPS31	NA	1909	0.07409943640232086	0.05888953	No	
row_14	AGGF1	NA	2448	0.06387267261743546	0.032527104	No	
row_15	NR1D2	NA	2465	0.06354402750730515	0.03975167	No	
row_16	SLC7A1	NA	2592	0.06105475500226021	0.039566126	No	
row_17	SRI	NA	2812	0.057088159024715424	0.03287376	No	
row_18	PIK3CD	NA	2929	0.05554256960749626	0.032616343	No	
row_19	RND3	NA	2994	0.054391030222177505	0.035559405	No	
row_20	MAPK14	NA	3028	0.053998302668333054	0.040448613	No	
row_21	PTEN	NA	3173	0.0518508143723011	0.03790769	No	
row_22	SLC22A18	NA	3175	0.05184824764728546	0.04457916	No	
row_23	VLDLR	NA	3345	0.04953974485397339	0.040127374	No	
row_24	MET	NA	3548	0.04655773565173149	0.03316216	No	
row_25	BHLHE40	NA	3640	0.04539043828845024	0.03319644	No	
row_26	ACVR2A	NA	3807	0.0433502160012722	0.028133813	No	
row_27	LAMC1	NA	3927	0.04200901836156845	0.025924902	No	
row_28	ERBB2	NA	3964	0.04144242778420448	0.028989632	No	
row_29	TENT4A	NA	4162	0.03895287215709686	0.021358555	No	
row_30	ATP2C1	NA	4294	0.03746825456619263	0.017786631	No	
row_31	CITED2	NA	4451	0.03601920232176781	0.012415836	No	
row_32	RUNX1	NA	4852	0.03146795555949211	-0.009265862	No	
row_33	MYC	NA	5231	0.02761620655655861	-0.03003062	No	
row_34	INSIG1	NA	5504	0.024516502395272255	-0.044369057	No	
row_35	PLCB4	NA	5624	0.023378506302833557	-0.048998363	No	
row_36	PRKAR2B	NA	5631	0.02333974465727806	-0.046352714	No	
row_37	LTBP1	NA	5712	0.02240268513560295	-0.048596233	No	
row_38	CAP2	NA	5715	0.022383471950888634	-0.04581712	No	
row_39	MGLL	NA	6092	0.01833520457148552	-0.067658775	No	
row_40	RXRA	NA	6257	0.01651671901345253	-0.076078646	No	
row_41	CDON	NA	6796	0.010916512459516525	-0.1093209	No	
row_42	BCKDHB	NA	6889	0.009831720031797886	-0.11397068	No	
