NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SKP2	NA	1192	0.09399667382240295	-0.022860235	No	
row_1	DKK1	NA	1899	0.07449907064437866	-0.025696961	No	
row_2	PTCH1	NA	2316	0.06592466682195663	-0.014845901	No	
row_3	DLL1	NA	2348	0.06545557081699371	0.020381631	No	
row_4	HDAC11	NA	2498	0.06298969686031342	0.04665434	No	
row_5	TCF7	NA	3143	0.05216290056705475	0.035087906	No	
row_6	AXIN2	NA	3991	0.04099166765809059	0.004176915	No	
row_7	PSEN2	NA	4043	0.04026605933904648	0.023803933	No	
row_8	FZD1	NA	5039	0.02969132363796234	-0.023004567	No	
row_9	MYC	NA	5231	0.02761620655655861	-0.019530194	No	
row_10	NCSTN	NA	6271	0.01639403961598873	-0.07671462	No	
row_11	NOTCH1	NA	6558	0.013469322584569454	-0.08736359	No	
row_12	CSNK1E	NA	7097	0.007487340364605188	-0.117543414	No	
row_13	HEY1	NA	7666	8.693726267665625E-4	-0.15340583	No	
row_14	PPARD	NA	7852	-0.001107485149987042	-0.16461773	No	
row_15	MAML1	NA	7883	-0.0014159352285787463	-0.16573301	No	
row_16	NKD1	NA	7890	-0.0015213919105008245	-0.16525215	No	
row_17	FZD8	NA	7968	-0.00238463724963367	-0.16882509	No	
row_18	AXIN1	NA	8757	-0.011343241669237614	-0.21281487	No	
row_19	KAT2A	NA	9062	-0.015065563842654228	-0.22370851	No	
row_20	RBPJ	NA	10231	-0.028772197663784027	-0.28211296	No	
row_21	LEF1	NA	10358	-0.03040345199406147	-0.2728935	No	
row_22	NCOR2	NA	10775	-0.0356786884367466	-0.27923742	No	
row_23	WNT6	NA	11014	-0.03876983001828194	-0.27243054	No	
row_24	CUL1	NA	11901	-0.05098782852292061	-0.30015498	No	
row_25	NUMB	NA	12186	-0.05505207180976868	-0.28703597	No	
row_26	ADAM17	NA	12280	-0.05654330551624298	-0.2608436	No	
row_27	HDAC2	NA	14080	-0.09354472905397415	-0.32281372	Yes	
row_28	CTNNB1	NA	14361	-0.1014128103852272	-0.2830824	Yes	
row_29	CCND2	NA	14498	-0.10665158182382584	-0.2311556	Yes	
row_30	WNT5B	NA	14641	-0.11172705143690109	-0.17672743	Yes	
row_31	HEY2	NA	14882	-0.12232305109500885	-0.122548185	Yes	
row_32	JAG1	NA	15272	-0.14756807684898376	-0.063554265	Yes	
row_33	JAG2	NA	15341	-0.15491421520709991	0.020162614	Yes	
