NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	50	0.65876013	2.6052997	0.0	0.0	0.0	2655	tags=56%, list=17%, signal=67%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	119	0.5008888	2.3739936	0.0	0.0	0.0	2927	tags=38%, list=19%, signal=46%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	140	0.47964942	2.3143528	0.0	0.0	0.0	6523	tags=80%, list=42%, signal=136%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	57	0.39168432	1.6051024	0.00990099	0.027329369	0.077	2674	tags=28%, list=17%, signal=34%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	119	0.3372004	1.5968187	0.0028985508	0.023759764	0.084	2853	tags=29%, list=18%, signal=35%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	117	0.33226487	1.5497988	0.002688172	0.030060183	0.122	4681	tags=42%, list=30%, signal=59%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	110	0.3226466	1.5080785	0.013192612	0.035108842	0.162	4986	tags=45%, list=32%, signal=65%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	82	0.32725367	1.4434838	0.016172506	0.05453081	0.268	4994	tags=45%, list=32%, signal=66%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	81	0.31566253	1.4099404	0.036745407	0.06453702	0.335	2628	tags=28%, list=17%, signal=34%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	161	0.24440455	1.1998134	0.098101266	0.32298654	0.905	4729	tags=41%, list=30%, signal=58%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	125	0.2406978	1.1435751	0.1904762	0.4286855	0.96	2630	tags=24%, list=17%, signal=29%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	148	0.2246453	1.0860173	0.24922119	0.57379013	0.991	3778	tags=24%, list=24%, signal=32%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	90	0.23249806	1.0371883	0.37696335	0.7047762	0.998	3648	tags=28%, list=23%, signal=36%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	43	0.25543338	0.98647976	0.47188264	0.86238605	1.0	5859	tags=42%, list=37%, signal=67%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	156	0.19062224	0.92385995	0.6685879	1.0	1.0	2710	tags=20%, list=17%, signal=24%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	133	0.18977402	0.9093254	0.7378049	1.0	1.0	3548	tags=25%, list=23%, signal=32%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	167	0.1778414	0.88876176	0.7714286	1.0	1.0	4364	tags=33%, list=28%, signal=45%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	138	0.18015915	0.8757918	0.77602524	1.0	1.0	2118	tags=15%, list=14%, signal=17%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	81	0.19640593	0.8712555	0.7651515	1.0	1.0	3175	tags=23%, list=20%, signal=29%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	147	0.17020613	0.8310662	0.9099099	1.0	1.0	3194	tags=22%, list=20%, signal=27%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		111	0.17177862	0.7965343	0.9325843	1.0	1.0	4589	tags=32%, list=29%, signal=46%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.17155391	0.7728416	0.94929576	1.0	1.0	3315	tags=24%, list=21%, signal=30%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		101	0.16548358	0.76222616	0.9626667	1.0	1.0	5970	tags=47%, list=38%, signal=75%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		156	0.14668012	0.7201289	0.9938462	1.0	1.0	4543	tags=29%, list=29%, signal=41%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		132	0.12408887	0.59303916	1.0	0.9950846	1.0	4937	tags=27%, list=32%, signal=38%	
