NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	28	-0.52421355	-1.728657	0.0017636684	0.028778855	0.037	2270	tags=39%, list=14%, signal=46%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	174	-0.33329332	-1.5273883	0.0014556041	0.12306024	0.271	5057	tags=45%, list=32%, signal=65%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	135	-0.34405315	-1.5181614	0.001506024	0.08869186	0.289	3855	tags=40%, list=25%, signal=53%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	167	-0.30174917	-1.3747178	0.02427921	0.24200614	0.706	3408	tags=31%, list=22%, signal=39%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	34	-0.37599432	-1.2932942	0.12847222	0.36973488	0.901	1578	tags=21%, list=10%, signal=23%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	33	-0.36367708	-1.249942	0.15979381	0.4296405	0.968	2270	tags=21%, list=14%, signal=25%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	146	-0.27420783	-1.2299671	0.11212121	0.42805073	0.985	3986	tags=34%, list=25%, signal=45%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	46	-0.3299463	-1.2071133	0.18781726	0.44151923	0.993	3216	tags=35%, list=21%, signal=44%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	36	-0.32721654	-1.1339523	0.26494345	0.6250577	1.0	2742	tags=33%, list=18%, signal=40%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	27	-0.3450242	-1.1104013	0.29541597	0.6417415	1.0	3834	tags=33%, list=24%, signal=44%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	171	-0.2384269	-1.1042029	0.2367223	0.6050104	1.0	6053	tags=49%, list=39%, signal=78%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	35	-0.30972722	-1.0469846	0.38070175	0.75875866	1.0	3386	tags=37%, list=22%, signal=47%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	163	-0.20943877	-0.9513221	0.5898204	1.0	1.0	3745	tags=24%, list=24%, signal=31%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	168	-0.1991647	-0.9208418	0.6681223	1.0	1.0	5816	tags=45%, list=37%, signal=70%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	151	-0.1899334	-0.85351187	0.7814871	1.0	1.0	2842	tags=25%, list=18%, signal=30%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	89	-0.19783206	-0.8325458	0.8125	1.0	1.0	2684	tags=21%, list=17%, signal=26%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	152	-0.17749108	-0.80380094	0.90577507	1.0	1.0	4065	tags=28%, list=26%, signal=38%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	164	-0.17102787	-0.78859293	0.938326	1.0	1.0	5024	tags=39%, list=32%, signal=57%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	51	-0.20554928	-0.77124524	0.87435454	1.0	1.0	3350	tags=20%, list=21%, signal=25%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	89	-0.17971027	-0.7487189	0.9241706	1.0	1.0	3380	tags=17%, list=22%, signal=21%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		164	-0.15585183	-0.71397066	0.9869376	1.0	1.0	5471	tags=36%, list=35%, signal=55%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		163	-0.15718947	-0.7124482	0.97643596	1.0	1.0	3686	tags=20%, list=24%, signal=26%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		119	-0.14402752	-0.6255048	0.9969789	1.0	1.0	4009	tags=24%, list=26%, signal=33%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		153	-0.13319059	-0.615247	0.99849623	1.0	1.0	5473	tags=35%, list=35%, signal=53%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		39	-0.17340037	-0.60868585	0.96385545	0.9932781	1.0	561	tags=5%, list=4%, signal=5%	
