NAME	TITLE	SCORE	
LY96	NA	0.32230774	
LOC103539287	NA	0.28991526	
LOC115600498	NA	0.28184167	
PANX3	NA	0.26896742	
LOC115600320	NA	0.26613694	
OTC	NA	0.2618415	
LOC115598016	NA	0.26035696	
LOC103530469	NA	0.25670296	
LOC115599970	NA	0.25359985	
LOC115598898	NA	0.24467035	
LOC103539229	NA	0.24437875	
C2H18orf21	NA	0.24164791	
PHOSPHO2	NA	0.23954722	
LOC103532967	NA	0.23721078	
GATD1	NA	0.2369453	
CMPK2	NA	0.23293485	
FAM89A	NA	0.23286383	
PLA2G12A	NA	0.23196745	
LOC103531567	NA	0.23169161	
EPSTI1	NA	0.2313107	
LOC115599284	NA	0.2219442	
HSPBAP1	NA	0.22193104	
SERINC4	NA	0.22157218	
NGB	NA	0.21906461	
TRUB2	NA	0.21796823	
LOC103533240	NA	0.21787746	
WNT9B	NA	0.21584234	
TBC1D32	NA	0.2156667	
TMEM171	NA	0.21528652	
LOC115598231	NA	0.21484134	
LOC115598536	NA	0.21473907	
LOC115599935	NA	0.21397959	
OGFR	NA	0.21248788	
TRNAS-AGA_2	NA	0.21234955	
C5H11orf24	NA	0.21208493	
INSYN2B	NA	0.21206146	
LOC103533027	NA	0.2116925	
LOC115599185	NA	0.21154298	
LOC103526089	NA	0.21104193	
LOC115598503	NA	0.21070401	
STOM	NA	0.21035796	
GPR37	NA	0.2103303	
LOC115600449	NA	0.2099457	
LOC115598695	NA	0.20863207	
MAP10	NA	0.2086272	
GJB7	NA	0.2084398	
NUDT2	NA	0.20776261	
ARHGEF28	NA	0.20730227	
TRPM1	NA	0.20623633	
COPG2	NA	0.20532133	
LOC115598801	NA	0.20468806	
LOC115599285	NA	0.20444976	
B3GNT7	NA	0.20434234	
LOC115598338	NA	0.20299827	
PMM2	NA	0.20262736	
IQCK	NA	0.20249738	
LOC115598084	NA	0.20179443	
NEIL2	NA	0.20149003	
LOC115597869	NA	0.19878443	
LOC115599410	NA	0.19855182	
GRIP1	NA	0.19852409	
LOC115598055	NA	0.1979898	
KNOP1	NA	0.19655411	
LOC103529755	NA	0.1964739	
LOC103537172	NA	0.19646105	
PNOC	NA	0.19639395	
LOC115600266	NA	0.1962671	
TENT2	NA	0.19613774	
TRAFD1	NA	0.19549528	
TECPR1	NA	0.1953618	
LOC115599190	NA	0.19499514	
CGA	NA	0.1945072	
CPNE7	NA	0.19406897	
LOC103526136	NA	0.1930535	
LOC103531483	NA	0.19284934	
ALDH1A2	NA	0.19282928	
LOC115599921	NA	0.1927919	
DEPDC7	NA	0.19204201	
TRNAG-UCC	NA	0.19132735	
FBXL8	NA	0.19086225	
BCCIP	NA	0.18992211	
NAT9	NA	0.18984969	
LOC103526578	NA	0.18920206	
CNOT11	NA	0.18856525	
SUV39H2	NA	0.18783292	
CC2D1B	NA	0.18781318	
