NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGF2R	NA	141	0.5215128064155579	0.015211332	No	
row_1	BMF	NA	524	0.41370922327041626	0.009892094	No	
row_2	GCH1	NA	841	0.38398224115371704	0.0074361786	No	
row_3	BCL2L10	NA	867	0.38255321979522705	0.023641996	No	
row_4	DDIT3	NA	986	0.3726031184196472	0.03339913	No	
row_5	F2	NA	1001	0.37122154235839844	0.049785193	No	
row_6	HMOX1	NA	1071	0.3651760220527649	0.06235002	No	
row_7	RHOB	NA	1161	0.357410192489624	0.073266044	No	
row_8	ETF1	NA	1825	0.30123403668403625	0.044624355	No	
row_9	ATF3	NA	2061	0.282753050327301	0.04266741	No	
row_10	GPX1	NA	2206	0.2738593518733978	0.04615292	No	
row_11	CTH	NA	2821	0.23479321599006653	0.017570768	No	
row_12	GPX4	NA	3035	0.22047393023967743	0.0141294915	No	
row_13	IL18	NA	3087	0.2171953171491623	0.020961588	No	
row_14	DNAJA1	NA	3183	0.21090279519557953	0.024668887	No	
row_15	DAP3	NA	3294	0.20438389480113983	0.027107239	No	
row_16	CREBBP	NA	3411	0.19771139323711395	0.028848715	No	
row_17	AIFM3	NA	3481	0.19396568834781647	0.0334406	No	
row_18	PPT1	NA	3490	0.19340834021568298	0.041932393	No	
row_19	TSPO	NA	3516	0.1920916885137558	0.04926878	No	
row_20	SQSTM1	NA	3738	0.1800086796283722	0.043428246	No	
row_21	SAT1	NA	3843	0.17524085938930511	0.04489561	No	
row_22	SOD1	NA	3844	0.17521831393241882	0.053055197	No	
row_23	TGFB2	NA	3862	0.17414191365242004	0.060070563	No	
row_24	CYLD	NA	4231	0.15589134395122528	0.043646254	No	
row_25	CASP7	NA	4593	0.13829495012760162	0.026853021	No	
row_26	SOD2	NA	4725	0.1323574036359787	0.02458571	No	
row_27	ROCK1	NA	4845	0.12754979729652405	0.022866819	No	
row_28	CDKN1B	NA	5021	0.12015760689973831	0.017199619	No	
row_29	PTK2	NA	5364	0.10542424768209457	9.84713E-5	No	
row_30	SLC20A1	NA	5442	0.10190930962562561	-1.1139875E-4	No	
row_31	TNFSF10	NA	5489	0.10011850297451019	0.0015904456	No	
row_32	HGF	NA	5507	0.09939362108707428	0.0051249256	No	
row_33	DNM1L	NA	5807	0.0880001112818718	-0.0100202225	No	
row_34	GPX3	NA	6155	0.07357356697320938	-0.02892639	No	
row_35	BCL10	NA	6339	0.0660579651594162	-0.03762777	No	
row_36	IRF1	NA	6349	0.0657690167427063	-0.03514426	No	
row_37	BTG2	NA	6457	0.060901567339897156	-0.03919453	No	
row_38	XIAP	NA	6796	0.04789581522345543	-0.058717236	No	
row_39	VDAC2	NA	6810	0.0474621057510376	-0.057343677	No	
row_40	NEDD9	NA	6891	0.04426999390125275	-0.060430773	No	
row_41	DIABLO	NA	6995	0.04008613899350166	-0.065192945	No	
row_42	DPYD	NA	7030	0.03861020877957344	-0.065583125	No	
row_43	PSEN1	NA	7048	0.037881094962358475	-0.06491317	No	
row_44	BRCA1	NA	7075	0.03689035028219223	-0.06486858	No	
row_45	DFFA	NA	7183	0.032560478895902634	-0.070238635	No	
row_46	IL6	NA	7207	0.03150244429707527	-0.07025187	No	
row_47	CFLAR	NA	7232	0.03077656589448452	-0.07036326	No	
row_48	AVPR1A	NA	7501	0.02002490498125553	-0.08667878	No	
