NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERRFI1	NA	405	0.4353453516960144	0.005324945	No	
row_1	ACSS2	NA	563	0.40853047370910645	0.024614753	No	
row_2	FASN	NA	675	0.3961499035358429	0.04596269	No	
row_3	GLDC	NA	751	0.3908641040325165	0.06923769	No	
row_4	SCD	NA	937	0.3768198788166046	0.084455125	No	
row_5	GUSB	NA	1650	0.31438153982162476	0.06141775	No	
row_6	NFIL3	NA	1810	0.3026684820652008	0.07297397	No	
row_7	HMGCS1	NA	1955	0.2903415560722351	0.084605746	No	
row_8	MAL2	NA	2046	0.28402984142303467	0.09924428	No	
row_9	ATF3	NA	2061	0.282753050327301	0.11866101	No	
row_10	CHKA	NA	2191	0.27470505237579346	0.13013059	No	
row_11	PCYT2	NA	2475	0.2556675672531128	0.13036445	No	
row_12	PMVK	NA	3810	0.17704710364341736	0.057604093	No	
row_13	ACAT2	NA	3853	0.17477066814899445	0.06746887	No	
row_14	ATXN2	NA	4456	0.14471112191677094	0.039290436	No	
row_15	FADS2	NA	5616	0.09573185443878174	-0.02809821	No	
row_16	TMEM97	NA	6301	0.0676117017865181	-0.06707008	No	
row_17	LGMN	NA	6344	0.06593424081802368	-0.06502444	No	
row_18	AVPR1A	NA	7501	0.02002490498125553	-0.13765986	No	
row_19	TP53INP1	NA	8448	-0.014849926345050335	-0.19721071	No	
row_20	STARD4	NA	8686	-0.024472033604979515	-0.21063904	No	
row_21	ACTG1	NA	8704	-0.025686074048280716	-0.209883	No	
row_22	CPEB2	NA	9079	-0.04287376254796982	-0.23076797	No	
row_23	ALDOC	NA	9218	-0.04841103032231331	-0.23613273	No	
row_24	PNRC1	NA	10184	-0.09398792684078217	-0.29121554	No	
row_25	CTNNB1	NA	10503	-0.1098678782582283	-0.30369908	No	
row_26	HMGCR	NA	10556	-0.11262369900941849	-0.2989399	No	
row_27	MVK	NA	11051	-0.13870176672935486	-0.32062966	No	
row_28	SC5D	NA	11056	-0.1390458047389984	-0.31089652	No	
row_29	S100A11	NA	11299	-0.15328535437583923	-0.31539088	No	
row_30	CD9	NA	11391	-0.158904030919075	-0.30980584	No	
row_31	PPARG	NA	11644	-0.1742914617061615	-0.31343186	No	
row_32	NSDHL	NA	11888	-0.19183562695980072	-0.31522074	No	
row_33	ABCA2	NA	12360	-0.22372370958328247	-0.32932848	No	
row_34	SREBF2	NA	13067	-0.2756383717060089	-0.35476482	No	
row_35	LSS	NA	13457	-0.30819109082221985	-0.35754976	Yes	
row_36	ANXA13	NA	13796	-0.3401227295398712	-0.35477266	Yes	
row_37	LPL	NA	13993	-0.3585857152938843	-0.34157008	Yes	
row_38	FDPS	NA	14074	-0.36639153957366943	-0.32037365	Yes	
row_39	DHCR7	NA	14115	-0.37140941619873047	-0.29625362	Yes	
row_40	LGALS3	NA	14279	-0.3909035921096802	-0.27861464	Yes	
row_41	IDI1	NA	14355	-0.39759552478790283	-0.25485605	Yes	
row_42	JAG1	NA	14554	-0.4113399386405945	-0.23799159	Yes	
row_43	ANTXR2	NA	14712	-0.4313987195491791	-0.21705887	Yes	
row_44	SQLE	NA	14913	-0.46399006247520447	-0.19654003	Yes	
row_45	GPX8	NA	14922	-0.4661625027656555	-0.16356215	Yes	
row_46	PDK3	NA	15041	-0.48724955320358276	-0.13611789	Yes	
row_47	ANXA5	NA	15418	-0.5994826555252075	-0.11714257	Yes	
row_48	HSD17B7	NA	15431	-0.6067160367965698	-0.07432322	Yes	
row_49	ALCAM	NA	15440	-0.611711323261261	-0.030888692	Yes	
row_50	NIBAN1	NA	15459	-0.6217084527015686	0.012623288	Yes	
