NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPING1	NA	301	0.4613032042980194	-0.0019336222	Yes	
row_1	C8G	NA	510	0.4148014187812805	3.5554997E-4	Yes	
row_2	C8A	NA	661	0.3970434367656708	0.0057027596	Yes	
row_3	FGG	NA	679	0.39557990431785583	0.019544471	Yes	
row_4	A2M	NA	691	0.3951249122619629	0.03375471	Yes	
row_5	FGA	NA	701	0.39437708258628845	0.048065282	Yes	
row_6	C9	NA	704	0.39431118965148926	0.062823355	Yes	
row_7	C3	NA	721	0.3927023112773895	0.07662071	Yes	
row_8	SERPINC1	NA	739	0.39153343439102173	0.09030966	Yes	
row_9	F9	NA	758	0.39019715785980225	0.10388386	Yes	
row_10	PLG	NA	759	0.39012598991394043	0.1186125	Yes	
row_11	HRG	NA	764	0.3897842764854431	0.1330711	Yes	
row_12	CPB2	NA	782	0.3885684311389923	0.1466481	Yes	
row_13	TMPRSS6	NA	787	0.38832521438598633	0.16105162	Yes	
row_14	PROZ	NA	801	0.38720637559890747	0.17483433	Yes	
row_15	APOC3	NA	884	0.38146501779556274	0.1839647	Yes	
row_16	F10	NA	952	0.37565451860427856	0.19383997	Yes	
row_17	MASP2	NA	977	0.3731299340724945	0.20638412	Yes	
row_18	F2	NA	1001	0.37122154235839844	0.21892053	Yes	
row_19	GP1BA	NA	1010	0.37021639943122864	0.23238322	Yes	
row_20	C1S	NA	1022	0.3693333566188812	0.24561974	Yes	
row_21	MST1	NA	1053	0.36660584807395935	0.25753188	Yes	
row_22	CPN1	NA	1057	0.3661992847919464	0.27116436	Yes	
row_23	C8B	NA	1072	0.36517390608787537	0.284051	Yes	
row_24	APOA1	NA	1075	0.36505094170570374	0.29770437	Yes	
row_25	MAFF	NA	1097	0.3626745641231537	0.31004667	Yes	
row_26	CFI	NA	1193	0.35532382130622864	0.3173544	Yes	
row_27	THBD	NA	1302	0.3460097908973694	0.32347485	Yes	
row_28	CFH	NA	1354	0.3408338129520416	0.33306405	Yes	
row_29	C1R	NA	1356	0.34076476097106934	0.34586486	Yes	
row_30	CPQ	NA	1469	0.3308917284011841	0.3511574	Yes	
row_31	LTA4H	NA	1527	0.3258349895477295	0.35979462	Yes	
row_32	CTSB	NA	1529	0.32552915811538696	0.3720202	Yes	
row_33	BMP1	NA	1564	0.3219810426235199	0.3819905	Yes	
row_34	FURIN	NA	1861	0.29849427938461304	0.37423167	No	
row_35	PEF1	NA	2198	0.2742050290107727	0.3629845	No	
row_36	GDA	NA	2409	0.25963330268859863	0.35928696	No	
row_37	HTRA1	NA	2412	0.25911715626716614	0.36894098	No	
row_38	FN1	NA	2569	0.2500835061073303	0.36835423	No	
row_39	LRP1	NA	2966	0.22527529299259186	0.35140276	No	
row_40	PROS1	NA	3237	0.20735566318035126	0.3418745	No	
row_41	LAMP2	NA	3308	0.20377647876739502	0.34506792	No	
row_42	P2RY1	NA	3449	0.19559133052825928	0.34345242	No	
row_43	COMP	NA	3515	0.19225095212459564	0.34653214	No	
row_44	ACOX2	NA	3761	0.1789393573999405	0.33753818	No	
row_45	ARF4	NA	3818	0.1768408566713333	0.34061465	No	
row_46	MMP9	NA	3940	0.1699751913547516	0.33925346	No	
row_47	PREP	NA	4762	0.13079386949539185	0.29141432	No	
row_48	C1QA	NA	4895	0.12525483965873718	0.28765768	No	
row_49	HMGCS2	NA	5124	0.11580424755811691	0.27737296	No	
row_50	LGMN	NA	6344	0.06593424081802368	0.20150016	No	
row_51	PECAM1	NA	6628	0.05480670556426048	0.18537697	No	
row_52	MSRB2	NA	6726	0.050690025091171265	0.18105517	No	
row_53	VWF	NA	6916	0.04331962391734123	0.17054099	No	
row_54	F8	NA	6966	0.041334301233291626	0.16895159	No	
row_55	SH2B2	NA	7135	0.03450244665145874	0.15945448	No	
row_56	PRSS23	NA	7744	0.010735364630818367	0.120775186	No	
row_57	ITGB3	NA	8129	-5.012332694604993E-4	0.0961091	No	
row_58	ISCU	NA	8432	-0.014118793420493603	0.077228405	No	
row_59	KLF7	NA	8444	-0.014676929451525211	0.077075385	No	
row_60	RABIF	NA	8565	-0.01977674849331379	0.07010796	No	
row_61	MMP7	NA	8589	-0.02049323543906212	0.06940313	No	
row_62	ADAM9	NA	8735	-0.02744242548942566	0.06111801	No	
row_63	CAPN5	NA	8856	-0.03301027789711952	0.054650202	No	
row_64	MEP1A	NA	9054	-0.04172816127538681	0.043561663	No	
row_65	CTSK	NA	9194	-0.04743841290473938	0.03641717	No	
row_66	ITGA2	NA	9296	-0.05222989246249199	0.03189636	No	
row_67	MMP15	NA	9305	-0.05250682681798935	0.033364408	No	
row_68	CTSO	NA	9541	-0.06340134888887405	0.020651322	No	
row_69	S100A1	NA	9632	-0.06782487779855728	0.017426401	No	
row_70	SPARC	NA	9674	-0.06964582949876785	0.017420137	No	
row_71	DUSP6	NA	9946	-0.08318481594324112	0.0031397277	No	
row_72	HNF4A	NA	10293	-0.09890434890985489	-0.015368506	No	
row_73	TIMP3	NA	10416	-0.104898601770401	-0.019250846	No	
row_74	DPP4	NA	10638	-0.11609610170125961	-0.029074546	No	
row_75	CTSH	NA	10694	-0.11889181286096573	-0.028121574	No	
row_76	WDR1	NA	10935	-0.1322813183069229	-0.03855562	No	
row_77	PLEK	NA	11014	-0.13616414368152618	-0.03842908	No	
row_78	CD9	NA	11391	-0.158904030919075	-0.056600634	No	
row_79	GNG12	NA	11554	-0.1688513606786728	-0.060639888	No	
row_80	RAC1	NA	12035	-0.20186160504817963	-0.08387516	No	
row_81	CASP9	NA	12609	-0.23997165262699127	-0.11165004	No	
row_82	PLAU	NA	12631	-0.24149733781814575	-0.103882626	No	
row_83	FYN	NA	12752	-0.251015305519104	-0.10211998	No	
row_84	GSN	NA	12755	-0.25147244334220886	-0.09275457	No	
row_85	CSRP1	NA	13124	-0.2797773778438568	-0.10584846	No	
row_86	DUSP14	NA	13170	-0.2835350036621094	-0.09803679	No	
row_87	MMP2	NA	13432	-0.30554530024528503	-0.103279464	No	
row_88	PLAT	NA	13828	-0.34294044971466064	-0.115724385	No	
row_89	PDGFB	NA	14274	-0.39052480459213257	-0.12958702	No	
row_90	CRIP2	NA	14371	-0.39828288555145264	-0.12072169	No	
row_91	FBN1	NA	14730	-0.43435341119766235	-0.12733695	No	
row_92	F3	NA	14831	-0.44866886734962463	-0.1168265	No	
row_93	TFPI2	NA	14894	-0.4592043161392212	-0.10347551	No	
row_94	THBS1	NA	14957	-0.47157832980155945	-0.08965737	No	
row_95	CTSE	NA	14980	-0.4749256670475006	-0.07314149	No	
row_96	MMP11	NA	14997	-0.47687098383903503	-0.05616647	No	
row_97	DCT	NA	15149	-0.5136956572532654	-0.046479512	No	
row_98	S100A13	NA	15164	-0.5164217352867126	-0.027882742	No	
row_99	ANXA1	NA	15375	-0.5828485488891602	-0.019377764	No	
row_100	F2RL2	NA	15649	-0.9900273084640503	4.4976198E-4	No	
