NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSD	NA	156	0.5124045610427856	0.0075465227	Yes	
row_1	SERPING1	NA	301	0.4613032042980194	0.014111198	Yes	
row_2	CEBPB	NA	468	0.42280736565589905	0.017936101	Yes	
row_3	PHEX	NA	587	0.40421196818351746	0.02421532	Yes	
row_4	C9	NA	704	0.39431118965148926	0.03028337	Yes	
row_5	C3	NA	721	0.3927023112773895	0.042739876	Yes	
row_6	DYRK2	NA	727	0.3922165632247925	0.055888508	Yes	
row_7	SERPINC1	NA	739	0.39153343439102173	0.06862705	Yes	
row_8	PLG	NA	759	0.39012598991394043	0.08080176	Yes	
row_9	TMPRSS6	NA	787	0.38832521438598633	0.09239913	Yes	
row_10	ME1	NA	814	0.3863809108734131	0.103994146	Yes	
row_11	F7	NA	846	0.3835887014865875	0.11517109	Yes	
row_12	F10	NA	952	0.37565451860427856	0.12130717	Yes	
row_13	VCPIP1	NA	995	0.3719572126865387	0.13137582	Yes	
row_14	CDK5R1	NA	1000	0.3712473213672638	0.14386868	Yes	
row_15	F2	NA	1001	0.37122154235839844	0.15661842	Yes	
row_16	GP1BA	NA	1010	0.37021639943122864	0.16881815	Yes	
row_17	C1S	NA	1022	0.3693333566188812	0.18079421	Yes	
row_18	MAFF	NA	1097	0.3626745641231537	0.18848205	Yes	
row_19	APOA4	NA	1142	0.358559250831604	0.19796166	Yes	
row_20	CFH	NA	1354	0.3408338129520416	0.19607149	Yes	
row_21	C1R	NA	1356	0.34076476097106934	0.20771073	Yes	
row_22	F5	NA	1422	0.3351646661758423	0.21503367	Yes	
row_23	CPQ	NA	1469	0.3308917284011841	0.22343415	Yes	
row_24	LTA4H	NA	1527	0.3258349895477295	0.23095216	Yes	
row_25	CTSB	NA	1529	0.32552915811538696	0.24206813	Yes	
row_26	GZMA	NA	1783	0.30486002564430237	0.23623607	Yes	
row_27	IRF7	NA	2087	0.28125816583633423	0.22637151	Yes	
row_28	CP	NA	2390	0.2605520784854889	0.21586026	Yes	
row_29	C1QC	NA	2484	0.2551872730255127	0.2186321	Yes	
row_30	FN1	NA	2569	0.2500835061073303	0.22180858	Yes	
row_31	LIPA	NA	2710	0.24111242592334747	0.22106847	Yes	
