NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DKK1	NA	1	1.0296297073364258	0.024221288	No	
row_1	SDC4	NA	120	0.5367252230644226	0.02926319	No	
row_2	CADM1	NA	1158	0.3577326238155365	-0.0292454	No	
row_3	RHOB	NA	1161	0.357410192489624	-0.020944294	No	
row_4	FZD8	NA	1349	0.3413461446762085	-0.024965279	No	
row_5	TNC	NA	1411	0.336070716381073	-0.020976413	No	
row_6	PLOD2	NA	1495	0.3283422291278839	-0.018590111	No	
row_7	BMP1	NA	1564	0.3219810426235199	-0.015385483	No	
row_8	ADAM12	NA	1769	0.3061142563819885	-0.021334963	No	
row_9	P3H1	NA	2075	0.2822403013706207	-0.034367893	No	
row_10	COL11A1	NA	2153	0.27714240550994873	-0.032801893	No	
row_11	HTRA1	NA	2412	0.25911715626716614	-0.04334601	No	
row_12	DAB2	NA	2427	0.25792574882507324	-0.038166136	No	
row_13	IGFBP4	NA	2524	0.25267553329467773	-0.03840383	No	
row_14	FUCA1	NA	2526	0.25258761644363403	-0.032510612	No	
row_15	FN1	NA	2569	0.2500835061073303	-0.029323326	No	
row_16	LRP1	NA	2966	0.22527529299259186	-0.049574647	No	
row_17	COPA	NA	3048	0.2198018580675125	-0.04961937	No	
row_18	COMP	NA	3515	0.19225095212459564	-0.07516868	No	
row_19	SGCD	NA	3569	0.1892046481370926	-0.07412747	No	
row_20	SAT1	NA	3843	0.17524085938930511	-0.08761835	No	
row_21	TPM1	NA	4084	0.1632063239812851	-0.09926268	No	
row_22	CXCL12	NA	4296	0.15246731042861938	-0.109288126	No	
row_23	AREG	NA	4300	0.15236975252628326	-0.10588785	No	
row_24	SLC6A8	NA	4486	0.14317364990711212	-0.114454016	No	
row_25	ITGB5	NA	5043	0.11905078589916229	-0.14754009	No	
row_26	SFRP1	NA	5057	0.11847786605358124	-0.1455848	No	
row_27	COL8A2	NA	5192	0.1127672791481018	-0.15157571	No	
row_28	MEST	NA	5218	0.11192290484905243	-0.15054974	No	
row_29	PFN2	NA	5429	0.10227785259485245	-0.16169445	No	
row_30	LOX	NA	5501	0.0995342880487442	-0.16393034	No	
