NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAD23B	NA	397	0.4378383755683899	-0.01032271	No	
row_1	ODF2	NA	428	0.43139752745628357	0.0028281366	No	
row_2	HUS1	NA	472	0.42230483889579773	0.014821499	No	
row_3	CASP8AP2	NA	480	0.42023518681526184	0.029067157	No	
row_4	NUP50	NA	1225	0.35216662287712097	-0.006659248	No	
row_5	SRSF10	NA	1241	0.3511256277561188	0.004652714	No	
row_6	UPF1	NA	1524	0.32597360014915466	-0.0021563915	No	
row_7	TLE3	NA	1539	0.32441475987434387	0.008285936	No	
row_8	XPO1	NA	1610	0.318353533744812	0.014900103	No	
row_9	BUB3	NA	1665	0.3127838969230652	0.022352664	No	
row_10	KIF5B	NA	1947	0.2908977270126343	0.014381358	No	
row_11	EGF	NA	2435	0.2574642300605774	-0.008061618	No	
row_12	TPX2	NA	2920	0.22849613428115845	-0.031324025	No	
row_13	WRN	NA	2993	0.22325028479099274	-0.028165232	No	
row_14	HMGB3	NA	3050	0.21967440843582153	-0.024098314	No	
row_15	DBF4	NA	3063	0.21898257732391357	-0.017214317	No	
row_16	CHAF1A	NA	3162	0.21189984679222107	-0.016131438	No	
row_17	CUL4A	NA	3216	0.20834781229496002	-0.012266944	No	
row_18	RAD21	NA	3389	0.19905707240104675	-0.016411752	No	
row_19	CCNB2	NA	3428	0.19687941670417786	-0.011979745	No	
row_20	CUL3	NA	3437	0.19650961458683014	-0.0056234384	No	
row_21	TOP1	NA	3500	0.19315172731876373	-0.0028715946	No	
row_22	KMT5A	NA	3588	0.18823252618312836	-0.0019061605	No	
row_23	CKS1B	NA	3608	0.18713803589344025	0.0034120565	No	
row_24	CDKN3	NA	3688	0.1830219030380249	0.0047118454	No	
row_25	BRCA2	NA	3718	0.18145032227039337	0.009185391	No	
row_26	CUL5	NA	3856	0.17457501590251923	0.0064444323	No	
row_27	DMD	NA	3984	0.1679658442735672	0.004118063	No	
row_28	KIF20B	NA	4019	0.16643822193145752	0.00774369	No	
row_29	LBR	NA	4101	0.16232210397720337	0.008190356	No	
row_30	GSPT1	NA	4111	0.162082701921463	0.01327801	No	
row_31	PAFAH1B1	NA	4345	0.15018218755722046	0.0034847683	No	
row_32	BARD1	NA	4357	0.1495952606201172	0.008006527	No	
row_33	PDS5B	NA	4420	0.14643804728984833	0.009124565	No	
row_34	YTHDC1	NA	4443	0.1453995257616043	0.01278926	No	
row_35	SMAD3	NA	4451	0.1450401246547699	0.017409999	No	
row_36	TENT4A	NA	4567	0.13971932232379913	0.014870605	No	
row_37	CCNT1	NA	4967	0.12209496647119522	-0.006624343	No	
row_38	NEK2	NA	4970	0.1218932718038559	-0.0024902883	No	
row_39	CDKN1B	NA	5021	0.12015760689973831	-0.0015165122	No	
row_40	DR1	NA	5022	0.12010391056537628	0.0026841084	No	
row_41	SMC4	NA	5127	0.1155402734875679	9.373602E-6	No	
row_42	PTTG1	NA	5178	0.11334191262722015	7.4477156E-4	No	
row_43	E2F3	NA	5191	0.11281362920999527	0.0039155222	No	
row_44	PBK	NA	5563	0.09742145985364914	-0.016634295	No	
row_45	NDC80	NA	5631	0.0950101688504219	-0.017637813	No	
row_46	BIRC5	NA	5821	0.08697701245546341	-0.026800374	No	
row_47	CUL1	NA	5831	0.08664803206920624	-0.024351038	No	
row_48	MAP3K20	NA	5850	0.08614670485258102	-0.022500407	No	
row_49	HSPA8	NA	5874	0.08506053686141968	-0.021010637	No	
row_50	CENPE	NA	5972	0.08102882653474808	-0.024440384	No	
row_51	E2F4	NA	6047	0.07774627208709717	-0.026499726	No	
row_52	RBL1	NA	6076	0.0768839567899704	-0.025618803	No	
row_53	LIG3	NA	6097	0.0756133645772934	-0.024265723	No	
row_54	MAPK14	NA	6103	0.07539413124322891	-0.021951694	No	
row_55	CENPF	NA	6197	0.07174825668334961	-0.025447732	No	
row_56	CHMP1A	NA	6377	0.06479782611131668	-0.03474026	No	
row_57	AURKA	NA	6421	0.06256154179573059	-0.03532888	No	
row_58	ORC5	NA	6630	0.05474771559238434	-0.04684557	No	
row_59	FOXN3	NA	6656	0.05353676155209541	-0.04658749	No	
row_60	SYNCRIP	NA	6659	0.05338906869292259	-0.044849362	No	
row_61	TMPO	NA	6727	0.05067545175552368	-0.04740348	No	
