NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TLE1	NA	297	0.46268230676651	0.043510146	No	
row_1	PLG	NA	759	0.39012598991394043	0.06671954	No	
row_2	CDK5R1	NA	1000	0.3712473213672638	0.101522885	No	
row_3	TLE3	NA	1539	0.32441475987434387	0.11092482	No	
row_4	NF1	NA	2876	0.23149940371513367	0.05669641	No	
row_5	VLDLR	NA	3672	0.1836414635181427	0.030627476	No	
row_6	CELSR1	NA	3915	0.17107807099819183	0.038255196	No	
row_7	HEY1	NA	4432	0.145952507853508	0.024950732	No	
row_8	PTCH1	NA	4601	0.1381130963563919	0.032860402	No	
row_9	SHH	NA	6096	0.07570750266313553	-0.05253184	No	
row_10	VEGFA	NA	6265	0.0691853016614914	-0.05393595	No	
row_11	PML	NA	7063	0.03708042949438095	-0.09993677	No	
row_12	AMOT	NA	7205	0.031591061502695084	-0.10469264	No	
row_13	RASA1	NA	8681	-0.02434195764362812	-0.19580951	No	
row_14	NRP2	NA	9587	-0.0655999630689621	-0.2448691	No	
row_15	MYH9	NA	9722	-0.07210088521242142	-0.24370311	No	
row_16	GLI1	NA	9729	-0.07262216508388519	-0.23427415	No	
row_17	RTN1	NA	9845	-0.07817983627319336	-0.23107067	No	
row_18	UNC5C	NA	9891	-0.08056791871786118	-0.22306421	No	
row_19	ETS2	NA	10006	-0.08551891893148422	-0.21880504	No	
row_20	CDK6	NA	10795	-0.1248185783624649	-0.25237432	No	
row_21	NRP1	NA	11632	-0.17344963550567627	-0.2824446	No	
row_22	HEY2	NA	11698	-0.17828725278377533	-0.262514	No	
row_23	SCG2	NA	11984	-0.19793446362018585	-0.25400954	No	
row_24	NKX6-1	NA	13323	-0.2970463037490845	-0.299509	Yes	
row_25	DPYSL2	NA	13373	-0.30114179849624634	-0.2619538	Yes	
row_26	OPHN1	NA	13566	-0.3185194432735443	-0.23120303	Yes	
row_27	CRMP1	NA	13601	-0.3219519555568695	-0.18987583	Yes	
row_28	LDB1	NA	13846	-0.34470683336257935	-0.15891474	Yes	
row_29	SLIT1	NA	14212	-0.38425716757774353	-0.13035397	Yes	
row_30	CNTFR	NA	14663	-0.4255301356315613	-0.101656586	Yes	
row_31	NRCAM	NA	15111	-0.5037869215011597	-0.06219284	Yes	
row_32	THY1	NA	15560	-0.7179425954818726	0.0061444165	Yes	
