NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASNS	NA	70	0.5879133939743042	0.015905699	Yes	
row_1	DCAF10	NA	261	0.47437065839767456	0.020130426	Yes	
row_2	NNT	NA	360	0.4479731619358063	0.029370364	Yes	
row_3	FBXO7	NA	441	0.4293358623981476	0.039123613	Yes	
row_4	ATP6V0A1	NA	494	0.41714373230934143	0.050258815	Yes	
row_5	SIDT2	NA	567	0.4075395166873932	0.05977087	Yes	
row_6	C3	NA	721	0.3927023112773895	0.06354483	Yes	
row_7	ELL2	NA	818	0.386286199092865	0.07077124	Yes	
row_8	GDE1	NA	887	0.38100239634513855	0.07961953	Yes	
row_9	CLCN3	NA	918	0.37832728028297424	0.0908251	Yes	
row_10	BTRC	NA	996	0.3716343343257904	0.09876772	Yes	
row_11	MGST3	NA	1086	0.36410489678382874	0.10567509	Yes	
row_12	MINPP1	NA	1128	0.36015045642852783	0.11554008	Yes	
row_13	SLC6A9	NA	1205	0.3541688919067383	0.12294057	Yes	
row_14	LPIN2	NA	1278	0.34761691093444824	0.13037142	Yes	
row_15	KLF3	NA	1528	0.3255852460861206	0.12562433	Yes	
row_16	CTSB	NA	1529	0.32552915811538696	0.1369305	Yes	
row_17	KAT2B	NA	1662	0.31305524706840515	0.13929224	Yes	
row_18	GMPS	NA	1691	0.3113864064216614	0.14830181	Yes	
row_19	MARCHF8	NA	1814	0.30246031284332275	0.15094036	Yes	
row_20	SELENBP1	NA	1824	0.3012981712818146	0.16082463	Yes	
row_21	CAT	NA	1892	0.295480340719223	0.16676708	Yes	
row_22	SEC14L1	NA	2129	0.27859750390052795	0.16122626	Yes	
row_23	TMCC2	NA	2163	0.27647483348846436	0.16870089	Yes	
row_24	SLC30A1	NA	2167	0.27635666728019714	0.17810579	Yes	
row_25	FN3K	NA	2233	0.27156510949134827	0.18334657	Yes	
row_26	MARK3	NA	2446	0.2569372355937958	0.17860094	Yes	
row_27	ALDH6A1	NA	2572	0.2497541606426239	0.17921548	Yes	
row_28	AGPAT4	NA	2580	0.24933110177516937	0.18742381	Yes	
