NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAM126B	NA	71	0.5861167311668396	0.01143919	No	
row_1	LRIG1	NA	73	0.5850934386253357	0.027368579	No	
row_2	IGF2R	NA	141	0.5215128064155579	0.037299957	No	
row_3	CD86	NA	205	0.48946163058280945	0.046613377	No	
row_4	SNX14	NA	340	0.45337894558906555	0.050357737	No	
row_5	COCH	NA	621	0.40118566155433655	0.043251745	No	
row_6	IL10	NA	728	0.39212363958358765	0.047128916	No	
row_7	SERPINC1	NA	739	0.39153343439102173	0.0571863	No	
row_8	FAH	NA	794	0.38771942257881165	0.064299434	No	
row_9	AHCY	NA	972	0.37372052669525146	0.06309083	No	
row_10	MAFF	NA	1097	0.3626745641231537	0.065001175	No	
row_11	RHOB	NA	1161	0.357410192489624	0.07070488	No	
row_12	GABARAPL1	NA	1410	0.33608880639076233	0.06388486	No	
row_13	CDKN1C	NA	1473	0.3307831883430481	0.06892525	No	
row_14	CISH	NA	1543	0.32411932945251465	0.07333165	No	
row_15	CTSZ	NA	1642	0.3152432441711426	0.0756236	No	
row_16	NFIL3	NA	1810	0.3026684820652008	0.07311819	No	
row_17	SMPDL3A	NA	1860	0.29863494634628296	0.07811886	No	
row_18	FURIN	NA	1861	0.29849427938461304	0.08627841	No	
row_19	GPR83	NA	1946	0.290922611951828	0.08880918	No	
row_20	EOMES	NA	1972	0.289358526468277	0.09510536	No	
row_21	CD81	NA	2014	0.2863733470439911	0.100287214	No	
row_22	SNX9	NA	2030	0.2851387858390808	0.1071135	No	
row_23	RORA	NA	2078	0.28215137124061584	0.111792676	No	
row_24	BHLHE40	NA	2085	0.28139686584472656	0.11909758	No	
row_25	PTH1R	NA	2350	0.263149619102478	0.10925101	No	
row_26	RHOH	NA	2403	0.25977903604507446	0.11299589	No	
row_27	HIPK2	NA	2533	0.2520618438720703	0.11155983	No	
row_28	SYNGR2	NA	2559	0.2504236400127411	0.1167917	No	
row_29	PLIN2	NA	2725	0.24026165902614594	0.112709455	No	
row_30	AMACR	NA	2779	0.2372332364320755	0.115773484	No	
row_31	PUS1	NA	2844	0.23345209658145905	0.11802416	No	
row_32	DHRS3	NA	2872	0.23160074651241302	0.12261241	No	
row_33	CD83	NA	2996	0.22293032705783844	0.120767295	No	
row_34	GPX4	NA	3035	0.22047393023967743	0.124341376	No	
row_35	RRAGD	NA	3213	0.20844973623752594	0.11861498	No	
row_36	IL1RL1	NA	3233	0.20755138993263245	0.12306218	No	
row_37	ENPP1	NA	3292	0.20469428598880768	0.12491401	No	
row_38	BMPR2	NA	3462	0.19494381546974182	0.11933479	No	
row_39	ARL4A	NA	3524	0.19167029857635498	0.12063696	No	
row_40	EEF1AKMT1	NA	3548	0.19042342901229858	0.12435778	No	
row_41	AHR	NA	3762	0.17885947227478027	0.11549888	No	
row_42	NCOA3	NA	3798	0.17736490070819855	0.118088186	No	
row_43	TNFRSF21	NA	3894	0.17230404913425446	0.116666436	No	
row_44	LCLAT1	NA	3917	0.17099513113498688	0.11992071	No	
row_45	TTC39B	NA	4275	0.15342803299427032	0.10107211	No	
row_46	PHTF2	NA	4398	0.14739714562892914	0.09722678	No	
row_47	TNFRSF8	NA	4504	0.14242802560329437	0.0943429	No	
row_48	CAPN3	NA	4554	0.1401359587907791	0.09501089	No	
row_49	PTCH1	NA	4601	0.1381130963563919	0.09581723	No	
row_50	RNH1	NA	4631	0.1363506019115448	0.09767265	No	
row_51	XBP1	NA	4671	0.13468055427074432	0.09883697	No	
row_52	UMPS	NA	4829	0.12822696566581726	0.092208534	No	
row_53	PLPP1	NA	4936	0.1236194372177124	0.08874596	No	
row_54	TLR7	NA	4947	0.12306080758571625	0.09146446	No	
row_55	IRF4	NA	5069	0.1180945485830307	0.08688267	No	
row_56	TNFRSF4	NA	5279	0.10936550050973892	0.076382294	No	
row_57	TNFSF10	NA	5489	0.10011850297451019	0.06562914	No	
row_58	DENND5A	NA	5634	0.09484556317329407	0.058927286	No	
row_59	ITGA6	NA	6243	0.06987005472183228	0.0215937	No	
row_60	CD79B	NA	6283	0.0682452991604805	0.020941967	No	
row_61	IL4R	NA	6375	0.06484480202198029	0.016840924	No	
row_62	IRF8	NA	6534	0.05765026435256004	0.008218679	No	
row_63	P4HA1	NA	6801	0.047658585011959076	-0.007647586	No	
row_64	GPR65	NA	6835	0.0465591698884964	-0.008504854	No	
row_65	MAPKAPK2	NA	7138	0.03448627144098282	-0.027054822	No	
row_66	CDC42SE2	NA	7157	0.03359108045697212	-0.027298402	No	
row_67	CYFIP1	NA	7527	0.019171573221683502	-0.050591543	No	
row_68	IL2RA	NA	7754	0.010422063060104847	-0.06489388	No	
row_69	CCR4	NA	7863	0.005705554038286209	-0.071708806	No	
row_70	SPRED2	NA	7960	0.0018824647413566709	-0.077853695	No	
row_71	MXD1	NA	7975	0.001158318598754704	-0.078725666	No	
row_72	MYO1C	NA	8002	1.7018608923535794E-4	-0.08039919	No	
row_73	CASP3	NA	8147	-0.0012613002909347415	-0.08965924	No	
row_74	TNFSF11	NA	8193	-0.003376059466972947	-0.09247149	No	
row_75	PTRH2	NA	8211	-0.003629883751273155	-0.09346953	No	
row_76	PRNP	NA	8460	-0.015396671369671822	-0.109055884	No	
row_77	PNP	NA	8532	-0.018315499648451805	-0.11313793	No	
row_78	PRKCH	NA	8671	-0.023933259770274162	-0.121390946	No	
row_79	CST7	NA	8764	-0.028766518458724022	-0.12654276	No	
row_80	GALM	NA	8892	-0.03473248332738876	-0.13379057	No	
row_81	MYO1E	NA	8924	-0.03614884614944458	-0.13480332	No	
row_82	ETFBKMT	NA	9007	-0.03944321349263191	-0.13901784	No	
row_83	MAP3K8	NA	9103	-0.04392574727535248	-0.14394888	No	
row_84	P2RX4	NA	9485	-0.060858722776174545	-0.16687703	No	
row_85	S100A1	NA	9632	-0.06782487779855728	-0.1744466	No	
row_86	PENK	NA	9651	-0.06868164241313934	-0.17373095	No	
row_87	DCPS	NA	9694	-0.07089829444885254	-0.1745038	No	
row_88	GUCY1B1	NA	9867	-0.07947443425655365	-0.1834331	No	
row_89	CD44	NA	9984	-0.08456453680992126	-0.18860872	No	
