NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT3	NA	30	0.6709488034248352	0.05395071	Yes	
row_1	STAT2	NA	499	0.41586095094680786	0.058581855	Yes	
row_2	PTPN1	NA	580	0.40534162521362305	0.08720879	Yes	
row_3	A2M	NA	691	0.3951249122619629	0.113061845	Yes	
row_4	CBL	NA	761	0.3899393677711487	0.14111127	Yes	
row_5	LEPR	NA	852	0.3832913637161255	0.16726093	Yes	
row_6	INHBE	NA	880	0.38171911239624023	0.19731812	Yes	
row_7	IL6ST	NA	946	0.3761659860610962	0.22447696	Yes	
row_8	STAT1	NA	1035	0.3675198554992676	0.24944144	Yes	
row_9	HMOX1	NA	1071	0.3651760220527649	0.2776082	Yes	
row_10	OSMR	NA	1138	0.3588923215866089	0.30326444	Yes	
row_11	DNTT	NA	1397	0.3373163640499115	0.31481627	Yes	
row_12	CSF2RB	NA	1563	0.3222830593585968	0.33107772	Yes	
row_13	IL12RB1	NA	2133	0.27837634086608887	0.31778535	Yes	
row_14	PTPN11	NA	2385	0.26074138283729553	0.32340908	Yes	
row_15	STAM2	NA	2462	0.25617852807044983	0.33987075	Yes	
row_16	IL13RA1	NA	2534	0.25198692083358765	0.35630387	Yes	
row_17	IFNAR1	NA	2839	0.23380497097969055	0.35628697	Yes	
row_18	GRB2	NA	2955	0.22609110176563263	0.3677431	Yes	
row_19	ACVR1B	NA	2990	0.22353334724903107	0.38417852	Yes	
row_20	ITGA4	NA	3726	0.18084797263145447	0.3521234	No	
row_21	TNFRSF21	NA	3894	0.17230404913425446	0.355767	No	
row_22	HAX1	NA	4090	0.162906676530838	0.3568332	No	
row_23	IFNGR2	NA	4326	0.15131334960460663	0.35436985	No	
row_24	TLR2	NA	4400	0.14726810157299042	0.3619542	No	
row_25	MYD88	NA	4745	0.13153861463069916	0.35085693	No	
row_26	IL7	NA	4822	0.12851987779140472	0.35668772	No	
row_27	PTPN2	NA	5131	0.11537917703390121	0.34655243	No	
row_28	IRF1	NA	6349	0.0657690167427063	0.27401656	No	
row_29	IL4R	NA	6375	0.06484480202198029	0.277814	No	
row_30	ACVRL1	NA	7051	0.03774002939462662	0.2376876	No	
row_31	IL6	NA	7207	0.03150244429707527	0.2303751	No	
row_32	JUN	NA	7735	0.010971595533192158	0.19750673	No	
row_33	IL2RA	NA	7754	0.010422063060104847	0.19722077	No	
row_34	ITGB3	NA	8129	-5.012332694604993E-4	0.17328817	No	
row_35	IL17RA	NA	8299	-0.007352164015173912	0.16306709	No	
row_36	CD36	NA	8530	-0.018298320472240448	0.1498473	No	
row_37	IL2RG	NA	8576	-0.020070794969797134	0.1486341	No	
row_38	MAP3K8	NA	9103	-0.04392574727535248	0.118574105	No	
row_39	CD38	NA	9417	-0.05718592181801796	0.1032722	No	
row_40	SOCS3	NA	9544	-0.06351426243782043	0.10048448	No	
row_41	TNFRSF1A	NA	9971	-0.08430168777704239	0.08019708	No	
row_42	CD44	NA	9984	-0.08456453680992126	0.08647002	No	
row_43	CSF1	NA	10550	-0.1123255044221878	0.05960607	No	
row_44	IL15RA	NA	10742	-0.12205208837985992	0.057526466	No	
row_45	IFNGR1	NA	11111	-0.14206106960773468	0.045766972	No	
row_46	PIK3R5	NA	11259	-0.1504364013671875	0.048871603	No	
row_47	CD9	NA	11391	-0.158904030919075	0.053707026	No	
row_48	FAS	NA	11805	-0.1860802173614502	0.04272864	No	
row_49	SOCS1	NA	11908	-0.19310320913791656	0.052271	No	
row_50	CSF3R	NA	11940	-0.19523508846759796	0.06654218	No	
row_51	IL10RB	NA	12069	-0.20340408384799957	0.07527568	No	
row_52	IL18R1	NA	13066	-0.27558302879333496	0.034378923	No	
row_53	BAK1	NA	13159	-0.2829318940639496	0.052042864	No	
row_54	PIM1	NA	13888	-0.34740445017814636	0.034306575	No	
row_55	CNTFR	NA	14663	-0.4255301356315613	0.020127548	No	
row_56	PDGFC	NA	15187	-0.5219070315361023	0.030064125	No	
