NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	USP18	NA	354	0.45042717456817627	0.018922307	Yes	
row_1	CMTR1	NA	371	0.44579192996025085	0.05907342	Yes	
row_2	EPSTI1	NA	391	0.43984147906303406	0.09848269	Yes	
row_3	STAT2	NA	499	0.41586095094680786	0.13003846	Yes	
row_4	CD74	NA	534	0.41262125968933105	0.16597238	Yes	
row_5	OGFR	NA	799	0.3873550593852997	0.18483557	Yes	
row_6	C1S	NA	1022	0.3693333566188812	0.20472527	Yes	
row_7	NCOA7	NA	1413	0.33591002225875854	0.21076335	Yes	
row_8	CMPK2	NA	1424	0.33489754796028137	0.24105597	Yes	
row_9	UBE2L6	NA	1632	0.3161771893501282	0.2569969	Yes	
row_10	PARP12	NA	1819	0.30220168828964233	0.27299252	Yes	
row_11	MOV10	NA	1973	0.2893538773059845	0.28991586	Yes	
row_12	IRF7	NA	2087	0.28125816583633423	0.3086544	Yes	
row_13	WARS1	NA	2259	0.2699831426143646	0.3226352	Yes	
row_14	IFI35	NA	2593	0.24856425821781158	0.32425767	Yes	
row_15	TENT5A	NA	2723	0.24039649963378906	0.33819675	Yes	
row_16	NUB1	NA	2724	0.24033665657043457	0.36039585	Yes	
row_17	PNPT1	NA	2826	0.2346389889717102	0.3755972	Yes	
row_18	NMI	NA	4474	0.14352107048034668	0.28332418	No	
row_19	CD47	NA	4768	0.13051244616508484	0.27660555	No	
row_20	IL7	NA	4822	0.12851987779140472	0.28508058	No	
row_21	DHX58	NA	5495	0.09992652386426926	0.25125286	No	
row_22	TDRD7	NA	5672	0.0934743583202362	0.24860977	No	
row_23	ADAR	NA	5678	0.09334376454353333	0.25691125	No	
row_24	EIF2AK2	NA	5853	0.0859980434179306	0.25370577	No	
row_25	IRF1	NA	6349	0.0657690167427063	0.22806408	No	
row_26	IL4R	NA	6375	0.06484480202198029	0.23245174	No	
row_27	GMPR	NA	6778	0.048803314566612244	0.21120186	No	
row_28	RSAD2	NA	6973	0.041132066398859024	0.20257077	No	
row_29	TRAFD1	NA	7291	0.02851867862045765	0.18489353	No	
row_30	PSMA3	NA	7388	0.023578260093927383	0.1809203	No	
row_31	PARP9	NA	8597	-0.02076689712703228	0.1054373	No	
row_32	SLC25A28	NA	8788	-0.02963714860379696	0.09600075	No	
row_33	HELZ2	NA	9090	-0.04336870461702347	0.08072036	No	
row_34	TMEM140	NA	9590	-0.06572401523590088	0.05481823	No	
row_35	MVB12A	NA	9655	-0.06885016709566116	0.057076965	No	
row_36	IFI30	NA	9962	-0.08393467962741852	0.04522314	No	
row_37	IFIH1	NA	10149	-0.09232247620820999	0.041832928	No	
row_38	IL15	NA	10159	-0.09261029958724976	0.04981036	No	
row_39	LAP3	NA	10329	-0.10027535259723663	0.04824398	No	
row_40	CSF1	NA	10550	-0.1123255044221878	0.04452287	No	
row_41	ELF1	NA	10964	-0.13367922604084015	0.030407883	No	
row_42	LPAR6	NA	11129	-0.14279204607009888	0.033088997	No	
row_43	RIPK2	NA	11762	-0.18258967995643616	0.009459538	No	
row_44	UBA7	NA	11829	-0.18798352777957916	0.02259407	No	
row_45	LAMP3	NA	12767	-0.2520627975463867	-0.014160906	No	
row_46	CNP	NA	13720	-0.3333333432674408	-0.0443703	No	
row_47	TRIM14	NA	14144	-0.37569600343704224	-0.036771756	No	
row_48	IRF2	NA	14292	-0.3916262686252594	-0.01001741	No	
row_49	PROCR	NA	15652	-1.0539515018463135	2.5621773E-4	No	
