NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LY96	NA	12	0.7931275963783264	0.023876052	No	
row_1	GADD45G	NA	257	0.4753292202949524	0.022913165	No	
row_2	ANO1	NA	269	0.4724758267402649	0.036888037	No	
row_3	ST6GAL1	NA	564	0.4080808758735657	0.03061055	No	
row_4	ATG10	NA	635	0.3996625244617462	0.03851745	No	
row_5	CBL	NA	761	0.3899393677711487	0.042575143	No	
row_6	RBP4	NA	780	0.38863515853881836	0.053492855	No	
row_7	FBXO4	NA	870	0.38247281312942505	0.059640177	No	
row_8	MAP3K1	NA	1094	0.3631487488746643	0.0565451	No	
row_9	CFH	NA	1354	0.3408338129520416	0.050434805	No	
row_10	C3AR1	NA	1370	0.3394163250923157	0.0600163	No	
row_11	ALDH1A2	NA	1500	0.3278772234916687	0.061887175	No	
row_12	LCP1	NA	1505	0.3274809420108795	0.07180712	No	
row_13	ITGB2	NA	1605	0.3190250098705292	0.07533761	No	
row_14	IKZF1	NA	1645	0.3148632347583771	0.08260822	No	
row_15	PDCD1LG2	NA	1753	0.3071522116661072	0.08525378	No	
row_16	EVI5	NA	1788	0.30481910705566406	0.09253468	No	
row_17	RELN	NA	2048	0.28394922614097595	0.084656455	No	
row_18	DOCK2	NA	2389	0.26062795519828796	0.07082962	No	
row_19	ACE	NA	2492	0.25465285778045654	0.07216599	No	
row_20	FUCA1	NA	2526	0.25258761644363403	0.07788806	No	
row_21	HBEGF	NA	2693	0.24239560961723328	0.07471604	No	
row_22	PRELID3B	NA	2848	0.23304888606071472	0.07202742	No	
row_23	PTBP2	NA	2863	0.23214378952980042	0.07833944	No	
row_24	CDADC1	NA	2906	0.22909507155418396	0.082750954	No	
row_25	LAPTM5	NA	2929	0.227660670876503	0.08840771	No	
row_26	BPGM	NA	3150	0.2128690928220749	0.0808355	No	
row_27	MAP7	NA	3236	0.20744487643241882	0.08180102	No	
row_28	PIGR	NA	3426	0.19699425995349884	0.07573465	No	
row_29	EPHB2	NA	3696	0.18256092071533203	0.06406042	No	
row_30	CBR4	NA	3863	0.1741023063659668	0.058765884	No	
row_31	MMP9	NA	3940	0.1699751913547516	0.059147287	No	
row_32	MMD	NA	3960	0.16873551905155182	0.06316616	No	
row_33	PTCD2	NA	4033	0.16566115617752075	0.06367145	No	
row_34	TSPAN13	NA	4138	0.16053491830825806	0.061953697	No	
row_35	NR0B2	NA	4217	0.15700097382068634	0.061802886	No	
row_36	ADAM17	NA	4772	0.1303439736366272	0.030125797	No	
row_37	ANGPTL4	NA	4812	0.12908896803855896	0.031622652	No	
row_38	AKAP12	NA	4818	0.128749281167984	0.035301648	No	
row_39	TMEM100	NA	4840	0.1277533620595932	0.037917834	No	
row_40	WDR33	NA	4866	0.12661035358905792	0.04024053	No	
row_41	CIDEA	NA	4873	0.12619397044181824	0.043775618	No	
row_42	KIF5C	NA	5076	0.1177128255367279	0.034406852	No	
row_43	ZNF639	NA	5090	0.116866335272789	0.037200604	No	
row_44	BTC	NA	5262	0.10993070155382156	0.029589199	No	
row_45	YRDC	NA	5445	0.10185748338699341	0.021017477	No	
row_46	TOR1AIP2	NA	5637	0.09476996213197708	0.011645061	No	
row_47	ITGBL1	NA	5677	0.09335673600435257	0.012031378	No	
row_48	CCSER2	NA	5705	0.09221139550209045	0.013155994	No	
row_49	MAFB	NA	5725	0.09156206995248795	0.014776357	No	
row_50	TSPAN7	NA	5782	0.0888473242521286	0.013926176	No	
row_51	G0S2	NA	5955	0.08189604431390762	0.0053789774	No	
row_52	CXCR4	NA	5994	0.08019113540649414	0.005420607	No	
row_53	STRN	NA	6174	0.07246644049882889	-0.003871096	No	
row_54	MTMR10	NA	6298	0.06772258132696152	-0.009698731	No	
row_55	PTPRR	NA	6464	0.06064555421471596	-0.018454945	No	
row_56	IRF8	NA	6534	0.05765026435256004	-0.021113098	No	
row_57	PECAM1	NA	6628	0.05480670556426048	-0.025407415	No	
row_58	ETS1	NA	6674	0.05286048725247383	-0.026666645	No	
row_59	NIN	NA	6809	0.04747791588306427	-0.033832874	No	
row_60	GPRC5B	NA	7435	0.02208012342453003	-0.07345361	No	
row_61	TNFAIP3	NA	7447	0.021879024803638458	-0.07348303	No	
row_62	IGFBP3	NA	7575	0.01740194670855999	-0.08113256	No	
row_63	NR1H4	NA	7592	0.01675170101225376	-0.08164379	No	
row_64	APOD	NA	8000	2.418255462544039E-4	-0.107884176	No	
row_65	SPARCL1	NA	8139	-8.634753758087754E-4	-0.116757125	No	
row_66	KLF4	NA	8275	-0.005959502886980772	-0.1252782	No	
row_67	IL7R	NA	8410	-0.012564006261527538	-0.13352954	No	
row_68	IL2RG	NA	8576	-0.020070794969797134	-0.1435468	No	
row_69	PLVAP	NA	8622	-0.022062107920646667	-0.14576322	No	
row_70	MYCN	NA	8712	-0.02604503557085991	-0.15069348	No	
row_71	TSPAN1	NA	8917	-0.03578741475939751	-0.16273741	No	
row_72	AVL9	NA	8991	-0.03890657424926758	-0.16623607	No	
row_73	DCBLD2	NA	9131	-0.04483428969979286	-0.17380692	No	
row_74	GPNMB	NA	9154	-0.0458085723221302	-0.17380203	No	
row_75	PRDM1	NA	9210	-0.04793159291148186	-0.17585936	No	
row_76	ITGA2	NA	9296	-0.05222989246249199	-0.17971782	No	
row_77	ADGRL4	NA	9361	-0.05465802550315857	-0.18214652	No	
row_78	CBX8	NA	9411	-0.05687443166971207	-0.18353897	No	
row_79	F2RL1	NA	9416	-0.05706223100423813	-0.18202347	No	
row_80	HKDC1	NA	9634	-0.06794095784425735	-0.19390649	No	
row_81	ANKH	NA	9684	-0.07004740089178085	-0.19488952	No	
row_82	DUSP6	NA	9946	-0.08318481594324112	-0.20913638	No	
row_83	CMKLR1	NA	9990	-0.0848756730556488	-0.20927161	No	
row_84	ENG	NA	10126	-0.09142797440290451	-0.2151364	No	
row_85	USH1C	NA	10181	-0.09381512552499771	-0.21570319	No	
row_86	EMP1	NA	10183	-0.09396900236606598	-0.21284719	No	
row_87	RABGAP1L	NA	10218	-0.09543869644403458	-0.2120737	No	
row_88	MALL	NA	10400	-0.10413607954978943	-0.22051011	No	
row_89	BMP2	NA	10455	-0.10720403492450714	-0.2206608	No	
row_90	TRIB1	NA	10542	-0.11172442138195038	-0.2227347	No	
row_91	ERO1A	NA	10552	-0.11252141743898392	-0.21981803	No	
row_92	FGF9	NA	10565	-0.11314784735441208	-0.21707535	No	
row_93	CCND2	NA	10680	-0.11798553168773651	-0.22076042	No	
