NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC19A1	NA	461	0.42418372631073	0.016601471	No	
row_1	SORD	NA	786	0.38837844133377075	0.03808361	No	
row_2	SRM	NA	1359	0.3404884338378906	0.03847495	No	
row_3	HSPD1	NA	1923	0.292620450258255	0.034237474	No	
row_4	AIMP2	NA	1971	0.28946563601493835	0.0627042	No	
row_5	PUS1	NA	2844	0.23345209658145905	0.032242753	No	
row_6	TFB2M	NA	3194	0.21027125418186188	0.03275617	No	
row_7	PRMT3	NA	3788	0.17794495820999146	0.014127385	No	
row_8	BYSL	NA	3808	0.17709846794605255	0.032168433	No	
row_9	PHB	NA	4463	0.14425607025623322	0.005969527	No	
row_10	RCL1	NA	5389	0.1037898138165474	-0.041985948	No	
row_11	WDR43	NA	5594	0.09648445248603821	-0.044559307	No	
row_12	SUPV3L1	NA	5622	0.0954430103302002	-0.035909936	No	
row_13	GNL3	NA	5640	0.09465081989765167	-0.026706256	No	
row_14	TMEM97	NA	6301	0.0676117017865181	-0.061623834	No	
row_15	NDUFAF4	NA	6356	0.06552480906248093	-0.057957023	No	
row_16	PLK1	NA	7712	0.011621390469372272	-0.1434744	No	
row_17	NOP16	NA	9260	-0.050380293279886246	-0.23707373	No	
row_18	UNG	NA	9450	-0.05855722725391388	-0.24281067	No	
row_19	MPHOSPH10	NA	9914	-0.0815088227391243	-0.26360017	No	
row_20	PLK4	NA	10091	-0.08994249999523163	-0.26509166	No	
row_21	NOC4L	NA	10350	-0.10133876651525497	-0.27059558	No	
row_22	NOLC1	NA	10720	-0.12014057487249374	-0.281164	No	
row_23	RRP9	NA	10924	-0.13164888322353363	-0.27984947	No	
row_24	NIP7	NA	11245	-0.14944428205490112	-0.28409314	Yes	
row_25	DDX18	NA	11342	-0.15589351952075958	-0.27328944	Yes	
row_26	CBX3	NA	11436	-0.16202670335769653	-0.26162663	Yes	
row_27	UTP20	NA	11582	-0.17027808725833893	-0.25239694	Yes	
row_28	MRTO4	NA	11624	-0.1728431135416031	-0.2362276	Yes	
row_29	RABEPK	NA	11664	-0.17570742964744568	-0.21961872	Yes	
row_30	MCM5	NA	11747	-0.18155048787593842	-0.2051284	Yes	
row_31	NPM1	NA	12548	-0.23568113148212433	-0.23073621	Yes	
row_32	PES1	NA	12607	-0.23978373408317566	-0.20837645	Yes	
row_33	RRP12	NA	12890	-0.26256850361824036	-0.19788514	Yes	
row_34	MCM4	NA	13003	-0.2697237432003021	-0.1757281	Yes	
row_35	LAS1L	NA	13086	-0.2771282494068146	-0.15084453	Yes	
row_36	MYC	NA	13490	-0.31168410181999207	-0.1427618	Yes	
row_37	PA2G4	NA	13702	-0.3303379416465759	-0.12035395	Yes	
row_38	PPRC1	NA	14121	-0.3728642165660858	-0.10657909	Yes	
row_39	MYBBP1A	NA	14489	-0.4071323573589325	-0.08581156	Yes	
row_40	TCOF1	NA	14536	-0.4093869626522064	-0.044240396	Yes	
row_41	NOP2	NA	15211	-0.5268747806549072	-0.030113777	Yes	
row_42	NOP56	NA	15262	-0.5384326577186584	0.025233798	Yes	
