NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NNT	NA	360	0.4479731619358063	0.0046500596	Yes	
row_1	GPI	NA	543	0.41185393929481506	0.018525884	Yes	
row_2	ATP6V1C1	NA	676	0.3960443437099457	0.034641102	Yes	
row_3	IDH1	NA	967	0.3742412328720093	0.03921844	Yes	
row_4	VDAC1	NA	1007	0.37049126625061035	0.05973845	Yes	
row_5	MGST3	NA	1086	0.36410489678382874	0.07734805	Yes	
row_6	TIMM9	NA	1387	0.3378712832927704	0.07901982	Yes	
row_7	MPC1	NA	1932	0.29217931628227234	0.06212624	Yes	
row_8	PHYH	NA	2064	0.2825963497161865	0.07125286	Yes	
row_9	LDHB	NA	2275	0.26871898770332336	0.07442553	Yes	
row_10	ALDH6A1	NA	2572	0.2497541606426239	0.07087686	Yes	
row_11	PDHX	NA	2679	0.2434375286102295	0.079180114	Yes	
row_12	AFG3L2	NA	2818	0.23490741848945618	0.0848908	Yes	
row_13	MDH1	NA	2928	0.22785919904708862	0.09203222	Yes	
row_14	PDHB	NA	2958	0.2259266972541809	0.104209125	Yes	
row_15	MRPS30	NA	2994	0.22304511070251465	0.115820214	Yes	
row_16	GPX4	NA	3035	0.22047393023967743	0.12694922	Yes	
row_17	SLC25A6	NA	3105	0.21576020121574402	0.13591626	Yes	
row_18	PDHA1	NA	3147	0.21303106844425201	0.14651811	Yes	
row_19	FDX1	NA	3193	0.2102840393781662	0.1566914	Yes	
row_20	DLD	NA	3454	0.19529934227466583	0.1520773	Yes	
row_21	ABCB7	NA	3520	0.19187995791435242	0.1598175	Yes	
row_22	LRPPRC	NA	3620	0.1862853765487671	0.16501874	Yes	
row_23	IDH2	NA	3770	0.17872746288776398	0.16652782	Yes	
row_24	GLUD1	NA	3809	0.17705950140953064	0.17508666	Yes	
row_25	SDHD	NA	3871	0.17367875576019287	0.18195307	Yes	
row_26	TOMM22	NA	3872	0.17366398870944977	0.19274972	Yes	
