NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SRPRB	NA	1868	0.29803186655044556	-0.08415901	No	
row_1	DCX	NA	2112	0.27955129742622375	-0.06648797	No	
row_2	IAPP	NA	2152	0.277193546295166	-0.036037818	No	
row_3	SRP9	NA	2342	0.2637724280357361	-0.016785342	No	
row_4	SLC2A2	NA	2830	0.23450957238674164	-0.020087883	No	
row_5	HNF1A	NA	2831	0.23439626395702362	0.0077720857	No	
row_6	FOXA2	NA	3273	0.20582705736160278	0.004005139	No	
row_7	ELP4	NA	4031	0.16584862768650055	-0.024742758	No	
row_8	FOXO1	NA	4230	0.15600167214870453	-0.01887589	No	
row_9	SPCS1	NA	5018	0.12018205225467682	-0.05497214	No	
row_10	MAFB	NA	5725	0.09156206995248795	-0.08928478	No	
row_11	DPP4	NA	10638	-0.11609610170125961	-0.38993427	Yes	
row_12	SEC11A	NA	10726	-0.1208321750164032	-0.38114178	Yes	
row_13	SYT13	NA	10769	-0.12342588603496552	-0.36916026	Yes	
row_14	PAK3	NA	10784	-0.12422371655702591	-0.35529146	Yes	
row_15	SRP14	NA	11038	-0.1379663497209549	-0.35508913	Yes	
row_16	VDR	NA	11507	-0.1664903312921524	-0.36526003	Yes	
row_17	PDX1	NA	11519	-0.16739490628242493	-0.3460679	Yes	
row_18	ISL1	NA	11640	-0.1740586757659912	-0.33306155	Yes	
row_19	SCGN	NA	11857	-0.18960531055927277	-0.3243529	Yes	
row_20	GCG	NA	12335	-0.22139476239681244	-0.32857406	Yes	
row_21	AKT3	NA	12440	-0.22955889999866486	-0.30794677	Yes	
row_22	PCSK2	NA	12493	-0.23322349786758423	-0.28355503	Yes	
row_23	SST	NA	12677	-0.2460373193025589	-0.26602644	Yes	
row_24	INS	NA	12678	-0.24607039988040924	-0.2367789	Yes	
row_25	ABCC8	NA	12978	-0.26810139417648315	-0.22405368	Yes	
row_26	G6PC2	NA	12986	-0.26853665709495544	-0.19258396	Yes	
row_27	INSM1	NA	12990	-0.26868754625320435	-0.16084023	Yes	
row_28	NEUROD1	NA	13240	-0.2891046404838562	-0.14241779	Yes	
row_29	CHGA	NA	13294	-0.2943614423274994	-0.11082332	Yes	
row_30	NKX6-1	NA	13323	-0.2970463037490845	-0.077309325	Yes	
row_31	PAX6	NA	13553	-0.3173866868019104	-0.05424499	Yes	
row_32	NEUROG3	NA	13774	-0.3380047380924225	-0.02815389	Yes	
row_33	NKX2-2	NA	13792	-0.33981311321258545	0.011147481	Yes	
row_34	LMO2	NA	14382	-0.39967912435531616	0.02094706	Yes	
row_35	STXBP1	NA	15133	-0.5093945860862732	0.033480607	Yes	
