NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PEX13	NA	173	0.5024389028549194	0.019034822	Yes	
row_1	CDK7	NA	359	0.44820550084114075	0.034045726	Yes	
row_2	HSD17B4	NA	450	0.4264300763607025	0.053849436	Yes	
row_3	ALB	NA	647	0.398430734872818	0.065168105	Yes	
row_4	ESR2	NA	736	0.3917091190814972	0.08301728	Yes	
row_5	HMGCL	NA	904	0.3794894218444824	0.09506149	Yes	
row_6	HAO2	NA	941	0.3764961361885071	0.1153365	Yes	
row_7	IDH1	NA	967	0.3742412328720093	0.13618246	Yes	
row_8	PEX2	NA	1030	0.36824464797973633	0.15429322	Yes	
row_9	ACSL4	NA	1064	0.365944504737854	0.17412783	Yes	
row_10	CADM1	NA	1158	0.3577326238155365	0.18961774	Yes	
row_11	ACSL5	NA	1418	0.3354374170303345	0.1931127	Yes	
row_12	EHHADH	NA	1562	0.3223056495189667	0.20326725	Yes	
row_13	ECI2	NA	1718	0.3099009394645691	0.21190721	Yes	
row_14	ABCD2	NA	1739	0.307927668094635	0.22909598	Yes	
row_15	SLC35B2	NA	1754	0.3070888817310333	0.24661963	Yes	
row_16	CAT	NA	1892	0.295480340719223	0.25555012	Yes	
row_17	SLC23A2	NA	2145	0.2776658535003662	0.25602874	Yes	
row_18	LONP2	NA	2328	0.26441311836242676	0.26020643	Yes	
row_19	ALDH9A1	NA	2396	0.2601710259914398	0.27151278	Yes	
row_20	MSH2	NA	2527	0.25249165296554565	0.27831373	Yes	
row_21	DHRS3	NA	2872	0.23160074651241302	0.27012238	Yes	
row_22	SLC25A19	NA	3166	0.21157830953598022	0.2640041	Yes	
row_23	MLYCD	NA	3245	0.207076758146286	0.27141908	Yes	
row_24	DIO1	NA	3293	0.20445892214775085	0.28066725	Yes	
row_25	TSPO	NA	3516	0.1920916885137558	0.27793825	No	
row_26	IDH2	NA	3770	0.17872746288776398	0.2724173	No	
row_27	SOD1	NA	3844	0.17521831393241882	0.27824208	No	
row_28	CRAT	NA	3981	0.16804198920726776	0.27959165	No	
row_29	CRABP1	NA	4251	0.15503829717636108	0.27162233	No	
row_30	SLC25A17	NA	4705	0.13317373394966125	0.2505283	No	
row_31	IDE	NA	4712	0.1327173113822937	0.25810492	No	
row_32	SOD2	NA	4725	0.1323574036359787	0.2652747	No	
row_33	PEX6	NA	4864	0.12667255103588104	0.2640141	No	
row_34	ABCD3	NA	5019	0.1201779842376709	0.26133665	No	
row_35	NUDT19	NA	5036	0.11947526037693024	0.26747683	No	
row_36	ATXN1	NA	5083	0.11735273152589798	0.27156362	No	
row_37	PRDX1	NA	5199	0.11263662576675415	0.27093762	No	
row_38	ACSL1	NA	5289	0.1089288517832756	0.27175844	No	
row_39	SCP2	NA	5410	0.102779321372509	0.27022007	No	
