NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKAR2A	NA	149	0.5164186954498291	0.021784455	Yes	
row_1	UBE2D3	NA	400	0.4372549057006836	0.032278232	Yes	
row_2	STAT2	NA	499	0.41586095094680786	0.051232446	Yes	
row_3	PTEN	NA	545	0.4116745591163635	0.073335394	Yes	
row_4	ACACA	NA	581	0.40521687269210815	0.095688365	Yes	
row_5	EGFR	NA	624	0.40051302313804626	0.11730633	Yes	
row_6	DDIT3	NA	986	0.3726031184196472	0.116748385	Yes	
row_7	EIF4E	NA	1325	0.3430359363555908	0.11587218	Yes	
row_8	DUSP3	NA	1341	0.3419016897678375	0.13566548	Yes	
row_9	GSK3B	NA	1675	0.3121146559715271	0.13323312	Yes	
row_10	VAV3	NA	1745	0.30752262473106384	0.14747222	Yes	
row_11	MAPKAP1	NA	1981	0.28915342688560486	0.14993803	Yes	
row_12	PTPN11	NA	2385	0.26074138283729553	0.13989249	Yes	
row_13	PLA2G12A	NA	2720	0.2404651790857315	0.13304617	Yes	
row_14	MKNK1	NA	2730	0.2400425374507904	0.14704098	Yes	
row_15	ATF1	NA	2788	0.23655439913272858	0.15774216	Yes	
row_16	RAF1	NA	2812	0.23516163229942322	0.17054176	Yes	
row_17	CAB39	NA	2883	0.2313084751367569	0.1800898	Yes	
row_18	GRB2	NA	2955	0.22609110176563263	0.1892569	Yes	
row_19	RALB	NA	3016	0.22189466655254364	0.19887549	Yes	
row_20	MAP3K7	NA	3361	0.2003442645072937	0.18895143	Yes	
row_21	TSC2	NA	3526	0.19158212840557098	0.19005243	Yes	
row_22	FGF6	NA	3541	0.19084516167640686	0.2007395	Yes	
row_23	RPS6KA3	NA	3601	0.1874823123216629	0.20833318	Yes	
row_24	ARF1	NA	3693	0.1828249990940094	0.21358953	Yes	
row_25	RPTOR	NA	3711	0.18179111182689667	0.22353433	Yes	
row_26	SQSTM1	NA	3738	0.1800086796283722	0.23279306	Yes	
row_27	PLCB1	NA	4002	0.16737961769104004	0.22606842	Yes	
row_28	AKT1	NA	4104	0.1622532457113266	0.22943383	Yes	
row_29	SMAD2	NA	4170	0.1587926149368286	0.23490056	Yes	
row_30	MAP2K6	NA	4372	0.149030402302742	0.2310427	Yes	
row_31	TRAF2	NA	4547	0.14028285443782806	0.22838733	Yes	
row_32	SLA	NA	4613	0.1372682899236679	0.23254734	Yes	
row_33	MAP2K3	NA	4653	0.13555634021759033	0.23827277	Yes	
row_34	MYD88	NA	4745	0.13153861463069916	0.2404156	Yes	
row_35	PIKFYVE	NA	4787	0.12992848455905914	0.24567096	Yes	
row_36	ADCY2	NA	4875	0.126097172498703	0.24774027	Yes	
row_37	CDKN1B	NA	5021	0.12015760689973831	0.24572508	No	
row_38	IRAK4	NA	5137	0.11513243615627289	0.24533097	No	
row_39	FGF17	NA	5446	0.10173129290342331	0.23173167	No	
row_40	PDK1	NA	5539	0.09818771481513977	0.23178561	No	
row_41	PRKCB	NA	5880	0.08482851088047028	0.21510558	No	
row_42	MKNK2	NA	5887	0.08452022075653076	0.21985145	No	
row_43	DAPP1	NA	5947	0.08226995915174484	0.22105782	No	
row_44	CXCR4	NA	5994	0.08019113540649414	0.22297266	No	
row_45	ARHGDIA	NA	6037	0.07815755903720856	0.22502087	No	
