NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASNS	NA	70	0.5879133939743042	0.020674486	Yes	
row_1	NUP58	NA	191	0.49620893597602844	0.03420549	Yes	
row_2	KLHDC3	NA	414	0.4339451193809509	0.038508885	Yes	
row_3	PDLIM3	NA	496	0.41670796275138855	0.051143963	Yes	
row_4	ATP6V1C1	NA	676	0.3960443437099457	0.05659025	Yes	
row_5	SLC6A12	NA	688	0.3953074514865875	0.072811626	Yes	
row_6	PPAT	NA	741	0.3913635313510895	0.08622676	Yes	
row_7	GCH1	NA	841	0.38398224115371704	0.09630252	Yes	
row_8	LHX2	NA	865	0.38266125321388245	0.11121041	Yes	
row_9	HSPA13	NA	912	0.3786347806453705	0.1244664	Yes	
row_10	IL6ST	NA	946	0.3761659860610962	0.13845289	Yes	
row_11	CDO1	NA	984	0.372697114944458	0.15203351	Yes	
row_12	HMOX1	NA	1071	0.3651760220527649	0.16214012	Yes	
row_13	RHOB	NA	1161	0.357410192489624	0.17172119	Yes	
row_14	BTG1	NA	1308	0.34560632705688477	0.1771302	Yes	
row_15	EIF5	NA	1404	0.3365807831287384	0.18543331	Yes	
row_16	CDKN1C	NA	1473	0.3307831883430481	0.1952249	Yes	
row_17	EIF2S3	NA	1643	0.31518465280532837	0.19785164	Yes	
row_18	TGFBRAP1	NA	1806	0.30307602882385254	0.20041011	Yes	
row_19	FURIN	NA	1861	0.29849427938461304	0.20971951	Yes	
row_20	FKBP4	NA	1871	0.29774948954582214	0.22189163	Yes	
row_21	ATF3	NA	2061	0.282753050327301	0.22184299	Yes	
row_22	CHKA	NA	2191	0.27470505237579346	0.22530922	Yes	
row_23	TARS1	NA	2245	0.27095040678977966	0.23350337	Yes	
row_24	POLE3	NA	2404	0.25976070761680603	0.23446417	Yes	
row_25	UROD	NA	2686	0.24316951632499695	0.22680245	Yes	
row_26	PTPRD	NA	2838	0.23381154239177704	0.22710228	Yes	
row_27	POLR2H	NA	2985	0.22374150156974792	0.22729246	Yes	
row_28	AGO2	NA	2987	0.2236756533384323	0.236807	Yes	
row_29	TMBIM6	NA	3066	0.21875593066215515	0.2411578	Yes	
row_30	HSPA2	NA	3170	0.21146540343761444	0.24358827	Yes	
row_31	DNAJA1	NA	3183	0.21090279519557953	0.25184822	Yes	
row_32	ONECUT1	NA	3327	0.2026442140340805	0.2513279	Yes	
row_33	TFRC	NA	3459	0.19504117965698242	0.2512539	Yes	
row_34	PPT1	NA	3490	0.19340834021568298	0.2576068	Yes	
row_35	SIGMAR1	NA	3594	0.18781277537345886	0.25902435	Yes	
row_36	SQSTM1	NA	3738	0.1800086796283722	0.25753465	No	
row_37	CCK	NA	4107	0.16219043731689453	0.24080874	No	
row_38	NR4A1	NA	4131	0.16110028326511383	0.24622835	No	
row_39	SLC6A8	NA	4486	0.14317364990711212	0.2295886	No	
row_40	WIZ	NA	4632	0.13628393411636353	0.22609776	No	
row_41	CDC5L	NA	4672	0.13467127084732056	0.22935635	No	
row_42	SOD2	NA	4725	0.1323574036359787	0.2316796	No	
row_43	OLFM1	NA	4749	0.13134612143039703	0.235825	No	
row_44	PRPF3	NA	4905	0.12482976913452148	0.2312004	No	
row_45	RPN1	NA	5163	0.11389657109975815	0.21954641	No	
row_46	CDC34	NA	5415	0.10262072086334229	0.20779547	No	
row_47	GRPEL1	NA	5525	0.09860973060131073	0.20500697	No	
row_48	SPR	NA	5545	0.09800049662590027	0.20798163	No	
row_49	ACAA1	NA	5790	0.08850296586751938	0.1960764	No	
row_50	SLC25A4	NA	5799	0.08829206973314285	0.19934288	No	
row_51	GPX3	NA	6155	0.07357356697320938	0.1796582	No	
row_52	RAB27A	NA	6206	0.07146863639354706	0.17950256	No	
row_53	IRF1	NA	6349	0.0657690167427063	0.17318492	No	
row_54	CLTB	NA	6423	0.06248709186911583	0.17116518	No	
row_55	BTG2	NA	6457	0.060901567339897156	0.17165054	No	
row_56	PPIF	NA	6499	0.05904676765203476	0.17154187	No	
row_57	STARD3	NA	6707	0.051655467599630356	0.16043869	No	
row_58	LYN	NA	7001	0.039841316640377045	0.14329758	No	
row_59	MRPL23	NA	7189	0.03229830041527748	0.13265194	No	
row_60	IL6	NA	7207	0.03150244429707527	0.1329075	No	
row_61	CLCN2	NA	7453	0.02166459523141384	0.11807559	No	
row_62	PLCL1	NA	7523	0.019300155341625214	0.11446367	No	
row_63	EPHX1	NA	7874	0.005000488366931677	0.09216399	No	
row_64	CEBPG	NA	7885	0.004426447208970785	0.0917103	No	
row_65	GGH	NA	7923	0.0030267059337347746	0.08945988	No	
row_66	CASP3	NA	8147	-0.0012613002909347415	0.07516937	No	
row_67	GLS	NA	8222	-0.003917986992746592	0.07057709	No	
row_68	BSG	NA	8233	-0.0044930134899914265	0.07012625	No	
row_69	PDAP1	NA	8235	-0.004675098694860935	0.070262134	No	
row_70	E2F5	NA	8302	-0.007514749653637409	0.06633849	No	
row_71	PPP1R2	NA	8673	-0.024031873792409897	0.043567315	No	
row_72	TACR3	NA	9077	-0.04287024959921837	0.019480154	No	
row_73	STK25	NA	9506	-0.061604928225278854	-0.0054128263	No	
row_74	RRAD	NA	9561	-0.06456922739744186	-0.006121227	No	
row_75	POLG2	NA	9695	-0.0710109993815422	-0.011635453	No	
row_76	HYAL2	NA	9742	-0.07343557476997375	-0.011449552	No	
row_77	MSX1	NA	9955	-0.08360642194747925	-0.021506075	No	
row_78	BCL2L11	NA	9969	-0.08424121886491776	-0.018734694	No	
row_79	EPCAM	NA	9981	-0.0844828262925148	-0.015824314	No	
row_80	PRKCD	NA	10114	-0.09111154824495316	-0.020413414	No	
row_81	AMD1	NA	10283	-0.09868282824754715	-0.026993982	No	
row_82	BMP2	NA	10455	-0.10720403492450714	-0.033402607	No	
row_83	RFC4	NA	10575	-0.11350561678409576	-0.03619646	No	
row_84	HNRNPU	NA	10592	-0.1141805425286293	-0.032335907	No	
row_85	CCND3	NA	10667	-0.11743653565645218	-0.032066785	No	
row_86	CREG1	NA	10754	-0.12261448800563812	-0.032347817	No	
row_87	CCNE1	NA	10997	-0.13529136776924133	-0.0421207	No	
row_88	CHRNA5	NA	11002	-0.13548912107944489	-0.036575712	No	
row_89	BID	NA	11387	-0.1586603969335556	-0.054482006	No	
row_90	TYRO3	NA	11454	-0.1633913218975067	-0.051730275	No	
row_91	NFKBIA	NA	11604	-0.1716567426919937	-0.053963576	No	
row_92	SHOX2	NA	12245	-0.2153065949678421	-0.08591127	No	
row_93	NPTX2	NA	12485	-0.23284175992012024	-0.0913136	No	
row_94	ALAS1	NA	12544	-0.23532015085220337	-0.084966935	No	
row_95	FGF18	NA	12819	-0.25723502039909363	-0.09157602	No	
row_96	ABCB1	NA	12948	-0.26651138067245483	-0.08839636	No	
row_97	RASGRP1	NA	12969	-0.26731234788894653	-0.078235276	No	
row_98	BAK1	NA	13159	-0.2829318940639496	-0.078276254	No	
row_99	PSMC3	NA	13187	-0.28449124097824097	-0.067829765	No	
row_100	CNP	NA	13720	-0.3333333432674408	-0.08777586	No	
row_101	FOS	NA	13917	-0.35116907954216003	-0.08534487	No	
row_102	HTR7	NA	14353	-0.3975468873977661	-0.096301496	No	
row_103	NKX2-5	NA	14551	-0.4111182391643524	-0.09136753	No	
row_104	GAL	NA	14568	-0.41367751359939575	-0.07468109	No	
row_105	NPTXR	NA	14862	-0.45460790395736694	-0.0740599	No	
row_106	IGFBP2	NA	15024	-0.48246365785598755	-0.06375487	No	
row_107	RET	NA	15136	-0.50971919298172	-0.049066365	No	
row_108	NTRK3	NA	15401	-0.5899092555046082	-0.040785503	No	
row_109	MAPK8IP2	NA	15451	-0.6162545084953308	-0.017546482	No	
row_110	ENO2	NA	15555	-0.7161501049995422	0.0064969785	No	
