NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH2	NA	69	0.590326189994812	0.01488119	Yes	
row_1	MARCHF6	NA	82	0.5695778131484985	0.032754634	Yes	
row_2	SLC35D1	NA	133	0.526699423789978	0.046776693	Yes	
row_3	NPC1	NA	384	0.4409213960170746	0.045108173	Yes	
row_4	MCCC2	NA	600	0.40292972326278687	0.04445034	Yes	
row_5	ACP1	NA	611	0.40185531973838806	0.05696184	Yes	
row_6	TKFC	NA	626	0.4002215564250946	0.069162205	Yes	
row_7	TAT	NA	637	0.3994218409061432	0.08159404	Yes	
row_8	PMM1	NA	678	0.3956500291824341	0.091970034	Yes	
row_9	HGFAC	NA	683	0.3954099714756012	0.10465701	Yes	
row_10	SLC6A12	NA	688	0.3953074514865875	0.117340624	Yes	
row_11	MTHFD1	NA	703	0.39434367418289185	0.12934856	Yes	
row_12	TDO2	NA	747	0.39107343554496765	0.1393815	Yes	
row_13	IGFBP1	NA	749	0.39100146293640137	0.15211737	Yes	
row_14	PLG	NA	759	0.39012598991394043	0.16430931	Yes	
row_15	HRG	NA	764	0.3897842764854431	0.17681211	Yes	
row_16	RBP4	NA	780	0.38863515853881836	0.18856876	Yes	
row_17	FAH	NA	794	0.38771942257881165	0.20042425	Yes	
row_18	GCH1	NA	841	0.38398224115371704	0.21003179	Yes	
row_19	AQP9	NA	862	0.38273507356643677	0.22127323	Yes	
row_20	VTN	NA	900	0.3798162043094635	0.2313241	Yes	
row_21	ANGPTL3	NA	914	0.3786203861236572	0.24288173	Yes	
row_22	F10	NA	952	0.37565451860427856	0.25279635	Yes	
row_23	IDH1	NA	967	0.3742412328720093	0.2641462	Yes	
row_24	AHCY	NA	972	0.37372052669525146	0.2761231	Yes	
row_25	ADH1C	NA	976	0.3731729984283447	0.28814653	Yes	
row_26	CDO1	NA	984	0.372697114944458	0.29989672	Yes	
row_27	MAN1A1	NA	997	0.37160366773605347	0.31128904	Yes	
row_28	PPARD	NA	1016	0.3697885274887085	0.32223547	Yes	
row_29	DHRS7	NA	1058	0.36619728803634644	0.33158284	Yes	
row_30	HMOX1	NA	1071	0.3651760220527649	0.34276474	Yes	
row_31	SAR1B	NA	1201	0.35470664501190186	0.34606767	Yes	
row_32	LPIN2	NA	1278	0.34761691093444824	0.35255232	Yes	
row_33	PEMT	NA	1290	0.3470053970813751	0.3632038	Yes	
row_34	LCAT	NA	1328	0.3429405987262726	0.37204745	Yes	
row_35	GABARAPL1	NA	1410	0.33608880639076233	0.37783268	Yes	
row_36	ESR1	NA	1429	0.3344983756542206	0.38762382	Yes	
row_37	FETUB	NA	1488	0.32893654704093933	0.39465636	Yes	
row_38	DDT	NA	1545	0.32398131489753723	0.40165552	Yes	
row_39	ARG2	NA	1618	0.3173518478870392	0.40740705	Yes	
row_40	HSD17B2	NA	1624	0.31688380241394043	0.4174589	Yes	
row_41	HACL1	NA	1656	0.31358247995376587	0.42572793	Yes	
row_42	DCXR	NA	1686	0.31156688928604126	0.4340598	Yes	
row_43	ABCD2	NA	1739	0.307927668094635	0.44079107	Yes	
row_44	SHMT2	NA	1891	0.29558220505714417	0.44074136	Yes	
row_45	CAT	NA	1892	0.295480340719223	0.45041457	Yes	
row_46	GNMT	NA	2033	0.2850249707698822	0.45072776	Yes	
row_47	UPB1	NA	2293	0.2675049304962158	0.44280237	Yes	
row_48	ALDH9A1	NA	2396	0.2601710259914398	0.4447496	Yes	
row_49	XDH	NA	2398	0.25990399718284607	0.4531937	Yes	
row_50	IGFBP4	NA	2524	0.25267553329467773	0.45341408	Yes	
row_51	ATOH8	NA	2610	0.24782121181488037	0.456052	Yes	
row_52	PTGES3	NA	2709	0.241201713681221	0.45763588	Yes	
row_53	KYNU	NA	2953	0.22623232007026672	0.44938993	Yes	
row_54	IGF1	NA	3029	0.22091583907604218	0.45179117	Yes	
row_55	TMBIM6	NA	3066	0.21875593066215515	0.4566338	Yes	
row_56	ACP2	NA	3072	0.21847431361675262	0.46346396	Yes	
row_57	PROS1	NA	3237	0.20735566318035126	0.4596886	No	
row_58	ACOX3	NA	3378	0.19941315054893494	0.45719913	No	
row_59	ACOX2	NA	3761	0.1789393573999405	0.43845162	No	
row_60	TGFB2	NA	3862	0.17414191365242004	0.43771133	No	
row_61	PGRMC1	NA	3887	0.172721728682518	0.44181985	No	
row_62	BCAR1	NA	4116	0.16185271739959717	0.43243247	No	
row_63	PTGR1	NA	4165	0.15916985273361206	0.43455148	No	
row_64	NFS1	NA	4226	0.1563149094581604	0.43580404	No	
row_65	TTPA	NA	4435	0.14583207666873932	0.42718044	No	
row_66	LONP1	NA	4468	0.14376984536647797	0.42982587	No	
row_67	PINK1	NA	4563	0.1398092359304428	0.4283481	No	
row_68	PDK4	NA	4625	0.1366771012544632	0.42889336	No	
row_69	BCAT1	NA	4710	0.13285201787948608	0.42783195	No	
row_70	CDA	NA	4747	0.13141733407974243	0.42981535	No	
row_71	SLC35B1	NA	4824	0.12843158841133118	0.4291245	No	
row_72	AOX1	NA	4904	0.12488936632871628	0.42812446	No	
row_73	ACO2	NA	4923	0.12440867722034454	0.43103784	No	
row_74	UGDH	NA	5056	0.11849939823150635	0.42641476	No	
row_75	PTGES	NA	5088	0.11706820875406265	0.42825046	No	
row_76	UPP1	NA	5249	0.11050013452768326	0.421562	No	
row_77	CNDP2	NA	5580	0.09678825736045837	0.4034745	No	
row_78	AP4B1	NA	5593	0.09650497138500214	0.40586087	No	
row_79	TYR	NA	5602	0.09609202295541763	0.40849137	No	
row_80	SLC46A3	NA	5727	0.09142865985631943	0.40349737	No	
row_81	COMT	NA	5963	0.08150850236415863	0.39102885	No	
row_82	ARPP19	NA	6194	0.07202955335378647	0.37857208	No	
row_83	TMEM97	NA	6301	0.0676117017865181	0.3739578	No	
row_84	IRF8	NA	6534	0.05765026435256004	0.36090147	No	
row_85	BPHL	NA	6569	0.05655546858906746	0.36056292	No	
row_86	ACOX1	NA	6867	0.045440830290317535	0.3429201	No	
row_87	ETFDH	NA	7091	0.03635187819600105	0.32974622	No	
row_88	CYFIP2	NA	7284	0.028762701898813248	0.3183207	No	
row_89	ABCC2	NA	7320	0.026956778019666672	0.31694874	No	
row_90	PYCR1	NA	7341	0.025965726003050804	0.31651053	No	
row_91	SMOX	NA	7565	0.017692195251584053	0.3027258	No	
row_92	PTS	NA	7717	0.011544821783900261	0.2933775	No	
row_93	LEAP2	NA	7793	0.008860220201313496	0.28883666	No	
row_94	NINJ1	NA	7860	0.005907574202865362	0.28477883	No	
row_95	EPHX1	NA	7874	0.005000488366931677	0.28410518	No	
row_96	CD36	NA	8530	-0.018298320472240448	0.2425142	No	
row_97	GSS	NA	8616	-0.021777518093585968	0.2377521	No	
row_98	PDLIM5	NA	8898	-0.03495918586850166	0.22079672	No	
row_99	NMT1	NA	8900	-0.034980107098817825	0.22187746	No	
row_100	ENTPD5	NA	9082	-0.043040793389081955	0.21162787	No	
row_101	CASP6	NA	9118	-0.044433943927288055	0.2108281	No	
row_102	KARS1	NA	9180	-0.046900928020477295	0.20843434	No	
row_103	GCNT2	NA	9214	-0.04828457161784172	0.20788945	No	
row_104	FBLN1	NA	9232	-0.04928257316350937	0.20840782	No	
row_105	SSR3	NA	9603	-0.06637000292539597	0.18674806	No	
row_106	DDC	NA	9824	-0.07710771262645721	0.17510165	No	
row_107	TNFRSF1A	NA	9971	-0.08430168777704239	0.16845727	No	
row_108	ELOVL5	NA	10003	-0.08539680391550064	0.16925614	No	
row_109	ETS2	NA	10006	-0.08551891893148422	0.17192698	No	
row_110	FABP1	NA	10165	-0.0932227224111557	0.16480169	No	
row_111	PAPSS2	NA	10216	-0.09520367532968521	0.16469778	No	
row_112	HNF4A	NA	10293	-0.09890434890985489	0.1630403	No	
row_113	PGD	NA	10406	-0.10460024327039719	0.15925045	No	
row_114	ENPEP	NA	10828	-0.1262129843235016	0.13626476	No	
row_115	GSR	NA	10922	-0.13161641359329224	0.13458318	No	
row_116	JUP	NA	10956	-0.1331803798675537	0.13681753	No	
row_117	ABCC3	NA	11201	-0.14705315232276917	0.12591505	No	
row_118	SLC6A6	NA	11561	-0.16910289227962494	0.10832701	No	
row_119	FAS	NA	11805	-0.1860802173614502	0.09876659	No	
row_120	CROT	NA	11819	-0.18701030313968658	0.10405142	No	
row_121	ALAS1	NA	12544	-0.23532015085220337	0.06512069	No	
row_122	ABHD6	NA	12902	-0.26357847452163696	0.050754342	No	
row_123	SLC12A4	NA	13812	-0.3417465388774872	0.0033914435	No	
row_124	GAD1	NA	13858	-0.34553632140159607	0.011804789	No	
row_125	ID2	NA	14270	-0.3903309106826782	-0.001890295	No	
row_126	GCLC	NA	14282	-0.39096981287002563	0.010200433	No	
row_127	ATP2A2	NA	14305	-0.39324063062667847	0.021656968	No	
row_128	HPRT1	NA	14349	-0.39720267057418823	0.03189055	No	
row_129	EPHA2	NA	14826	-0.4474702477455139	0.015879253	No	
row_130	RAP1GAP	NA	15228	-0.5320571660995483	0.0074680136	No	
row_131	TPST1	NA	15442	-0.6120214462280273	0.0137840845	No	
