NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	167	-0.4652946	-2.1096838	0.0	0.0	0.0	3382	tags=43%, list=22%, signal=54%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	35	-0.5296616	-1.8289993	0.0016129032	0.0029935387	0.01	3966	tags=46%, list=25%, signal=61%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	28	-0.5015498	-1.6518075	0.008116883	0.013482285	0.062	2432	tags=43%, list=16%, signal=51%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	146	-0.3595531	-1.5888536	0.0	0.021876257	0.133	4180	tags=37%, list=27%, signal=50%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	27	-0.44803435	-1.44873	0.057471264	0.08122934	0.495	2461	tags=30%, list=16%, signal=35%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	51	-0.37969112	-1.438717	0.034795765	0.07400348	0.522	2201	tags=31%, list=14%, signal=36%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	36	-0.40373325	-1.4384091	0.06	0.063705504	0.523	5020	tags=69%, list=32%, signal=102%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	135	-0.28242627	-1.2367678	0.100981764	0.30520058	0.987	4749	tags=38%, list=30%, signal=54%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	164	-0.26836416	-1.2196009	0.11491108	0.30581388	0.991	3372	tags=29%, list=22%, signal=37%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	153	-0.26390937	-1.1883712	0.1319149	0.34206817	0.998	3654	tags=30%, list=23%, signal=39%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	33	-0.33964702	-1.1756964	0.23116438	0.3364356	0.999	2335	tags=27%, list=15%, signal=32%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	125	-0.2648529	-1.1586512	0.1754386	0.3429121	0.999	4070	tags=34%, list=26%, signal=45%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	151	-0.2535545	-1.1441423	0.18156809	0.34787166	1.0	3027	tags=26%, list=19%, signal=32%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	43	-0.3003439	-1.0691673	0.33704293	0.49358243	1.0	4413	tags=44%, list=28%, signal=61%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	164	-0.23102614	-1.0519949	0.34444445	0.5031996	1.0	2773	tags=22%, list=18%, signal=26%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	119	-0.23318988	-1.0076917	0.45586106	0.58075047	1.0	5389	tags=45%, list=34%, signal=67%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	133	-0.225085	-0.9817506	0.5091938	0.6117812	1.0	4601	tags=32%, list=29%, signal=44%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	171	-0.20325093	-0.93120104	0.6265223	0.7048547	1.0	5133	tags=34%, list=33%, signal=50%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	152	-0.20440105	-0.9126655	0.65899867	0.709592	1.0	4304	tags=27%, list=27%, signal=37%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	168	-0.17751393	-0.80559707	0.88251364	0.8968163	1.0	4017	tags=24%, list=26%, signal=32%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		147	-0.16972136	-0.7545211	0.9596662	0.92187256	1.0	4064	tags=26%, list=26%, signal=35%	
