NAME	TITLE	SCORE	
SLC6A1	NA	1.0420059	
DKK1	NA	1.0296297	
LOC103528073	NA	0.93160874	
MDM1	NA	0.9158428	
GDPGP1	NA	0.9104568	
HDX	NA	0.89124715	
LOC103531187	NA	0.8764235	
ALOX5	NA	0.85230595	
LOC115598186	NA	0.8456753	
PLAA	NA	0.8348977	
LOC115598837	NA	0.8122095	
UBTD2	NA	0.80465	
LY96	NA	0.7931276	
CCDC87	NA	0.78546244	
LOC115598865	NA	0.773224	
LOC103539513	NA	0.769128	
LOC115598885	NA	0.74479717	
SLC45A2	NA	0.7321791	
LOC103536233	NA	0.726053	
LOC115599884	NA	0.72023183	
LOC115597902	NA	0.7104792	
RBM15	NA	0.7063169	
LOC115600236	NA	0.705264	
CCDC138	NA	0.69983757	
FBXL21P	NA	0.6986389	
GLG1	NA	0.6903555	
LOC115598723	NA	0.6881371	
LOC115600412	NA	0.67848706	
PVALB	NA	0.6782286	
LOC103529089	NA	0.67434835	
STAT3	NA	0.6709488	
LOC115598606	NA	0.66689	
TCAF2	NA	0.66661155	
LOC103532436	NA	0.66220236	
LOC103539545	NA	0.6517152	
ANKRD40	NA	0.6422144	
LOC115598866	NA	0.64094645	
LOC115599190	NA	0.6408402	
CCNYL1	NA	0.6381958	
GABRG1	NA	0.63548064	
ATG2B	NA	0.6352319	
CZH9orf24	NA	0.6324926	
LOC103532472	NA	0.63186	
KCNS1	NA	0.63037646	
SEC16A	NA	0.6290619	
SFMBT1	NA	0.6285342	
FGFBP3	NA	0.6270809	
LOC115599583	NA	0.6263057	
LOC115598872	NA	0.6239298	
KCNA10	NA	0.6231816	
LOC115598831	NA	0.6230561	
KDM5A	NA	0.62090653	
WAPL	NA	0.6176444	
LOC115599123	NA	0.617569	
LOC115598320	NA	0.61702114	
TMEM132B	NA	0.6159577	
SAP30L	NA	0.6159425	
TPP2	NA	0.61433405	
LOC115600144	NA	0.6118639	
TMEM161B	NA	0.6107238	
SLC38A9	NA	0.6094349	
UBAP1	NA	0.6090491	
METTL4	NA	0.6089969	
LOC103529287	NA	0.6080447	
LOC115599484	NA	0.606649	
DBF4B	NA	0.593329	
LOC103528016	NA	0.5929379	
TPP1	NA	0.59173876	
