NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD86	NA	82	0.6279817819595337	0.020344345	Yes	
row_1	ITK	NA	196	0.5476914048194885	0.035417724	Yes	
row_2	IL2RA	NA	204	0.5424579977989197	0.057099562	Yes	
row_3	PRKCB	NA	224	0.5345476269721985	0.07768636	Yes	
row_4	LCK	NA	263	0.5169625878334045	0.09633288	Yes	
row_5	IL16	NA	472	0.45400550961494446	0.101469815	Yes	
row_6	IRF7	NA	485	0.45179980993270874	0.119131	Yes	
row_7	CD28	NA	579	0.44019395112991333	0.13110563	Yes	
row_8	PTPRC	NA	635	0.4296041429042816	0.14509383	Yes	
row_9	SOCS1	NA	642	0.42855972051620483	0.16219296	Yes	
row_10	NCF4	NA	664	0.4244484305381775	0.17815898	Yes	
row_11	IL12A	NA	908	0.38699281215667725	0.17830925	Yes	
row_12	IRF4	NA	966	0.3793146312236786	0.19011691	Yes	
row_13	IFNAR2	NA	1026	0.37304022908210754	0.20153984	Yes	
row_14	CD47	NA	1094	0.3641078472137451	0.21208349	Yes	
row_15	EGFR	NA	1141	0.3570816218852997	0.22369197	Yes	
row_16	DYRK3	NA	1352	0.3369356393814087	0.22392373	Yes	
row_17	PTPN6	NA	1499	0.32330361008644104	0.22771823	Yes	
row_18	STAT1	NA	1502	0.32286643981933594	0.2407625	Yes	
row_19	CD40	NA	1599	0.31330573558807373	0.24736701	Yes	
row_20	SPI1	NA	1626	0.31120070815086365	0.25839072	Yes	
row_21	TPD52	NA	1631	0.31111764907836914	0.27082694	Yes	
row_22	CD96	NA	1856	0.29573169350624084	0.26847655	Yes	
row_23	SRGN	NA	1904	0.2908583879470825	0.27731875	Yes	
row_24	ITGB2	NA	2158	0.27439865469932556	0.27223158	Yes	
row_25	FAS	NA	2327	0.26356077194213867	0.2721727	Yes	
row_26	AKT1	NA	2393	0.25975435972213745	0.2785874	Yes	
row_27	IRF8	NA	2439	0.25693461298942566	0.28617424	Yes	
row_28	TLR2	NA	2687	0.24366790056228638	0.2802194	Yes	
row_29	CCND3	NA	2765	0.23858211934566498	0.284998	Yes	
row_30	IGSF6	NA	2775	0.23789510130882263	0.29412493	Yes	
row_31	IL7	NA	2877	0.2328442931175232	0.2971248	Yes	
row_32	CD3E	NA	2956	0.22900661826133728	0.30144835	Yes	
row_33	CD8B	NA	3035	0.2244056612253189	0.30558416	Yes	
row_34	STAT4	NA	3109	0.2199716866016388	0.3098609	Yes	
row_35	GPR65	NA	3164	0.2171708345413208	0.31524613	Yes	
row_36	FYB1	NA	3215	0.2148331254720688	0.32079342	Yes	
row_37	LYN	NA	3303	0.21037107706069946	0.3237774	Yes	
row_38	GLMN	NA	3418	0.20510132610797882	0.32480872	Yes	
row_39	LCP2	NA	3494	0.20129498839378357	0.3281947	Yes	
row_40	F2	NA	3513	0.20016655325889587	0.33520308	Yes	
row_41	BCAT1	NA	3683	0.1902494877576828	0.3320887	Yes	
row_42	ICOSLG	NA	3696	0.1894264668226242	0.33904502	Yes	
row_43	CD74	NA	4018	0.17510458827018738	0.3255303	No	
row_44	IL18RAP	NA	4171	0.16847054660320282	0.32262143	No	
row_45	IL15	NA	4265	0.16467265784740448	0.32335478	No	
row_46	IL10	NA	4298	0.16358385980129242	0.32796955	No	
