NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL3	NA	593	0.4385371804237366	-0.012736997	Yes	
row_1	XRCC5	NA	657	0.42633724212646484	0.007864865	Yes	
row_2	HMGCS1	NA	684	0.42157137393951416	0.030567857	Yes	
row_3	HMGCR	NA	717	0.41529980301856995	0.052522853	Yes	
row_4	APPBP2	NA	824	0.3963298499584198	0.06862776	Yes	
row_5	IDI1	NA	890	0.3885650634765625	0.08691736	Yes	
row_6	DHCR24	NA	1083	0.3659798204898834	0.09574344	Yes	
row_7	MAP7	NA	1253	0.3439524471759796	0.104773395	Yes	
row_8	MERTK	NA	1402	0.33145812153816223	0.11442991	Yes	
row_9	SORD	NA	1471	0.3245818614959717	0.12882763	Yes	
row_10	TPD52	NA	1631	0.31111764907836914	0.1366016	Yes	
row_11	STK39	NA	1795	0.3004370629787445	0.14350112	Yes	
row_12	DNAJB9	NA	1815	0.2992187440395355	0.15957996	Yes	
row_13	UBE2J1	NA	1944	0.28738874197006226	0.1679733	Yes	
row_14	MAK	NA	1952	0.28715980052948	0.18412575	Yes	
row_15	HPGD	NA	2137	0.2753506600856781	0.188226	Yes	
row_16	CAMKK2	NA	2208	0.27092766761779785	0.19939324	Yes	
row_17	AKT1	NA	2393	0.25975435972213745	0.20259178	Yes	
row_18	LMAN1	NA	2530	0.25196564197540283	0.20842327	Yes	
row_19	CCND3	NA	2765	0.23858211934566498	0.20718603	Yes	
row_20	INSIG1	NA	2865	0.2331443727016449	0.21430603	Yes	
row_21	MAF	NA	3175	0.2166987955570221	0.20698604	Yes	
row_22	ABHD2	NA	3220	0.21468476951122284	0.21657169	Yes	
row_23	SPCS3	NA	3407	0.20546954870224	0.21650329	Yes	
row_24	PIAS1	NA	3434	0.20431479811668396	0.22664563	Yes	
row_25	ELL2	NA	3577	0.1961323618888855	0.22886372	Yes	
row_26	PGM3	NA	3740	0.18746702373027802	0.22929613	Yes	
row_27	DBI	NA	3837	0.1834699660539627	0.23373693	Yes	
row_28	HERC3	NA	3852	0.18259871006011963	0.24339457	Yes	
row_29	ABCC4	NA	3889	0.1808636486530304	0.25153872	Yes	
row_30	GNAI3	NA	3934	0.1786615252494812	0.25904173	Yes	
row_31	SELENOP	NA	4231	0.16589584946632385	0.24961959	Yes	
row_32	NCOA4	NA	4237	0.16564461588859558	0.25887513	Yes	
row_33	ZBTB10	NA	4406	0.1596447080373764	0.2573136	Yes	
row_34	ITGAV	NA	4726	0.14602428674697876	0.24526523	Yes	
row_35	SCD	NA	4774	0.14414581656455994	0.25057998	Yes	
row_36	PTK2B	NA	4809	0.14200787246227264	0.2566062	Yes	
row_37	CDK6	NA	4866	0.13967692852020264	0.26108447	Yes	
row_38	ARID5B	NA	5117	0.1278098076581955	0.25241518	No	
row_39	IQGAP2	NA	5286	0.12063736468553543	0.24859844	No	
row_40	ACTN1	NA	5405	0.11567116528749466	0.24770631	No	
row_41	NGLY1	NA	5758	0.10156336426734924	0.23096769	No	
row_42	SGK1	NA	5860	0.09757903218269348	0.23012154	No	
row_43	SLC26A2	NA	6247	0.08085497468709946	0.2100017	No	
row_44	GSR	NA	6409	0.07432470470666885	0.20395705	No	
row_45	CCND1	NA	6676	0.0633772686123848	0.19053487	No	
row_46	SEC24D	NA	6706	0.0620623379945755	0.19226019	No	
row_47	SPDEF	NA	6887	0.054968662559986115	0.18387602	No	
row_48	TNFAIP8	NA	7214	0.04238521680235863	0.16538613	No	
row_49	ELOVL5	NA	7442	0.03275265917181969	0.15269852	No	
row_50	SLC38A2	NA	7551	0.02806377410888672	0.14738372	No	
row_51	TMEM50A	NA	7679	0.023044206202030182	0.14055826	No	
row_52	STEAP4	NA	7766	0.01934722252190113	0.13615265	No	
row_53	FADS1	NA	7897	0.01389363594353199	0.12860546	No	
row_54	SAT1	NA	8189	0.0011832326417788863	0.10998168	No	
row_55	TMPRSS2	NA	8582	-0.010585065931081772	0.08541379	No	
row_56	CENPN	NA	8716	-0.01688290387392044	0.077846706	No	
row_57	ADRM1	NA	9082	-0.031748607754707336	0.056236718	No	
row_58	B4GALT1	NA	9600	-0.05336329713463783	0.026112761	No	
row_59	ZMIZ1	NA	9850	-0.06592249125242233	0.013929713	No	
row_60	PLPP1	NA	10168	-0.08181258291006088	-0.0017025877	No	
row_61	ADAMTS1	NA	10311	-0.09027696400880814	-0.0056045135	No	
row_62	XRCC6	NA	10440	-0.09829099476337433	-0.008143828	No	
row_63	SMS	NA	10503	-0.10125111788511276	-0.0062725386	No	
row_64	UBE2I	NA	10561	-0.10485236346721649	-0.003871872	No	
row_65	SRP19	NA	10657	-0.11075686663389206	-0.0035707422	No	
row_66	RRP12	NA	10832	-0.11937130242586136	-0.007846082	No	
row_67	RAB4A	NA	11347	-0.14656591415405273	-0.03238884	No	
row_68	RPS6KA3	NA	11416	-0.150711789727211	-0.028043397	No	
row_69	NDRG1	NA	11474	-0.15346042811870575	-0.022832463	No	
row_70	INPP4B	NA	11554	-0.15813477337360382	-0.018764436	No	
row_71	BMPR1B	NA	11582	-0.16000773012638092	-0.01124794	No	
row_72	ELK4	NA	11712	-0.1666615754365921	-0.009898655	No	
row_73	UAP1	NA	12273	-0.19426590204238892	-0.034638427	No	
row_74	LIFR	NA	12421	-0.2028147131204605	-0.03235517	No	
row_75	AKAP12	NA	12427	-0.2031720131635666	-0.020929983	No	
row_76	GUCY1A1	NA	12644	-0.21515224874019623	-0.022365604	No	
row_77	ALDH1A3	NA	12841	-0.22592808306217194	-0.021893533	No	
row_78	TSC22D1	NA	12844	-0.22609180212020874	-0.008950539	No	
row_79	PA2G4	NA	12857	-0.2266208827495575	0.0033807007	No	
row_80	ANKH	NA	12870	-0.22746747732162476	0.015760886	No	
row_81	CDC14B	NA	12889	-0.22856615483760834	0.027819186	No	
row_82	HOMER2	NA	13501	-0.2689606845378876	0.004121932	No	
row_83	PTPN21	NA	14086	-0.313671737909317	-0.015256031	No	
row_84	PMEPA1	NA	14534	-0.35545074939727783	-0.023418445	No	
row_85	PDLIM5	NA	14705	-0.3759097158908844	-0.012605119	No	
row_86	SRF	NA	14813	-0.3894476592540741	0.0030376655	No	
row_87	GPD1L	NA	14828	-0.3907053768634796	0.024726957	No	
row_88	VAPA	NA	15356	-0.4911346137523651	0.019270338	No	
