NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPP1	NA	317	0.4972335994243622	0.060320143	No	
row_1	APOH	NA	2925	0.23051141202449799	-0.06911862	No	
row_2	LRPAP1	NA	3089	0.22115087509155273	-0.043698773	No	
row_3	VTN	NA	4574	0.15200163424015045	-0.11401058	No	
row_4	ITGAV	NA	4726	0.14602428674697876	-0.100001164	No	
row_5	THBD	NA	5238	0.12348492443561554	-0.11267954	No	
row_6	VAV2	NA	5289	0.12054027616977692	-0.09633881	No	
row_7	COL5A2	NA	6864	0.05601281672716141	-0.1879692	No	
row_8	CCND2	NA	8755	-0.018744293600320816	-0.30585974	No	
row_9	COL3A1	NA	9859	-0.06637398153543472	-0.36567426	No	
row_10	PDGFA	NA	9892	-0.06753174215555191	-0.35677466	No	
row_11	SLCO2A1	NA	10567	-0.10530723631381989	-0.382829	No	
row_12	NRP1	NA	11278	-0.14231961965560913	-0.40518698	Yes	
row_13	PTK2	NA	11492	-0.1547207236289978	-0.39373484	Yes	
row_14	KCNJ8	NA	11807	-0.1706385463476181	-0.3861647	Yes	
row_15	LPL	NA	11838	-0.17240388691425323	-0.36013708	Yes	
row_16	VEGFA	NA	12131	-0.18804754316806793	-0.34833726	Yes	
row_17	JAG2	NA	12540	-0.2094692885875702	-0.340487	Yes	
row_18	APP	NA	12595	-0.21262572705745697	-0.30947492	Yes	
row_19	JAG1	NA	12953	-0.23358778655529022	-0.29445183	Yes	
row_20	FGFR1	NA	13859	-0.29647141695022583	-0.30429816	Yes	
row_21	VCAN	NA	13953	-0.30437004566192627	-0.2609094	Yes	
row_22	TNFRSF21	NA	14077	-0.31312885880470276	-0.21802032	Yes	
row_23	FSTL1	NA	14335	-0.33551549911499023	-0.18007612	Yes	
row_24	LUM	NA	14549	-0.3572904169559479	-0.13578685	Yes	
row_25	MSX1	NA	14572	-0.36016079783439636	-0.07881142	Yes	
row_26	STC1	NA	15247	-0.45645636320114136	-0.047943536	Yes	
row_27	POSTN	NA	15249	-0.45680224895477295	0.026041402	Yes	
