NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD86	NA	82	0.6279817819595337	0.0173538	No	
row_1	SRC	NA	298	0.5061601996421814	0.021741055	No	
row_2	ZYX	NA	566	0.44271114468574524	0.020488348	No	
row_3	PTPRC	NA	635	0.4296041429042816	0.031592704	No	
row_4	LAMB3	NA	749	0.40911510586738586	0.039057214	No	
row_5	SYK	NA	802	0.39934056997299194	0.050102014	No	
row_6	RHOF	NA	1098	0.3636336326599121	0.04419319	No	
row_7	MADCAM1	NA	1120	0.361614465713501	0.05587645	No	
row_8	EGFR	NA	1141	0.3570816218852997	0.06746076	No	
row_9	ADRA1B	NA	1392	0.3324522376060486	0.06332893	No	
row_10	NEGR1	NA	1617	0.3118959665298462	0.060132224	No	
row_11	EXOC4	NA	1671	0.3085457682609558	0.06783917	No	
row_12	RAC2	NA	1684	0.3076530992984772	0.07815722	No	
row_13	TSPAN4	NA	1848	0.2964513897895813	0.07833639	No	
row_14	CALB2	NA	2281	0.26619571447372437	0.060082227	No	
row_15	CDK8	NA	2370	0.2610224783420563	0.06381937	No	
row_16	MPZL1	NA	2392	0.25981658697128296	0.07183255	No	
row_17	GAMT	NA	2430	0.2575046122074127	0.07873086	No	
row_18	VCAM1	NA	2632	0.24631257355213165	0.07465252	No	
row_19	ARPC2	NA	2651	0.24520635604858398	0.08233238	No	
row_20	SKAP2	NA	2778	0.2378075122833252	0.082782686	No	
row_21	ADAM23	NA	2810	0.23570133745670319	0.08928175	No	
row_22	INSIG1	NA	2865	0.2331443727016449	0.09420581	No	
row_23	TGFBI	NA	3104	0.22033077478408813	0.08680536	No	
row_24	ACTB	NA	3158	0.21744868159294128	0.091228016	No	
row_25	PARVA	NA	3162	0.21727421879768372	0.0988679	No	
row_26	FYB1	NA	3215	0.2148331254720688	0.10326073	No	
row_27	PPP2R2C	NA	3378	0.20700305700302124	0.100279525	No	
row_28	ITGA2	NA	3468	0.20271696150302887	0.10185014	No	
row_29	EVL	NA	3885	0.18098308145999908	0.08155537	No	
row_30	WNK4	NA	3958	0.17732548713684082	0.08330654	No	
row_31	MYH9	NA	4379	0.16068148612976074	0.06202197	No	
row_32	FSCN1	NA	4597	0.15125514566898346	0.05348504	No	
row_33	NF1	NA	4664	0.1487549990415573	0.054592997	No	
row_34	CD276	NA	4717	0.1466803103685379	0.056528743	No	
row_35	ACTG1	NA	4781	0.14360330998897552	0.057644382	No	
row_36	IRS1	NA	4937	0.13682755827903748	0.052584462	No	
row_37	BMP1	NA	5055	0.13111016154289246	0.049768288	No	
row_38	CDH4	NA	5128	0.12744207680225372	0.04972104	No	
row_39	VAV2	NA	5289	0.12054027616977692	0.043751568	No	
row_40	AMH	NA	5305	0.11974785476922989	0.047101732	No	
row_41	CAP1	NA	5369	0.11711736768484116	0.047262482	No	
row_42	GNAI2	NA	5389	0.11631812155246735	0.050231118	No	
row_43	ACTN1	NA	5405	0.11567116528749466	0.053434305	No	
row_44	CNN2	NA	5534	0.11043006926774979	0.04916339	No	
row_45	LAMC2	NA	5976	0.09229911863803864	0.024059575	No	
row_46	LIMA1	NA	5995	0.09154639393091202	0.026199592	No	
row_47	TRAF1	NA	6145	0.08574777096509933	0.019684937	No	
row_48	LAMA3	NA	6356	0.07653839141130447	0.008905564	No	
row_49	PCDH1	NA	6596	0.06661947071552277	-0.0041010506	No	
row_50	PDZD3	NA	6696	0.06254566460847855	-0.008228685	No	
row_51	SHROOM2	NA	6751	0.05996132642030716	-0.009548323	No	
row_52	CNTN1	NA	6793	0.058619286864995956	-0.010078232	No	
row_53	CTNND1	NA	6914	0.05401383340358734	-0.015867338	No	
row_54	SLC30A3	NA	6945	0.05285434052348137	-0.015895914	No	
row_55	NECTIN1	NA	6990	0.05112691968679428	-0.016889352	No	
row_56	MMP9	NA	7119	0.04574749246239662	-0.023492245	No	
row_57	PLCG1	NA	7242	0.04149589687585831	-0.029861595	No	
row_58	SLIT2	NA	7449	0.032485444098711014	-0.041971307	No	
row_59	CDH8	NA	7468	0.031743716448545456	-0.041987333	No	
row_60	AMIGO2	NA	7484	0.030929505825042725	-0.041839298	No	
