NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RHCG	NA	1361	0.3358331024646759	-0.036127437	No	
row_1	ADAM10	NA	1543	0.31837618350982666	6.2895194E-4	No	
row_2	ATP6V0A4	NA	1715	0.3055792450904846	0.036082357	No	
row_3	PKHD1	NA	1725	0.30482614040374756	0.0817914	No	
row_4	RTN4RL1	NA	2522	0.2523899972438812	0.06916081	No	
row_5	NTNG1	NA	3165	0.21713364124298096	0.061034746	No	
row_6	LYN	NA	3303	0.21037107706069946	0.08420806	No	
row_7	AKAP7	NA	4077	0.1724902242422104	0.06091767	No	
row_8	BRCA1	NA	5271	0.12161055952310562	0.0030164998	No	
row_9	MDGA1	NA	6099	0.08738692849874496	-0.03665273	No	
row_10	SHROOM2	NA	6751	0.05996132642030716	-0.06922013	No	
row_11	ATP8B1	NA	6935	0.05319102108478546	-0.0728578	No	
row_12	IL2RB	NA	6965	0.05199288949370384	-0.06681949	No	
row_13	IL2RG	NA	7249	0.041171204298734665	-0.07868348	No	
row_14	CROCC	NA	7531	0.028617074713110924	-0.09232569	No	
row_15	GATA3	NA	7605	0.02595284953713417	-0.09305787	No	
row_16	NCOA6	NA	7683	0.022940998896956444	-0.09450343	No	
row_17	PCSK9	NA	8314	0.0	-0.13483118	No	
row_18	B4GALT1	NA	9600	-0.05336329713463783	-0.20898423	No	
row_19	CRYBG1	NA	9796	-0.06291365623474121	-0.21191373	No	
row_20	FLOT2	NA	10395	-0.09536627680063248	-0.23571256	No	
row_21	AFAP1L2	NA	10986	-0.12741553783416748	-0.25413287	No	
row_22	SULF2	NA	11377	-0.14815270900726318	-0.256602	No	
row_23	SCUBE1	NA	11633	-0.16240903735160828	-0.24826474	No	
row_24	CX3CL1	NA	12268	-0.19364869594573975	-0.25944468	Yes	
row_25	APP	NA	12595	-0.21262572705745697	-0.24802737	Yes	
row_26	SRPX	NA	12809	-0.22454218566417694	-0.22756724	Yes	
row_27	HSPB1	NA	13136	-0.24459196627140045	-0.21129611	Yes	
row_28	DCBLD2	NA	13146	-0.24494919180870056	-0.17467885	Yes	
row_29	ADIPOR2	NA	13349	-0.25854918360710144	-0.14835092	Yes	
row_30	EFNA5	NA	13555	-0.2717902958393097	-0.120204486	Yes	
row_31	GAS1	NA	14332	-0.3353691101074219	-0.11895518	Yes	
row_32	TMEM8B	NA	14822	-0.39002320170402527	-0.09103562	Yes	
row_33	MAL	NA	14891	-0.39880090951919556	-0.034834057	Yes	
row_34	THY1	NA	15499	-0.5514946579933167	0.010050079	Yes	
