NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DIO2	NA	160	0.5720095038414001	0.027928699	Yes	
row_1	LCK	NA	263	0.5169625878334045	0.05590484	Yes	
row_2	NPC1	NA	614	0.4345340430736542	0.062454164	Yes	
row_3	TFCP2L1	NA	616	0.4337705075740814	0.09135876	Yes	
row_4	HAO1	NA	638	0.42912808060646057	0.118669294	Yes	
row_5	SULT2B1	NA	661	0.4252544343471527	0.14565693	Yes	
row_6	IDI1	NA	890	0.3885650634765625	0.15696883	Yes	
row_7	CROT	NA	1057	0.36930808424949646	0.17097518	Yes	
row_8	DHCR24	NA	1083	0.3659798204898834	0.19381163	Yes	
row_9	HACL1	NA	1116	0.36198100447654724	0.21593161	Yes	
row_10	ACSL5	NA	1158	0.3548632562160492	0.23699844	Yes	
row_11	PEX12	NA	1487	0.3243829309940338	0.2376039	Yes	
row_12	ALDH9A1	NA	1513	0.32175809144973755	0.25748706	Yes	
row_13	PEX11G	NA	1663	0.3088318109512329	0.268546	Yes	
row_14	PHYH	NA	1784	0.30072158575057983	0.28092512	Yes	
row_15	ABCA2	NA	2124	0.2761029303073883	0.27760005	Yes	
row_16	PEX1	NA	2136	0.27539756894111633	0.2952859	Yes	
row_17	ABCD2	NA	2351	0.26221323013305664	0.2990584	Yes	
row_18	NR1H4	NA	2438	0.25707611441612244	0.31070557	Yes	
row_19	ABCA5	NA	2446	0.25662219524383545	0.32739434	Yes	
row_20	RBP1	NA	2493	0.2538522481918335	0.34139428	Yes	
row_21	ABCD3	NA	2561	0.25044751167297363	0.3538186	Yes	
row_22	IDH1	NA	2715	0.24111732840538025	0.3600985	Yes	
row_23	ABCA1	NA	2914	0.23127631843090057	0.36283213	Yes	
row_24	ALDH8A1	NA	2943	0.2296888530254364	0.37637395	Yes	
row_25	LONP2	NA	3115	0.21964269876480103	0.38006407	Yes	
row_26	BBOX1	NA	3137	0.21857950091362	0.3933134	Yes	
row_27	PEX7	NA	3185	0.2164195328950882	0.40474924	Yes	
row_28	AQP9	NA	3211	0.21504315733909607	0.4175056	Yes	
row_29	SCP2	NA	3370	0.20739810168743134	0.42121258	Yes	
row_30	SLC22A18	NA	3534	0.19902873039245605	0.42403963	Yes	
row_31	SOD1	NA	3546	0.19765779376029968	0.43653375	Yes	
row_32	GCLM	NA	3548	0.1975460648536682	0.4496624	Yes	
row_33	RXRG	NA	3578	0.19610384106636047	0.4608971	Yes	
row_34	ABCG8	NA	3827	0.18382419645786285	0.45725164	Yes	
row_35	DIO1	NA	3831	0.18369698524475098	0.469327	Yes	
row_36	MLYCD	NA	4091	0.17200341820716858	0.46418586	Yes	
row_37	CAT	NA	4115	0.1709858626127243	0.4741283	Yes	
row_38	AGXT	NA	4945	0.13640820980072021	0.43001524	No	
row_39	APOA1	NA	4967	0.13525235652923584	0.43769968	No	
row_40	GNMT	NA	5043	0.1318279504776001	0.44168854	No	
row_41	CH25H	NA	5449	0.11345312744379044	0.42326382	No	
row_42	ABCA3	NA	5558	0.10946241021156311	0.42364037	No	
row_43	NUDT12	NA	5673	0.10482634603977203	0.4233221	No	
row_44	SLC35B2	NA	5722	0.10328292846679688	0.42713806	No	
row_45	ATXN1	NA	5874	0.09685160964727402	0.42391178	No	
row_46	AMACR	NA	5965	0.0925644040107727	0.42431545	No	
row_47	GSTK1	NA	5971	0.09240865707397461	0.43016583	No	
row_48	PEX13	NA	6018	0.09075169265270233	0.4332733	No	
row_49	SLC23A2	NA	6238	0.08131492882966995	0.42464373	No	
row_50	GC	NA	6245	0.08093898743391037	0.42966393	No	
row_51	PEX11A	NA	6269	0.07982692122459412	0.4335184	No	
row_52	AKR1D1	NA	6545	0.06858791410923004	0.42044362	No	
row_53	SLC27A2	NA	6669	0.06360550969839096	0.41679466	No	
row_54	PECR	NA	6770	0.0596584714949131	0.41435874	No	
row_55	PEX16	NA	6886	0.05498126149177551	0.41064742	No	
row_56	FADS2	NA	7064	0.04795847833156586	0.40248665	No	
row_57	HSD17B4	NA	7118	0.045797478407621384	0.4021425	No	
row_58	NEDD4	NA	7373	0.035407453775405884	0.3882	No	
row_59	FADS1	NA	7897	0.01389363594353199	0.3555506	No	
row_60	SLC23A1	NA	8024	0.008495534770190716	0.34802857	No	
row_61	BMP6	NA	8202	7.076267502270639E-4	0.33671218	No	
row_62	PEX6	NA	8384	-0.002112161833792925	0.3252328	No	
row_63	BCAR3	NA	8389	-0.0023146928288042545	0.32513058	No	
row_64	FDXR	NA	8470	-0.005475070793181658	0.32036012	No	
row_65	RXRA	NA	8592	-0.010976703837513924	0.31332484	No	
row_66	PAOX	NA	8757	-0.018835317343473434	0.3040537	No	
row_67	ACSL1	NA	8765	-0.019074618816375732	0.30487818	No	
row_68	PNPLA8	NA	8881	-0.023836134001612663	0.29908687	No	
row_69	ALDH1A1	NA	9032	-0.029618995264172554	0.29143474	No	
row_70	NR0B2	NA	9241	-0.03843287006020546	0.28064755	No	
row_71	ABCA4	NA	9531	-0.05119655653834343	0.26551247	No	
row_72	IDH2	NA	9769	-0.06136167794466019	0.2543947	No	
row_73	SLC29A1	NA	9823	-0.06420303881168365	0.25527975	No	
row_74	AR	NA	10257	-0.08704821765422821	0.23329398	No	
row_75	OPTN	NA	11831	-0.17199650406837463	0.14379185	No	
row_76	NR3C2	NA	12247	-0.19258132576942444	0.13000959	No	
row_77	EFHC1	NA	12625	-0.2140675038099289	0.12010191	No	
row_78	ABCG4	NA	14392	-0.3420378565788269	0.029564904	No	
row_79	GNPAT	NA	14760	-0.38185644149780273	0.0315048	No	
row_80	PEX19	NA	14809	-0.3886500597000122	0.054378625	No	
