NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNAPC5	NA	18	0.8026360273361206	0.03359084	Yes	
row_1	NELFCD	NA	226	0.534134566783905	0.043400723	Yes	
row_2	POLD3	NA	404	0.47006383538246155	0.052366424	Yes	
row_3	POLR2D	NA	459	0.4578457474708557	0.068714656	Yes	
row_4	NELFB	NA	601	0.43739640712738037	0.07858164	Yes	
row_5	POLH	NA	816	0.3974285125732422	0.082022846	Yes	
row_6	RAD51	NA	991	0.37631359696388245	0.08712277	Yes	
row_7	TYMS	NA	1154	0.3552350699901581	0.09208199	Yes	
row_8	RFC3	NA	1281	0.34181156754493713	0.09877562	Yes	
row_9	SRSF6	NA	1376	0.33451658487319946	0.1072117	Yes	
row_10	CETN2	NA	1419	0.3301563560962677	0.11880372	Yes	
row_11	UMPS	NA	1538	0.31940221786499023	0.12504174	Yes	
row_12	RAE1	NA	1652	0.3094404637813568	0.13117011	Yes	
row_13	ELL	NA	1753	0.30337098240852356	0.13787188	Yes	
row_14	TMED2	NA	1859	0.29567867517471313	0.143919	Yes	
row_15	SEC61A1	NA	1879	0.2932645082473755	0.15539324	Yes	
row_16	NCBP2	NA	1946	0.28737398982048035	0.16358937	Yes	
row_17	RPA2	NA	1958	0.28701889514923096	0.17530778	Yes	
row_18	RFC5	NA	2194	0.2717854082584381	0.17195876	Yes	
row_19	NME3	NA	2225	0.2700972259044647	0.18172248	Yes	
row_20	CCNO	NA	2233	0.26966145634651184	0.19294672	Yes	
row_21	TK2	NA	2257	0.2681034207344055	0.20307437	Yes	
row_22	POLR2H	NA	2558	0.2506319582462311	0.19462869	Yes	
row_23	POLA1	NA	2714	0.2412412017583847	0.195103	Yes	
row_24	RFC4	NA	2774	0.23792099952697754	0.2016084	Yes	
row_25	RNMT	NA	2855	0.23368482291698456	0.20657966	Yes	
row_26	SF3A3	NA	2928	0.23036718368530273	0.21192186	Yes	
row_27	GTF2B	NA	2951	0.22909101843833923	0.22042486	Yes	
row_28	CMPK2	NA	2981	0.2273148000240326	0.2284007	Yes	
row_29	APRT	NA	3053	0.22343449294567108	0.23350708	Yes	
row_30	POLL	NA	3285	0.2110954374074936	0.2277879	No	
row_31	CDA	NA	3487	0.2015221267938614	0.22358388	No	
